Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86155 [7150],KOMATIITE [7150],3232000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,FINE-GRAINED [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,226705.975,5573.862,,48320.61630000001,,,,84725.7,78617,109753.27999999998,2013.5908,,1826.33,5712.2989,392.77889999999996,,,,,,,,,,,,,,,,26100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,2690,,,85,910,,,,,,,,2,12,14,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180417,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86156 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,FINE-GRAINED [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,221564.19,5573.862,,48373.5414,,,,98717.09999999999,69969.12999999999,114577.59999999999,1703.8076,,1660.3000000000002,2967.428,349.1368,,,,,,,,,,,,,,,,18700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,2650,,,100,1020,,,,,,,,0,14,14,62,,,,,,,,,,,,,,,5,12.3,,7.84,2.25,0.678,2.68,,2.49,,1.31,,1.1,0.163,,,,,,,,,,,,,,,0.512091,,,,,,,,,,,,,,,,,,,,,,,,180418,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86157 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,FINE-GRAINED [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,215954.97000000003,5873.531999999999,,50596.3956,,,,103380.90000000001,64037.12,118798.87999999999,2091.0366,,2241.405,5118.8133,305.4947,,,,,,,,,,,,,,,,33900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,2630,,,100,1050,,,,,,,,0,14,15,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180419,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 8692 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,FINE-GRAINED [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,229978.02000000002,3416.2379999999994,,34454.2401,,,,104935.5,65037.7,124226.24,1781.2534,,332.06,741.857,654.6315,,,,,,,,,,,,,,,,17400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,2240,,,140,1120,,,,,,,,0,15,18,31,,,,,,,,,,,,,,,1.82,5.89,,5.18,1.73,0.504,2.21,,2.47,,1.48,,1.35,,,,,,,,,,,,,,,,0.512475,,,,,,,,,,,,,,,,,,,,,,,,180420,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 8694 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,FINE-GRAINED [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,229978.02000000002,3416.2379999999994,,35989.068,,,,103380.90000000001,64680.350000000006,124226.24,1703.8076,,249.045,519.2999,698.2736,,,,,,,,,,,,,,,,17900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1880,,,115,1060,,,,,,,,2,24,12,30,,,,,,,,,,,,,,,1.85,5.55,,4.68,1.46,0.407,1.94,,2.14,,1.26,,1.18,0.176,,,,,,,,,,,,,,,0.51254,,,,,,,,,,,,,,,,,,,,,,,,180421,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 8697 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,FINE-GRAINED [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,221564.19,3356.304,,39005.7987,,,,104158.2,58319.520000000004,132065.75999999998,2478.2656,,581.105,5118.8133,654.6315,,,,,,,,,,,,,,,,27400.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,2150,,,100,1130,,,,,,,,2,17,11,32,,,,,,,,,,,,,,,1.41,4.36,,3.92,1.34,0.374,1.74,,1.95,,1.18,,1.09,0.165,,,,,,,,,,,,,,,0.512946,,,,,,,,,,,,,,,,,,,,,,,,180422,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 8698 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,OLIVINE CUMULATE [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,208476.01,2397.36,,29796.8313,,,,101049,52887.8,169454.24,2323.374,,166.03,3709.285,130.9263,,,,,,,,,,,,,,,,72600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,2515,,,120,1680,,,,,,,,0,30,9,23,,,,,,,,,,,,,,,2.68,2.51,,0.877,0.163,1.18,1.35,,0.822,,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180423,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 8699 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,OLIVINE CUMULATE [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,212215.49000000002,2517.2279999999996,,30696.558,,,,102603.59999999999,54031.32,162820.8,2478.2656,,249.045,1632.0854,218.21050000000002,,,,,,,,,,,,,,,,73900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,2630,,,120,1620,,,,,,,,0,25,7,22,,,,,,,,,,,,,,,0.884,2.78,,2.6,0.877,0.173,1.23,,1.4,,0.851,,0.798,,,,,,,,,,,,,,,,0.512909,,,,,,,,,,,,,,,,,,,,,,,,180424,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86100 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,CUMULATE [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,229510.58500000002,2397.36,,29479.280700000003,,,,99494.40000000001,39022.62,158599.52,2323.374,,332.06,1483.714,174.5684,,,,,,,,,,,,,,,,32200.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,2730,,,110,1580,,,,,,,,0,15,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180425,
[7150],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION,"OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK",57.03,57.03,120.72,120.72,SUBAERIAL,,,s 86101 [7150],KOMATIITE [7150],3230000000 [7150],3230000000 [7150],,ARCHEAN [7150],,,,FINE-GRAINED [7150] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7150] ,229978.02000000002,2637.096,,31755.06,,,,97939.8,52316.04,148347.84,2245.9282,,415.07500000000005,1928.8282,174.5684,,,,,,,,,,,,,,,,29600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,3010,,,100,1445,,,,,,,,1,23,9,24,,,,,,,,,,,,,,,0.958,3.11,,2.96,1.03,0.22,1.33,,1.52,,0.901,,0.828,0.124,,,,,,,,,,,,,,,0.51292,,,,,,,,,,,,,,,,,,,,,,,,180426,
