Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA1 [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5474] ,215020.1,1078.812,,22175.616900000005,,,,71589.33,0,240009.91999999995,,,0.,0.,0.,111000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,67,1460,,,,2574,,,,,,,,0,0,3,11,0,,,,,,,,,,,,,,1.03,2.36,,1.61,0.47,0.19,0.62,,0.69,,0.45,,0.43,,,,,,,,,,,,,,,,0.512207,,,,,,,,,,,,,,,,,,,,,,,,198477,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA1B [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,SPINIFEX-TEXTURED [5474] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5474] ,206138.83500000002,1678.152,,17729.9085,,,,78507.3,22655.989999999998,228552.15999999997,,,0.,0.,1309.263,114000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,80,1628,,,,2053,,,,,,,,3,104,5,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198478,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA1C [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,SPINIFEX-TEXTURED [5474] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5474] ,231380.325,3416.2379999999994,,12966.649500000001,,,,104158.2,73614.1,139302.24,,,415.07500000000005,3189.9851,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198479,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA2 [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,SPINIFEX-TEXTURED [5474] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5474] ,229978.02000000002,2517.2279999999996,,10320.3945,,,,95607.90000000001,62536.25,160408.63999999998,,,0.,1483.714,0.,54000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,107,1950,,,,1588,,,,,,,,0,69,0,18,4,,,,,,,,,,,,,,1.16,3.33,,3.27,1.08,0.4,1.31,,1.28,,0.61,,0.46,0.6,,,,,,,,,,,,,,,,,,,,15.678,,14.755,,35.383,,,,,,,,,,,,,,,198480,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA3 [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,SPINIFEX-TEXTURED [5474] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5474] ,213617.79500000004,2577.162,,18788.410499999998,,,,107267.40000000001,45311.979999999996,177293.75999999998,,,0.,890.2284,261.8526,75000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,113,2060,,,,2002,,,,,,,,0,64,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198481,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA3B [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,SPINIFEX-TEXTURED [5474] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5474] ,206138.83500000002,2876.832,,23234.118899999998,,,,104158.2,41667.01,187545.44,,,0.,445.1142,610.9894,85000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,121,2115,,,,3978,,,,,,,,0,80,8,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198482,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA4 [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,SPINIFEX-TEXTURED [5474] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5474] ,191180.915,3356.304,,30431.932500000003,,,,132141,18224.85,196591.04,,,0.,1186.9712,741.9157,86000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,155,2250,,,,2293,,,,,,,,4,27,7,45,4,,,,,,,,,,,,,,1.36,4.56,,1.54,0.47,0.41,1.58,,1.42,,0.77,,0.63,0.1,,,,,,,,,,,,,,,0.512354,,,,,,,,,,,,,,,,,,,,,,,,198483,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA5 [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5474] ,215020.1,1318.548,,17994.534,,,,73066.2,857.64,236391.68,,,0.,0.,130.9263,112000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,60,1570,,,,2690,,,,,,,,0.62,2.47,5,14,0,,,,,,,,,,,,,,1.3,3.17,,2.18,0.63,0.26,0.78,,0.81,,0.48,,0.48,0.07,,,,,,,,,,,,,,,0.512291,,,,,15.968,,14.823,,35.106,,,,,,,,,,,,,,,198484,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA6 [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,SPINIFEX-TEXTURED [5474] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5474] ,220161.885,2637.096,,17200.6575,,,,94053.3,54245.729999999996,175484.63999999998,,,0.,0.,130.9263,75000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,110,2085,,,,1760,,,,,,,,0.29,78.9,4,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512676,,,,,15.383,,14.736,,35.994,,,,,,,,,,,,,,,198485,
[5474],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),AMAZONIAN CRATON / CRIXAS GREENSTONE BELT / PILAR DE GOIAS GREENSTONE BELT / ALAGADINHO FORMATION,"FIRST OUTCROP AREA, ALAGADINHO CREEK, CENTRAL GOIAS STATE",-14.5,-15,-50,-50,SUBAERIAL,,,s NPA6B [5474],KOMATIITE [5474],,,,ARCHEAN [5474],,,,SPINIFEX-TEXTURED [5474] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5474] ,202399.355,2876.832,,19370.586600000002,,,,106490.09999999999,46455.5,191163.68,,,0.,816.0427,261.8526,95000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,121,1997,,,,2012,,,,,,,,0,128,6,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198486,
