Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9444 [5231],THOLEIITE [5231],,,,ARCHEAN [5231],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,238859.28500000003,6952.343999999999,,74624.391,,,,101437.65000000001,61964.49,42333.407999999996,1471.4702,,4648.84,19807.581899999997,392.77889999999996,,,,,,,,,,,,,,,,7300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,143,,,52,106,,,,,,,,10.1,132,29.2,64.5,,,,,,,,,,,,,,,2.62,8.03,,7.251,2.67,0.941,3.82,,4.73,,3.08,,3.03,,,,,,,,,,,,,,,,0.513167,,,,,,,,,,,,,,,,,,,,,,,,168292
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 91154 [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE PORPHYRITIC [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,213617.79500000004,2037.756,,32707.7118,,,,83248.83,40523.49,180912.,1316.5786,,166.03,74.1857,218.21050000000002,,,,,,,,,,,,,,,,83500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,3220,,,103,1454,,,,,,,,0.65,24.9,8,20.6,,,,,,,,,,,,,,,0.432,1.43,,1.274,0.5271,0.22,1,,1.24,,0.762,,0.716,,,,,,,,,,,,,,,,0.513773,,,,,,,,,,,,,,,,,,,,,,,,168293
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 91157 [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE PORPHYRITIC [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,214552.665,2037.756,,31384.5843,,,,79051.41,37736.16,186942.4,1239.1328,,166.03,74.1857,261.8526,,,,,,,,,,,,,,,,76800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,2902,,,100,1606,,,,,,,,1.3,14,7.54,19.4,,,,,,,,,,,,,,,0.466,1.58,,1.76,0.723,0.239,1.04,,1.27,,0.798,,0.75,,,,,,,,,,,,,,,,0.513751,,,,,,,,,,,,,,,,,,,,,,,,168294
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9332 [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE PORPHYRITIC [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,212215.49000000002,2097.6899999999996,,34083.7644,,,,73454.84999999999,47599.020000000004,182721.12,1316.5786,,166.03,148.3714,305.4947,,,,,,,,,,,,,,,,76000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,2859,,,104,1609,,,,,,,,1.9,19.4,7.9,19.9,,,,,,,,,,,,,,,0.488,1.64,,1.447,0.5911,0.249,1.08,,1.33,,0.833,,0.772,,,,,,,,,,,,,,,,0.513721,,,,,,,,,,,,,,,,,,,,,,,,168295
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 91155 [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE SPINIFEX [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,210813.18500000003,2457.294,,37100.4951,,,,98639.37,42381.71,164026.87999999998,1239.1328,,332.06,148.3714,261.8526,,,,,,,,,,,,,,,,63000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,202,3812,,,113,1167,,,,,,,,1.3,13.8,9.57,24.5,0.768,,,,,,,,,,,,,,0.505,1.66,,1.794,0.811,0.27,1.21,,1.51,,0.904,,0.834,,,,,,,,,,,,0.285,,0.0487,0.019,0.514021,,,,,,,,,,,,,,,,,,,,,,,,168296
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 91156 [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE SPINIFEX [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,213150.36000000002,3416.2379999999994,,50120.06970000001,,,,97939.8,54317.2,133271.84,1394.0244,,498.09,2967.428,305.4947,,,,,,,,,,,,,,,,57000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,,234,3711,,,110,1007,,,,,,,,1.3,16.9,11.7,28.5,0.937,,,,,,,,,,,,,,0.65,2.33,,2.7,1.072,0.353,1.62,,1.97,,1.21,,1.12,,,,,,,,,,,,0.299,,0.0613,0.0239,0.513661,,,,,,,,,,,,,,,,,,,,,,,,168297
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9454 [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE CUMULATE [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,203334.225,1678.152,,25827.448800000002,,,,79750.98,26300.960000000003,217094.4,1394.0244,,166.03,148.3714,174.5684,,,,,,,,,,,,,,,,109800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,3276,,,118,1892,,,,,,,,0.5,5.55,6,15.5,0.443,,,,,,,,,,,,,,0.412,1.25,,1.28,0.519,0.163,0.771,,0.966,,0.614,,0.589,,,,,,,,,,,,,,0.0375,0.0174,0.513655,,,,,,,,,,,,,,,,,,,,,,,,168298
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 9457 [5231],KOMATIITE [5231],,,,ARCHEAN [5231],,,,OLIVINE CUMULATE [5231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,203801.66000000003,1378.482,,20587.8639,,,,78351.84,14508.409999999998,233979.51999999996,1394.0244,,83.015,148.3714,130.9263,,,,,,,,,,,,,,,,124800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,88,3212,,,132,2182,,,,,,,,0.5,4.5,4.8,12.2,0.364,,,,,,,,,,,,,,0.35,1.06,,1.059,0.4196,0.12,0.615,,0.77,,0.492,,0.478,,,,,,,,,,,,0.132,,0.0307,0.0167,0.513572,,,,,,,,,,,,,,,,,,,,,,,,168299
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 134A/93 [5231],RHYOLITE [5231],2795000000 [5231],2800000000 [5231],,ARCHEAN [5231],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.745,2.788,,,,,,,,,,,,,,,,,,,,,,,,0.51087,,,,,,,,,,,,,,,,,,,,,,,,168311
[5231],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / GIMOLA-KOSTOMUKSHA GREENSTONE BELT / KOSTOMUKSHA SYNFORM - KONTOK GROUP,DRILL HOLE NO. 15,64.65,64.65,30.75,30.75,SUBAERIAL,,,s 136/93 [5231],RHYOLITE [5231],2800000000 [5231],2800000000 [5231],,ARCHEAN [5231],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5231] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.885,1.547,,,,,,,,,,,,,,,,,,,,,,,,0.510831,,,,,,,,,,,,,,,,,,,,,,,,168312
