Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0020 [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,233343.55200000003,10728.186,,76212.144,,,,100038.51,44454.34,38353.344,1091.98578,,11124.01,20030.139,916.4841,,,,,,,,,,,,,,,,24200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,351,38.5,,,41,38.2,,105,21.3,1.43,,,,31.6,190,36.5,154,10.4,,,,,,,,,,,,0.415,1012,15.6,36.4,4.62,20.3,5.42,1.87,5.75,1.11,7.53,1.55,4.54,0.658,4.11,0.587,4.68,0.786,,,,,,,,,,,5.89,1.28,,,,,,,,,,,,,,,,,,,,,,,,,229580,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0023 [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,245870.81000000003,10068.911999999998,,73036.638,,,,93975.56999999999,64251.53,29850.48,1401.7689799999998,,7388.335,13724.3545,960.1262,,,,,,,,,,,,,,,,11299.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,328,57.6,,,38.8,41.8,,102,20.7,1.31,,,,11.2,169,36.4,169,10.1,,,,,,,,,,,,0.13,234,24.3,52.3,6.39,27,6.37,1.93,6.27,1.15,7.44,1.52,4.49,0.653,4.05,0.575,4.98,0.718,,,,,,,,,,,4.93,0.805,,,,,,,,,,,,,,,,,,,,,,,,,229581,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0024 [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,226098.3095,7611.6179999999995,,76212.144,,,,93742.38,73185.28,46976.816,1479.21478,,7056.275,15059.697099999998,610.9894,,,,,,,,,,,,,,,,15500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,307,234.7,,,44.8,69.4,,89.1,17.1,1.38,,,,16.9,197,27,90.4,4.96,,,,,,,,,,,,0.166,203,8.52,20.1,2.78,13.2,3.53,1.25,4.07,0.761,4.81,1.01,3.07,0.454,2.83,0.398,2.54,0.388,,,,,,,,,,,1.55,0.31,,,,,,,,,,,,,,,,,,,,,,,,,229582,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0031 [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,245824.06650000004,10548.384,,68802.63,,,,96929.31000000001,63036.54,28222.271999999997,1541.1714200000001,,5728.035,17582.0109,872.8420000000001,,,,,,,,,,,,,,,,18600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,322,65.2,,,32.3,33.8,,100,18.1,1.4,,,,7.63,284,36.4,137,9.59,,,,,,,,,,,,0.101,182,18.2,40.4,5.07,22.1,5.51,1.73,5.56,1.04,6.73,1.4,4.07,0.613,3.87,0.545,4.11,0.72,,,,,,,,,,,4.37,0.948,,,,,,,,,,,,,,,,,,,,,,,,,229583,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0187 [8678],"BASALT, CALC-ALKALINE [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,238158.13250000004,5310.1524,,97911.435,,,,73610.31000000001,42024.36,32624.464,1572.14974,,11456.07,25668.2522,741.9157,,,,,,,,,,,,,,,,28000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,153,91.1,,,27.7,48.9,,158,19.8,1.16,,,,41.2,103,19,134,5.28,,,,,,,,,,,,0.718,516,16.5,35.3,4.21,16.9,3.71,1.16,3.45,0.601,3.6,0.735,2.18,0.318,2.05,0.315,3.45,0.443,,,,,,,,,,,5.22,1.19,,,,,,,,,,,,,,,,,,,,,,,,,229584,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0313B [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,241196.46000000002,9589.44,,71448.88500000001,,,,102681.33,68396.79000000001,33890.848,1688.31844,,4316.78,19288.282,785.5577999999999,,,,,,,,,,,,,,,,3700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,331,36.1,,,40.3,32.3,,104,19.2,1.29,,,,7.47,235,33.3,141,8.24,,,,,,,,,,,,0.183,204,16.1,36.5,4.73,20.6,4.93,1.66,5.18,0.938,6.13,1.28,3.8,0.536,3.41,0.478,3.76,0.563,,,,,,,,,,,3.58,0.625,,,,,,,,,,,,,,,,,,,,,,,,,229585,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-1049 [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,223761.13450000001,8091.09,,67744.12800000001,,,,114651.75,62965.07000000001,55901.808,1316.5786,,10376.875,13872.7259,436.42100000000005,,,,,,,,,,,,,,,,10600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,445,221,,,79,199,,109,18,1.8,,,,9.7,93.9,27,73,4.9,,,,,,,,,,,,0.1,57,10.3,31.3,3.32,15.1,4.07,1.29,4.42,0.81,4.93,1,2.9,0.416,2.68,0.428,2.3,0.29,,,,,,,,,,,1.2,0.36,,,,,,,,,,,,,,,,,,,,,,,,,229586,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-4307 [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,231006.37700000004,5394.0599999999995,,82563.156,,,,84803.43000000001,58462.46,49087.456,1827.7208799999999,,12369.235,16024.111200000001,305.4947,,,,,,,,,,,,,,,,19500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,275,252,,,46.6,128,,94.8,15.5,1.17,,,,40.1,122,21.2,51.5,1.53,,,,,,,,,,,,1.721,242,2.89,7.9,1.23,6.38,2.28,0.97,2.86,0.59,4.06,0.858,2.6,0.393,2.42,0.36,1.59,0.172,,,,,,,,,,,0.92,0.339,,,,,,,,,,,,,,,,,,,,,,,,,229587,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-4341A [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,233343.55200000003,7731.486,,78858.399,,,,81616.5,44025.520000000004,44021.92,1246.8773800000001,,15025.715,29080.7944,6197.178199999999,,,,,,,,,,,,,,,,15000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,305,245,,,38.1,78.8,,70.7,18.3,1.55,,,,47.5,150,27.4,107,5.81,,,,,,,,,,,,1.643,392,9.57,23,3.04,13.6,3.65,1.3,4.26,0.826,5.1,1.08,3.26,0.475,2.98,0.431,2.94,0.46,,,,,,,,,,,2.91,0.739,,,,,,,,,,,,,,,,,,,,,,,,,229588,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-4341B [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,240962.7425,7371.882,,75153.64199999999,,,,80606.01,57962.17,44323.439999999995,1223.64364,,5977.08,30416.136999999995,567.3473,,,,,,,,,,,,,,,,10500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,279,236,,,36.1,100,,63.4,16.5,1.41,,,,14.8,180,26.7,98.6,5.11,,,,,,,,,,,,0.218,162,10.2,23.8,3.07,13.9,3.67,1.29,4.15,0.798,4.89,1.03,3.14,0.454,2.86,0.403,2.81,0.434,,,,,,,,,,,2.85,0.651,,,,,,,,,,,,,,,,,,,,,,,,,229589,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-4344A [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,225397.157,7072.2119999999995,,76212.144,,,,86358.03,80618.15999999999,42393.712,1610.8726399999998,,13946.519999999999,12018.0834,523.7052,,,,,,,,,,,,,,,,19500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,285,258,,,38.4,71.4,,72.9,16.2,1.34,,,,29,260,24.9,79.9,4.23,,,,,,,,,,,,0.43,154,7.81,18.4,2.58,12.2,3.39,1.25,3.84,0.745,4.64,0.975,2.98,0.431,2.61,0.384,2.31,0.366,,,,,,,,,,,1.23,0.253,,,,,,,,,,,,,,,,,,,,,,,,,229590,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-4344B [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,240495.30750000002,8462.680799999998,,75682.89300000001,,,,84881.16,68611.2,40463.984,1401.7689799999998,,7056.275,17730.3823,654.6315,,,,,,,,,,,,,,,,10500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,306,119,,,33.5,66.4,,85.6,17.7,1.37,,,,15.6,147,26.8,115,6.04,,,,,,,,,,,,0.232,305,11.3,26.2,3.43,15.5,4.1,1.44,4.46,0.873,5.47,1.14,3.42,0.513,3.18,0.457,3.18,0.498,,,,,,,,,,,3.1,0.746,,,,,,,,,,,,,,,,,,,,,,,,,229591,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-4537 [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,232969.60400000002,8330.826,,78329.148,,,,83404.29000000001,66324.15999999999,40283.07199999999,1401.7689799999998,,6060.095,27374.523299999997,698.2736,,,,,,,,,,,,,,,,17400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,307,161,,,41.5,58.6,,90.5,18.9,1.55,,,,13.2,195,30.1,96,6.09,,,,,,,,,,,,0.228,117,9.66,23.1,3.27,15.5,4.08,1.49,4.63,0.896,5.54,1.17,3.55,0.519,3.2,0.467,2.97,0.451,,,,,,,,,,,1.5,0.46,,,,,,,,,,,,,,,,,,,,,,,,,229592,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-4568 [8678],"BASALT, THOLEIITIC [8678]",,,,ARCHEAN [8678],,,,FINE- TO MEDIUM-GRAINED [8678] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8678] ,261716.85650000002,7791.42,,73565.88900000001,,,,84026.13,38808.21,30212.303999999996,1068.75204,,8633.56,23145.9384,698.2736,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,253,0,,,32.5,24.9,,96.7,20.8,1.09,,,,23.1,303,30.1,139,8.32,,,,,,,,,,,,0.333,480,14.7,31.3,3.84,15.6,3.78,1.32,4.44,0.854,5.38,1.14,3.4,0.488,3.1,0.465,4.11,0.639,,,,,,,,,,,6.34,1.55,,,,,,,,,,,,,,,,,,,,,,,,,229593,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0320 [8678],GABBRO [8678],,,,ARCHEAN [8678],,,,COARSE-GRAINED [8678] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [8678] ,233109.8345,13305.348,,75100.7169,,,,98095.26,47884.9,38775.471999999994,1200.4098999999999,,5811.049999999999,27745.4518,1352.9051,,,,,,,,,,,,,,,,18600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,266,52.3,,,55.2,39.3,,78.6,24.5,1.43,,,,12.8,268,28.9,152,11.4,,,,,,,,,,,,0.144,230,17.9,44,5.77,24.9,5.59,2.08,5.37,0.95,5.6,1.13,3.14,0.428,2.68,0.385,4.26,0.729,,,,,,,,,,,5.33,0.643,,,,,,,,,,,,,,,,,,,,,,,,,229594,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0324 [8678],GABBRO [8678],,,,ARCHEAN [8678],,,,COARSE-GRAINED [8678] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [8678] ,202305.86800000002,13904.687999999998,,86056.21260000001,,,,97007.04000000001,80546.69,31177.167999999998,2919.70666,,14444.61,7566.9414,1832.9682,,,,,,,,,,,,,,,,26200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,280,276,,,68.3,47.1,,175,26,1.81,,,,71.4,275,46.1,163,10.5,,,,,,,,,,,,0.929,678,21.8,48.5,6.37,27.9,6.74,2.35,7.12,1.27,7.95,1.65,4.81,0.7,4.27,0.628,4.56,0.814,,,,,,,,,,,4.86,1.55,,,,,,,,,,,,,,,,,,,,,,,,,229595,
[8678],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / MURMAC BAY GROUP,"SOUTH OF LODGE BAY GRANITE NEAR ELLIOT BAY ON NORTHERN SHORE OF LAKE ATHABASCA, SASKATCHEWAN",59.6,59.7,-109,-109.5,SUBAERIAL,,,s 4700-0416B [8678],GABBRO [8678],,,,ARCHEAN [8678],,,,COARSE-GRAINED [8678] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [8678] ,233483.78250000003,13784.819999999998,,83727.50820000001,,,,101049,41667.01,27378.016,1665.0846999999999,,12535.265,27968.0089,1876.6103,,,,,,,,,,,,,,,,16500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,248,123,,,39.9,0,,144,19.6,1.45,,,,37.8,221,45.4,178,11.8,,,,,,,,,,,,1.86,673,22.7,50.3,6.49,29.2,6.88,2.42,7.23,1.25,7.89,1.66,4.98,0.705,4.42,0.676,5,0.879,,,,,,,,,,,4.65,1.72,,,,,,,,,,,,,,,,,,,,,,,,,229596,
