Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s 23-9 [7108],KOMATIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,209130.41900000002,8990.099999999999,,49061.5677,,,,114651.75,74614.68,104386.22399999999,2091.0366,,996.18,4599.5134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,2254,,,94,1141,,,,,,,,4,37,20,86,5,,,,,,,,,,,,,24,,13.3,,11.9,3.5,1.19,3.9,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183522,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s K-3 [7108],KOMATIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,210813.18500000003,4854.654,,62822.0937,,,,92498.7,80046.4,94978.79999999999,1703.8076,,5811.049999999999,9718.3267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1347,,,35,378,,,,,,,,12,214,17,66,4,,,,,,,,,,,,,106,,13.69,,8.63,2.29,0.81,2.53,,2.81,,1.7,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183523,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s 19-1 [7108],KOMATIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,211140.38950000002,4974.521999999999,,62769.1686,,,,107811.51,83334.02,88043.84,2091.0366,,1079.195,8605.5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,2416,,,88,747,,,,,,,,5,86,15,50,3,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183526,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s 302 [7108],THOLEIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,234745.85700000002,6293.07,,74465.61570000001,,,,79595.52,78045.24,56987.27999999999,1548.9160000000002,,1162.21,15727.3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,805,,,61,110,,,,,,,,0,175,15,45,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183529,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s K-20 [7108],THOLEIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,238906.02850000001,6053.334,,82457.3058,,,,99960.78,45026.1,56987.27999999999,1936.145,,3154.57,19065.724899999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,367,,,33,181,,,,,,,,10,92,22,60,0,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183530,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s 301 [7108],THOLEIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,239840.89850000004,6173.202,,72242.76150000001,,,,98950.29000000001,65895.34000000001,52946.91199999999,1626.3618,,1660.3000000000002,18398.0536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,785,,,56,194,,,,,,,,0,2080,18,93,14,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183531,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s 13-5B [7108],THOLEIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,240962.7425,5873.531999999999,,70655.0085,,,,99960.78,73042.34000000001,51077.488,1239.1328,,664.12,8976.4697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,272,,,40,120,,,,,,,,4,151,21,65,4,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183532,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s 23-10 [7108],THOLEIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,234979.57450000005,3955.644,,76370.91930000001,,,,83948.40000000001,77473.48,51017.184,1394.0244,,664.12,22255.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,196,,,55,112,,,,,,,,6,75,17,45,3,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183533,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s 23-5 [7108],THOLEIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,233951.2175,4854.654,,78593.7735,,,,91488.20999999999,83476.95999999999,46192.864,1548.9160000000002,,581.105,15801.5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,415,,,65,140,,,,,,,,2,92,18,58,5,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183535,
[7108],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),DHARWAR CRATON / EASTERN DHARWAR CRATON DOMAIN / KOLAR GREENSTONE BELT,"CENTRAL KOLAR SCHIST BELT, DHARWAR SUPERGROUP",13.13,13.13,78.13,78.13,SUBAERIAL,,,s 19-3 [7108],THOLEIITE [7108],,,,ARCHEAN [7108],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7108] ,244608.7355,4914.588,,79916.901,,,,88068.09,73685.57,45891.344,2245.9282,,1245.225,16098.2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,197,,,55,103,,,,,,,,4,92,23,54,4,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183536,
