Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8384],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / SLEAFORD COMPLEX / CARNOT GNEISSES,"CAPE CARNOT, GAWLER CRATON",-34.95,-34.95,135.6333,135.6333,SUBAERIAL,,,s JC3 [8384],GNEISS [8384],2837000000 [8384],2837000000 [8384],,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8384] ,355951.75250000006,1498.35,,68114.60369999999,,12379.380000000001,,,14436.94,2412.16,154.8916,,19176.465,27819.637499999997,130.9263,,,,,,,,,,,,,,,,3300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,17,398,,,,11,,,13,,,,,43,135,10,171,6,,,,,,,,,,,,,503,39,70,,17.12,2.64,,,,,,,,,,,,,,,,,,,,14.9,,11,0.2,0.510916,,,0.7432,,,,,,,,,,,,,,,,,,,,,215095,
[8384],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / SLEAFORD COMPLEX / CARNOT GNEISSES,"CAPE CARNOT, GAWLER CRATON",-34.95,-34.95,135.6333,135.6333,SUBAERIAL,,,s 446/256 [8384],AUGENGNEISS [8384],2643000000 [8384],2643000000 [8384],,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8384] ,327578.44800000003,3835.776,,79228.8747,,25108.46,,,9434.04,12543.232,309.7832,,45658.25,20697.8103,392.77889999999996,,,,,,,,,,,,,,,,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,60,434,,,,21,,,19,,,,,126,140,16,275,7,,,,,,,,,,,,,664,88.3,215,,96.63,16.16,1.06,7.49,,3.43,,3.24,,0.84,,,,,,,,,,,,40,,52,2.3,0.510933,,,0.7988,,,,,,,,,,,,,,,,,,,,,215096,
[8384],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / SLEAFORD COMPLEX / CARNOT GNEISSES,"CAPE CARNOT, GAWLER CRATON",-34.95,-34.95,135.6333,135.6333,SUBAERIAL,,,s 446/F30 [8384],GRANULITE [8384],2640000000 [8384],2640000000 [8384],,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8384] ,222218.59900000002,16002.377999999999,,68961.4053,,124283.37999999999,,,71755.87999999999,41187.632,2013.5908,,2075.375,12166.4548,4756.9889,,,,,,,,,,,,,,,,-5400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,460,223,,,,65,,,20,,,,,52,61.4,60,170,17,,,,,,,,,,,,,317,37,70,,28.8,7.49,,,,,,,,,,,,,,,,,,,,3,,1,0,0.511981,,,0.71321,,,,,,,,,,,,,,,,,,,,,215097,
[8384],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / SLEAFORD COMPLEX / CARNOT GNEISSES,"CAPE CARNOT, GAWLER CRATON",-34.95,-34.95,135.6333,135.6333,SUBAERIAL,,,s 446/C142 [8384],GRANULITE [8384],2640000000 [8384],2640000000 [8384],,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8384] ,236942.8015,5034.455999999999,,77111.8707,,90502.36,,,84048.72,46856.20799999999,1626.3618,,5395.975,6973.4558,261.8526,,,,,,,,,,,,,,,,-100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,278,368,,,,87,,,17,,,,,19.1,80.4,24,51,4,,,,,,,,,,,,,203,7,16.92,,8.12,2.32,0.65,2.86,,3.86,,2.35,,2.43,,,,,,,,,,,,6.6,,1,0.7,0.51182,,,0.73215,,,,,,,,,,,,,,,,,,,,,215098,
[8384],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / DEVILS PLAYGROUND VOLCANICS,"DEVILS PLAYGROUND, GAWLER CRATON",-30,-30,136.2667,136.2667,SUBAERIAL,,,s DPA [8384],RHYOLITE [8384],2525000000 [8384],2525000000 [8384],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8384] ,341928.7025000001,1977.822,,65891.7495,,29724.5,,,5932.009999999999,9226.511999999999,464.6748,,13780.49,27374.523299999997,218.21050000000002,,,,,,,,,,,,,,,,23100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,10,146,,,,7,,,15,,,,,45.9,48.2,45,300,12,,,,,,,,,,,,,503,28,59,,26.46,6.09,,,,,,,,,,,,,,,,,,,,4.5,,11,1.8,0.511528,,,0.78548,,,,,,,,,,,,,,,,,,,,,215099,
[8384],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / DEVILS PLAYGROUND VOLCANICS,"DEVILS PLAYGROUND, GAWLER CRATON",-30,-30,136.2667,136.2667,SUBAERIAL,,,s DPB [8384],BASALT [8384],2525000000 [8384],2525000000 [8384],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8384] ,271719.96550000005,8151.024,,81663.4293,,77003.94,,,5574.66,33167.2,1239.1328,,4067.735,29748.465699999997,1134.6946,,,,,,,,,,,,,,,,35800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,140,39,,,,5,,,18,,,,,13.6,77.6,30,166,7,,,,,,,,,,,,,145,23,36,,28.56,5.93,,,,,,,,,,,,,,,,,,,,4.9,,4,0.6,0.511589,,,0.72266,,,,,,,,,,,,,,,,,,,,,215100,
[8701],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / CHRISTIE GNEISS,"CENTRAL GAWLER CRATON, MOUNT CHRISTIE, CD1",-30.3,-30.3,133.5167,133.5167,SUBAERIAL,,,s 506598 [8701],METAPELITE [8701],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8701] ,256154.38,25651.752,,84150.909,,111904,,,4502.61,36966.352,1006.7954,,11788.13,1928.8282,261.8526,,,,,,,,,,,,,,,400.,6400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25659,170,120,,,69,44,37,250,29.5,,,,,76,20,25,50,64,,,,,,,,,,,,,210,41,84,11.5,43.2,8.46,0.2,6,1.05,5,0.84,2.5,0.3,2,0.27,1,,,,,,,,,,6,,28,1.3,0.511165,,,,,,,,,,,,,,,,,,,,,,,,231504,
[8701],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / CHRISTIE GNEISS,"CENTRAL GAWLER CRATON, MOUNT CHRISTIE, CD1",-30.3,-30.3,133.5167,133.5167,SUBAERIAL,,,s 506600 [8701],GNEISS [8701],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8701] ,334216.025,2876.832,,64568.621999999996,,50986.26,,,10791.97,15377.519999999999,697.0122,,15440.79,14837.14,218.21050000000002,,,,,,,,,,,,,,,2200.,4700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2848,70,210,,,65,73,340,74,14.5,,,,,57,145,33,360,4,,,,,,,,,,,,,400,18,30.5,3.5,11.5,2.6,0.83,4,1,6,1.15,3.9,0.55,3.5,0.51,9,,,,,,,,,,180,,3.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,231505,
[8701],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / CHRISTIE GNEISS,"CENTRAL GAWLER CRATON, MOUNT CHRISTIE, CD2",-30.3,-30.3,133.5167,133.5167,SUBAERIAL,,,s 506606 [8701],METAPELITE [8701],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8701] ,323465.02,3236.436,,82033.905,,36368.8,,,11935.49,13508.096000000001,464.6748,,28806.205,15133.8828,305.4947,,,,,,,,,,,,,,,1800.,9100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3207,40,160,,,46,52,49.5,65,17.5,,,,,69,190,14.5,220,6,,,,,,,,,,,,,850,46,86,10.5,32,5.24,1.2,3.8,0.6,2.9,0.52,1.65,0.25,1.55,0.24,6,,,,,,,,,,30.5,,22.5,1.2,0.510916,,,,,,,,,,,,,,,,,,,,,,,,231506,
[8701],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),GAWLER CRATON / SOUTH AUSTRALIA / MULGATHING COMPLEX / CHRISTIE GNEISS,"CENTRAL GAWLER CRATON, MOUNT CHRISTIE, CHRISTIE CORNER",-30.3,-30.3,133.5167,133.5167,SUBAERIAL,,,s 505729 [8701],GNEISS [8701],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8701] ,319725.54000000004,4075.512,,80975.403,,35739.340000000004,,,15794.869999999999,14231.743999999999,542.1206000000001,,22912.14,22107.3386,218.21050000000002,,,,,,,,,,,,,,,100.,5300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4079,100,160,,,41,12,18,63,18.5,,,,,83,340,20,220,4.5,,,,,,,,,,,,,650,50,83,10,35.5,5.5,1.6,4.1,0.6,3.1,0.6,1.5,0.2,1.15,0.2,6,,,,,,,,,,24,,14.5,0.97,,,,,,,,,,,,,,,,,,,,,,,,,231507,
