Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / WELTEVREDEN FORMATION,"BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA412-8 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,257790.40250000003,2637.096,,55042.10400000001,,,,72988.47,51315.46,79540.976,1394.0244,,498.09,21588.0387,218.21050000000002,31900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,,,,,,,,,,,,0.92,41.3,12.73,32.4,1.32,,,,,,,,,,,,1.02,22.5,2.59,6.49,0.88,4.358,1.243,0.45,1.58,0.28,1.89,0.43,1.24,0.18,1.23,0.2,0.79,0.03,,,,,,,,,0.56,,0.32,0.062,0.512194,,,,,,,,,,,,,,,,,,,,,,,,155423,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / WELTEVREDEN FORMATION,"BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA412-9 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,251760.491,2637.096,,53718.976500000004,,,,83948.40000000001,63965.649999999994,64284.064,1471.4702,,498.09,26781.037699999997,174.5684,18700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,,,,,,,,,,,,0.76,25.3,8.74,19.8,0.94,,,,,,,,,,,,0.34,12,0.84,2.52,0.4,2.509,0.947,0.33,1.19,0.19,1.54,0.33,1.04,0.15,0.97,0.14,0.49,0.01,,,,,,,,,0.38,,0.07,0.02,0.513407,,,,,,,,,,,,,,,,,,,,,,,,155424,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION,"BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA 107-3 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,278404.286,3895.71,,43504.4322,,,,51379.530000000006,79331.7,50896.575999999994,1548.9160000000002,,1162.21,35905.8788,523.7052,5400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,49.3,12.68,39.6,1.84,,,,,,,,,,,,0.04,45.4,3.81,9.36,1.27,6.05,1.67,0.65,2.12,0.36,2.26,0.48,1.33,0.18,1.23,0.19,0.95,0.037,,,,,,,,,2.13,,0.23,0.042,,,,,,,,,,,,,,,,,,,,,,,,,155426,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION,"BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA 107-6B [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,232455.4255,3895.71,,34454.2401,,,,105324.15000000001,78116.70999999999,95280.31999999999,1936.145,,581.105,6379.9702,261.8526,27700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726,,,,,,,,,,,,2.49,17.1,13.61,40.4,1.89,,,,,,,,,,,,0.66,16.5,3.67,9.95,1.33,6.566,1.886,0.66,2.22,0.38,2.39,0.51,1.41,0.2,1.29,0.2,0.99,0.04,,,,,,,,,0.34,,0.46,0.081,0.512166,,,,,,,,,,,,,,,,,,,,,,,,155427,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION,"BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA 107-10 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,248441.7025,4375.182,,39429.1995,,,,91410.48,71112.65,77912.768,1781.2534,,2490.45,15578.997,261.8526,22000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,,,,,,,,,,,,3.37,63.2,14.38,44.8,2.47,,,,,,,,,,,,0.28,247,3.59,8.96,1.25,6.495,2.026,0.65,2.37,0.35,2.54,0.54,1.57,0.21,1.44,0.19,1.07,0.04,,,,,,,,,0.12,,0.27,0.06,0.512564,,,,,,,,,,,,,,,,,,,,,,,,155430,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION,"BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA 107-11 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,261342.9085,4195.379999999999,,39217.4991,,,,72755.28,77759.36,66997.74399999999,1471.4702,,913.165,23887.7954,305.4947,10700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,,,,,,,,,,,,2.25,33,13.27,42.6,2.39,,,,,,,,,,,,0.17,57.9,4.11,9.79,1.33,6.859,2.04,0.66,2.25,0.33,2.45,0.5,1.38,0.19,1.29,0.19,1.07,0.03,,,,,,,,,0.82,,0.29,0.04,0.512365,,,,,,,,,,,,,,,,,,,,,,,,155431,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION,"KOMATI TYPE SECTION, EAST OF SPINIFEX STREAM, BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA166-1 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,220863.0375,3056.634,,26144.999400000004,,,,87057.59999999999,84906.36,134779.44,1548.9160000000002,,83.015,0.,174.5684,60599.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146,,,,,,,,,,,,0.24,30.4,9.68,28.6,1.47,,,,,,,,,,,,0.47,5.27,2.21,5.99,0.88,4.532,1.392,0.55,1.77,0.29,1.8,0.37,1.03,0.14,0.97,0.14,0.73,0.034,,,,,,,,,0.34,,0.16,0.025,0.512412,,,,,,,,,,,,,,,,,,,,,,,,155432,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION,"KOMATI TYPE SECTION, EAST OF SPINIFEX STREAM, BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA 229-2 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,222171.85550000003,3236.436,,25721.5986,,,,79517.79000000001,104060.32,124768.976,1703.8076,,166.03,0.,218.21050000000002,39500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,1.87,10.7,9.92,27.3,1.84,,,,,,,,,,,,0.64,4.1,2.26,6.76,0.94,5.259,1.606,0.56,1.78,0.26,1.85,0.39,1.08,0.14,0.97,0.13,0.68,0.03,,,,,,,,,0.29,,0.16,0.03,0.512453,,,,,,,,,,,,,,,,,,,,,,,,155433,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION,"KOMATI TYPE SECTION, EAST OF SPINIFEX STREAM, BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA 229-3 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,220816.29400000002,3116.5679999999998,,24821.871900000002,,,,92731.89,85263.70999999999,132065.75999999998,1471.4702,,83.015,0.,218.21050000000002,46000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2237,,,,,,,,,,,,0.94,11.1,8.54,24.2,1.73,,,,,,,,,,,,0.54,18.4,1.96,5.73,0.78,4.29,1.329,0.46,1.49,0.22,1.63,0.34,0.93,0.13,0.86,0.12,0.63,0.03,,,,,,,,,0.09,,0.15,0.03,0.512508,,,,,,,,,,,,,,,,,,,,,,,,155434,
[5316],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KOMATI FORMATION,"KOMATI TYPE SECTION, EAST OF SPINIFEX STREAM, BARBERTON MOUNTAIN LAND, EASTERN TRANSVAAL",-25.77,-25.77,31,31,SUBAERIAL,,,s SA 229-5 [5316],KOMATIITE [5316],3200000000 [5316],3500000000 [5316],,ARCHEAN [5316],,,,SPINIFEX [5316] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5316] ,228856.17600000004,1977.822,,15983.380200000001,,,,96696.12,73399.69,139965.584,1161.687,,0.,0.,130.9263,45100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321,,,,,,,,,,,,0.41,14.2,6.57,14.9,0.89,,,,,,,,,,,,0.26,4.07,1.21,3.62,0.53,2.956,0.947,0.29,1.16,0.2,1.21,0.26,0.66,0.1,0.64,0.1,0.43,0.019,,,,,,,,,0.32,,0.09,0.017,0.51263,,,,,,,,,,,,,,,,,,,,,,,,155435,
