Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ29B [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,247273.11500000002,2816.8979999999997,,59805.363000000005,,19583.199999999997,58297.5,,60034.8,71761.76,1316.5786,,996.18,5044.6276,741.9157,31900.,,,,800.,,,,,,,,,,,31000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,,,57,212,,,,,,,,,,12,29,1.4,,,,,,,,,,,,,,3.17,6.69,0.86,4.24,1.24,0.53,1.3,0.27,1.88,0.39,1.16,0.18,1.15,0.18,0.8,0.14,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,199399,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ29C [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,248675.42000000004,3116.5679999999998,,65097.87300000001,,21681.4,54411,,58605.399999999994,63319.2,1394.0244,,0.,11869.712,1309.263,28400.,,,,900.,,,,,,,,,,,29000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,49,164,,,,,,,,,,13,32,1.5,,,,,,,,,,,,,,2.67,5.92,0.82,4.18,1.34,0.6,1.34,0.31,2.07,0.43,1.29,0.2,1.35,0.21,0.9,0.19,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,199400,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ31 [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,242131.33000000002,3116.5679999999998,,55042.10400000001,,22380.800000000003,56742.9,,52173.1,81410.4,1394.0244,,581.105,6009.0417,1265.6209,38700.,,,,1000.,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,,,56,193,,,,,,,,,,12,26,1.3,,,,,,,,,,,,,,3.44,6.89,0.89,4.44,1.24,0.67,1.29,0.28,1.88,0.39,1.16,0.18,1.2,0.19,0.8,0.13,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,199401,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ32 [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,244935.94,3116.5679999999998,,49749.594000000005,,16785.6,55188.299999999996,,58605.399999999994,85028.64,1006.7954,,7056.275,3041.6137,960.1262,34300.,,,,900.,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,,,53,184,,,,,,,,,,11,30,1.2,,,,,,,,,,,,,,2.16,4.98,0.67,3.4,1.09,0.44,1.09,0.25,1.75,0.36,1.05,0.16,1.07,0.18,0.8,0.11,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,199402,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ33A [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,237924.415,3775.8419999999996,,59805.363000000005,,18883.800000000003,57520.200000000004,,46455.5,78998.23999999999,1084.2412000000002,,9131.650000000001,8902.284,1178.3367,38500.,,,,800.,,,,,,,,,,,39000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,,,54,210,,,,,,,,,,12,29,1.4,,,,,,,,,,,,,,2.53,5.71,0.84,4.26,1.36,0.62,1.33,0.3,2.04,0.42,1.24,0.19,1.3,0.2,0.9,0.13,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,199403,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ41 [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,240261.59000000003,2457.294,,67744.12800000001,,22380.800000000003,55188.299999999996,,37879.1,71761.76,1006.7954,,3984.72,23739.424,916.4841,33900.,,,,1100.,,,,,,,,,,,32000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,,,53,174,,,,,,,,,,12,31,1.5,,,,,,,,,,,,,,1.91,5.09,0.75,3.97,1.26,0.44,1.29,0.29,2.02,0.42,1.2,0.19,1.24,0.2,0.9,0.16,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,199404,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ20A [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,219694.45,7791.42,,79916.901,,38467.,63738.59999999999,,72184.7,44624.96,1161.687,,3984.72,11127.855,1091.0525,23900.,,,,1200.,,,,,,,,,,,26000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,50,105,,,,,,,,,,25,70,4.9,,,,,,,,,,,,,,9.24,18.8,2.42,11.5,3.2,1.04,3.39,0.64,4.16,0.83,2.44,0.37,2.47,0.37,2,0.45,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,199405,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ22A [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,244468.505,3775.8419999999996,,75153.64199999999,,29374.800000000003,50524.5,,64323,45228.,929.3496,,415.07500000000005,17062.711,829.1999000000001,21900.,,,,1600.,,,,,,,,,,,23000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,47,125,,,,,,,,,,17,46,2.6,,,,,,,,,,,,,,3.98,9.32,1.28,6.32,1.86,0.64,1.92,0.4,2.76,0.56,1.65,0.26,1.71,0.26,1.3,0.22,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,199406,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ23A [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,236054.67500000002,4375.182,,75153.64199999999,,29374.800000000003,49747.200000000004,,91481.6,46434.08,1006.7954,,0.,10385.998,1003.7683000000001,19900.,,,,900.,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,45,75,,,,,,,,,,18,49,2.7,,,,,,,,,,,,,,4.65,10.4,1.38,6.66,1.97,0.66,2.02,0.42,2.93,0.61,1.76,0.28,1.81,0.29,1.4,0.19,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,199407,
[6254],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SAO FRANCISCO CRATON / RIO DAS VELHAS GREENSTONE BELT / NOVA LIMA GROUP,,-20,-20.5,-43.38,-43.88,SUBAERIAL,,,s MZ30A [6254],BASALT [6254],,,,ARCHEAN [6254],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6254] ,252882.33500000002,4974.521999999999,,69861.132,,25178.4,55188.299999999996,,61464.2,37388.479999999996,1394.0244,,2988.54,17062.711,1352.9051,20099.999999999996,,,,4500.,,,,,,,,,,,15000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,45,62,,,,,,,,,,19,56,3.2,,,,,,,,,,,,,,5.99,12.8,1.67,8,2.32,0.78,2.41,0.48,3.23,0.65,1.91,0.3,1.97,0.31,1.6,0.25,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,199408,
