Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 1 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,275926.8805,2996.7,,59064.41160000001,,19163.56,55266.030000000006,,35163.24,50474.44799999999,929.3496,,14693.655,11350.4121,261.8526,,,,,,,,,,,,,,,,22100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,,8,624,,,72,140,,,,,,,,61,98,18,101,5,,,,,,,,,,,,,374,12.7,28.3,,,2.33,0.75,,0.49,,,,,1.7,0.25,2.62,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,184184,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 2 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,266250.976,3116.5679999999998,,62980.869000000006,,18883.800000000003,53866.89,,51815.75,51137.792,1161.687,,6724.215,13056.6832,392.77889999999996,,,,,,,,,,,,,,,,16200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,166,617,,,82,144,,,,,,,,30,134,18,105,5,,,,,,,,,,,,,164,12.3,30.6,,,2.3,0.78,,0.35,,,,,2.01,0.33,2.51,,,,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,184185,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 3 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,275272.47150000004,2936.7659999999996,,62927.943900000006,,11470.16,54566.46,,54174.26,47881.376,1084.2412000000002,,4150.75,13205.0546,305.4947,,,,,,,,,,,,,,,,13300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,,171,605,,,63,135,,,,,,,,22,138,18,99,6,,,,,,,,,,,,,141,13.2,28.5,,,2.34,0.65,,0.58,,,,,1.73,0.25,2.23,,,,,,,,,,,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,184186,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 4 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,252227.92600000004,2996.7,,69331.881,,19583.199999999997,48270.33,,59748.92,57952.14399999999,1161.687,,2490.45,15282.2542,392.77889999999996,,,,,,,,,,,,,,,,15100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,179,703,,,56,178,,,,,,,,14,189,18,98,4,,,,,,,,,,,,,89,12.8,26.1,,,2.3,0.71,,0.31,,,,,1.8,0.27,2.23,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,184187,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 5 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,271626.4785,2996.7,,64568.621999999996,,14057.939999999999,52467.75,,54531.61,47037.119999999995,1161.687,,4814.87,13205.0546,261.8526,,,,,,,,,,,,,,,,14600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184188,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 6 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,271392.76100000006,3775.8419999999996,,72507.387,,23709.66,45472.049999999996,,65180.63999999999,28704.703999999998,1084.2412000000002,,2822.51,12834.1261,349.1368,,,,,,,,,,,,,,,,16200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184189,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 7 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,252555.13050000003,3116.5679999999998,,72613.2372,,16296.02,49514.01,,59534.51,61630.688,1161.687,,1660.3000000000002,15282.2542,392.77889999999996,,,,,,,,,,,,,,,,23100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184190,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 8 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,CUMULATE [5790] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,243019.45650000003,419.538,,12649.0989,,23010.260000000002,39175.92,,13722.24,172710.656,1161.687,,83.015,74.1857,130.9263,,,,,,,,,,,,,,,,63500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184191,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 9 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,CUMULATE [5790] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,254798.81850000002,419.538,,11325.9714,,16226.079999999998,39175.92,,6789.65,195988.,1161.687,,83.015,8753.9126,130.9263,,,,,,,,,,,,,,,,18100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184192,
[5790],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),SINGHBHUM CRATON / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT),,21,22,85,86,SUBAERIAL,,,s 10 [5790],BASALT [5790],,,,ARCHEAN [5790],,,,CUMULATE [5790] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [5790] ,250358.18600000002,359.604,,7303.663799999999,,19583.199999999997,41274.63,,6074.95,196832.256,1161.687,,83.015,8160.427000000001,87.2842,,,,,,,,,,,,,,,,14900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184193,
