Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6946][6424],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / LAWLERS GREENSTONE BELT,DRILL HOLE WAL 9-1,-28.08,-28.08,120.52,120.52,SUBAERIAL,,,s A331/389 [6946],BASALT [6946],,,,ARCHEAN [6946],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6946] ,,8750.364,,,,,,,,37931.216,,,1992.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,8750,,,,,,,,,,,,,,5,155,33,90,,,,,,,,,,,,,,25,6.27,15.9,,11,3.35,1.09,4.3,,4.85,,3.01,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122716-A331/389,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"TRIPOD MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90741 [5319],KOMATIITE [5319],,,,ARCHEAN [5319],,,,MASSIVE FELTED [5319] ,VOLCANIC ROCK,185.7,185.7,,,WHOLE_ROCK [5319] ,217357.27500000002,3134.5481999999997,,62980.869000000006,2812.062,,,92110.05,36378.229999999996,109753.27999999998,1239.1328,455.764,26813.845,15133.8828,174.5684,,,,,,,,,,,,,,,200.,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,2,0.31,1.74,0.72,0.21,1.23,0.24,1.74,0.38,1.17,0.17,1.13,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166024,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"TRIPOD MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90742 [5319],KOMATIITE [5319],,,,ARCHEAN [5319],,,,RANDOM OLIVINE SPINIFEX-TEXTURED [5319] ,VOLCANIC ROCK,222.8,222.8,,,WHOLE_ROCK [5319] ,220629.32000000004,2774.9442,,56629.856999999996,2497.33,,,87290.79000000001,53816.91,99501.59999999999,1471.4702,440.048,34368.21,11721.3406,218.21050000000002,,,,,,,,,,,,,,,0,29600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,2.9,0.44,2.48,0.92,0.41,1.33,0.25,1.81,0.39,1.18,0.18,1.19,0.18,,,,,,,,,,,,,,,0.51336,,,,,,,,,,,,,,,,,,,,,,,,166025,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"TRIPOD MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90745 [5319],KOMATIITE [5319],,,,ARCHEAN [5319],,,,RANDOM OLIVINE SPINIFEX-TEXTURED [5319] ,VOLCANIC ROCK,185.7,262.4,,,WHOLE_ROCK [5319] ,221564.19,2517.2279999999996,,43398.581999999995,3448.368,,,82704.72,59034.22,132668.8,1471.4702,919.3860000000001,13365.415,4599.5134,218.21050000000002,,,,,,,,,,,,,,,800.,30800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3448,,,,919,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,2.97,0.47,2.6,0.87,0.38,1.24,0.22,1.51,0.32,0.98,0.15,0.98,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166026,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"TRIPOD MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90746 [5319],KOMATIITE [5319],,,,ARCHEAN [5319],,,,MASSIVE FELTED [5319] ,VOLCANIC ROCK,263.6,263.6,,,WHOLE_ROCK [5319] ,218292.14500000002,2882.8253999999997,,48849.867300000005,2894.1659999999997,,,86047.11,55103.37,114577.59999999999,1548.9160000000002,699.362,34202.18,7270.1986,218.21050000000002,,,,,,,,,,,,,,,1000.,16600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894,,,,699,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,2.5,0.42,2.46,0.95,0.37,1.43,0.27,1.81,0.39,1.18,0.17,1.17,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166027,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"TRIPOD MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90749 [5319],KOMATIITE [5319],,,,ARCHEAN [5319],,,,PLATY OLIVINE SPINIFEX-TEXTURED [5319] ,VOLCANIC ROCK,281.2,281.2,,,WHOLE_ROCK [5319] ,213150.36000000002,2421.3336,,45568.511099999996,4023.0959999999995,,,91721.40000000001,44525.810000000005,139302.24,1394.0244,895.812,24074.35,3115.7994,174.5684,,,,,,,,,,,,,,,0,37800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4023,,,,896,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,2.74,0.44,2.36,0.83,0.23,1.22,0.22,1.51,0.32,0.98,0.15,0.97,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166028,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"SILVER LAKE MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90753 [5319],KOMATIITE [5319],,,,ARCHEAN [5319],,,,RANDOM OLIVINE SPINIFEX-TEXTURED [5319] ,VOLCANIC ROCK,426.7,426.7,,,WHOLE_ROCK [5319] ,214552.665,2978.7198,,54512.853,3756.2580000000003,,,97162.5,52673.39,122417.12,1548.9160000000002,597.208,14859.685,3486.7279,305.4947,,,,,,,,,,,,,,,0,40599.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3756,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,2.1,0.38,2.34,1,0.48,1.45,0.27,1.8,0.39,1.19,0.17,1.15,0.17,,,,,,,,,,,,,,,0.51365,,,,,,,,,,,,,,,,,,,,,,,,166029,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"SILVER LAKE MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90706 [5319],"KOMATIITE, PERIDOTITIC [5319]",,,,ARCHEAN [5319],,,,MASSIVE [5319] ,VOLCANIC ROCK,501.8,501.8,,,WHOLE_ROCK [5319] ,202399.355,629.3069999999999,,10637.945099999999,1758.394,,,55188.299999999996,10148.74,272574.08,851.9038,3056.762,83.015,741.857,43.6421,,,,,,,,,,,,,,,3500.,73200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758,,,,3057,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.52,,0.49,0.18,0.02,0.26,,0.31,,0.2,,0.21,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166036,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"SILVER LAKE MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90695 [5319],"KOMATIITE, PERIDOTITIC [5319]",,,,ARCHEAN [5319],,,,RANDOM PYROXENE SPINIFEX-TEXTURED [5319] ,VOLCANIC ROCK,522.6,522.6,,,WHOLE_ROCK [5319] ,202866.79,3056.634,,55571.355,2209.966,,,97939.8,77902.3,124829.27999999998,1471.4702,502.91200000000003,830.1500000000001,5341.3704,261.8526,,,,,,,,,,,,,,,0,48700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210,,,,503,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,2.59,0.44,2.56,0.94,0.38,1.4,1.26,1.73,0.38,1.13,0.17,1.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166041,
[5319],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN,"SILVER LAKE MEMBER, KAMBALDA, VICTOR SHOOT AREA, DRILL CORE KD6033",-31.2,-31.2,121.67,121.67,SUBAERIAL,,,s 90712 [5319],"KOMATIITE, PERIDOTITIC [5319]",,,,ARCHEAN [5319],,,,ORTHOCUMULATE [5319] ,VOLCANIC ROCK,527,527,,,WHOLE_ROCK [5319] ,203334.225,958.944,,17518.2081,2490.488,,,69879.27,27801.83,236391.68,1161.687,2388.832,83.015,445.1142,87.2842,,,,,,,,,,,,,,,700.0000000000001,50800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491,,,,2389,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1.03,,0.93,0.34,0.05,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166042,
