Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O1 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,MASSIVE [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,152569.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00114,0.00294,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00067,0.00148,0.00709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162648,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O3 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,MASSIVE [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00091,0.00532,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00073,0.0015,0.00568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162649,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O7 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,MASSIVE [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,156790.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00035,0.00445,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00033,0.00187,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162650,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O12 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,MASSIVE [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,139302.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00031,0.00488,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.00063,0.00795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162651,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O13 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,MASSIVE [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,133271.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00133,0.0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00025,0.00064,0.00972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162652,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O15 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,SPINIFEX [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,77189.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00097,0.0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00009,0.00033,0.0126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162653,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O19 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,SPINIFEX [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,109753.27999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016,0.0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00002,0.00058,0.0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162654,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O21 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,SPINIFEX [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,104325.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00024,0.00057,0.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162655,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O23 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,SPINIFEX [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,132065.75999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00079,0.00634,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00049,0.00115,0.00797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162656,
[5322],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),ZIMBABWE CRATON_ARCHEAN / BULAWAYAN SUPERGROUP / BELINGWE GREENSTONE BELT / RELIANCE FORMATION,"SASKMAR  DRILL HOLE, EASTERN LIMB OF THE NGEZI KOMATIITE FLOW, 5.3 KM SOUTH OF ZVISHAVANE",-20.35,-20.35,30.03,30.03,SUBAERIAL,,,s O24 [5322],KOMATIITE [5322],2700000000 [5322],2700000000 [5322],,ARCHEAN [5322],,,,SPINIFEX [5322] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5322] ,,,,,,,,,,126035.35999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00092,0.00736,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00026,0.00091,0.00927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162657,
