Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4997],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY,,37.73,37.73,15,15,SUBAERIAL,,,s E790 MATRIX [4997],"BASALT, TEPHRITIC [4997]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4997] ,247319.8585,11567.261999999999,,87167.6397,,,,71433.87,42167.3,16402.688000000002,1626.3618,,26315.755,43621.1916,4756.9889,,,,,,,,3330.,,,,,,,170.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115305,
[4997],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY,,37.73,37.73,15,15,SUBAERIAL,,,s E790 OL9-10 [4997],"BASALT, TEPHRITIC [4997]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4997] ,224135.08250000002,11267.591999999999,,88490.7672,,,,77030.43000000001,62607.72,24181.904,1471.4702,,22165.005,33902.8649,3316.7996000000003,,,,,,,940.,1409.9999999999998,,,,,,,780.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115309,
[4997],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY,,37.73,37.73,15,15,SUBAERIAL,,,s E990 MATRIX [4997],"BASALT, TEPHRITIC [4997]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4997] ,228715.94550000003,11806.998,,87114.7146,,,,79984.17,58033.63999999999,21649.136,1548.9160000000002,,25817.664999999997,33383.565,3884.1469,,,,,,,,1480.,,,,,,,160.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115313,
[4992],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ACI CASTELLO SERIES,,37.73,37.73,15,15,SUBAERIAL,,,s A [4992],NOT GIVEN [4992],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4992] ,233717.50000000003,13305.348,,82457.3058,,,,78740.49,80475.22,34433.583999999995,1084.2412000000002,,4731.855,25816.6236,3185.8732999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122766,
[4992],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / BASAL THOLEIITES (PRE-ETNEAN VOLCANIC SERIES),ACI TREZZA,37.73,37.73,15,15,SUBAERIAL,,,s B [4992],NOT GIVEN [4992],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4992] ,222686.034,8031.156,,73724.6643,,84207.76,,,69826.19,70615.984,1239.1328,,2324.42,21884.7815,1352.9051,,,,,,,,,,,,,,,,-3300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122767,
[4992],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY,ADRANO,37.73,37.73,15,15,SUBAERIAL,,,s C [4992],NOT GIVEN [4992],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4992] ,230538.942,9949.043999999998,,82827.78150000001,,77773.28,,,78188.18,42514.32,1161.687,,2905.5249999999996,25519.8808,1571.1155999999999,,,,,,,,,,,,,,,,-2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122768,
[4992],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / BASAL THOLEIITES (PRE-ETNEAN VOLCANIC SERIES),PATERNO DOME,37.73,37.73,15,15,SUBAERIAL,,,s D [4992],NOT GIVEN [4992],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4992] ,221844.651,8570.562,,78752.5488,,75745.02,,,65895.34000000001,67842.,1161.687,,5146.93,25668.2522,1614.7576999999999,,,,,,,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122769,
[4992],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / MOUNT SPAGNOLO SERIES,,37.73,37.73,15,15,SUBAERIAL,,,s E [4992],NOT GIVEN [4992],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4992] ,221844.651,8690.429999999998,,81134.1783,,71408.74,,,83405.49,43841.007999999994,1161.687,,10791.95,27300.3376,2793.0944,,,,,,,,,,,,,,,,4300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122770,
[4992],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / TIMPA DI ACIREALE SERIES,,37.73,37.73,15,15,SUBAERIAL,,,s F [4992],NOT GIVEN [4992],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4992] ,224041.59550000002,8870.232,,85103.56079999999,,71688.5,,,78045.24,47097.42399999999,1161.687,,9961.8,26706.852,2138.4629,,,,,,,,,,,,,,,,-2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122771,
[4992],COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / MOUNT MALETTO SERIES,,37.73,37.73,15,15,SUBAERIAL,,,s G [4992],NOT GIVEN [4992],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4992] ,221050.01150000002,8930.166,,81187.1034,,82389.31999999999,,,86693.11,42755.536,1394.0244,,10957.980000000001,20623.6246,2007.5366000000001,,,,,,,,,,,,,,,,-2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122772,
