Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU / KOREA SEA,"ULLEUNG-DO ISLAND, LOCATED ON THE FLANK OF ULLEUNG PLATEAU",37.4525,37.5536,130.7892,130.9794,SUBAERIAL,,,s U-006 [4785],"BASALT, ALKALINE [4785]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,396,,,,,,,,,,,,,,,,,,,,33.1,5.97,,,,,,,,,,,,,,,,,,,,3.78,,5.45,1.23,0.512463,,,0.70474,,17.966,,15.502,,38.715,,,,,,,,,,,,,,,161734,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU / KOREA SEA,"ULLEUNG-DO ISLAND, LOCATED ON THE FLANK OF ULLEUNG PLATEAU",37.4525,37.5536,130.7892,130.9794,SUBAERIAL,,,s U-155 [4785],TRACHYBASALT [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,364,,,,,,,,,,,,,,,,,,,,45.4,7.89,,,,,,,,,,,,,,,,,,,,5.15,,6.67,1.38,0.512513,,,0.70533,,18.062,,15.53,,38.802,,,,,,,,,,,,,,,161735,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU / KOREA SEA,"ULLEUNG-DO ISLAND, LOCATED ON THE FLANK OF ULLEUNG PLATEAU",37.4525,37.5536,130.7892,130.9794,SUBAERIAL,,,s U-162 [4785],TRACHYANDESITE [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,662,,,,,,,,,,,,,,,,,,,,38.4,7.11,,,,,,,,,,,,,,,,,,,,8.54,,7.07,1.43,0.512508,,,0.70475,,17.98,,15.502,,38.799,,,,,,,,,,,,,,,161736,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU / KOREA SEA,"ULLEUNG-DO ISLAND, LOCATED ON THE FLANK OF ULLEUNG PLATEAU",37.4525,37.5536,130.7892,130.9794,SUBAERIAL,,,s U-L12 [4785],TRACHYANDESITE [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,571,,,,,,,,,,,,,,,,,,,,41.6,6.62,,,,,,,,,,,,,,,,,,,,10.1,,16.1,3.76,0.512582,,,0.70452,,18.046,,15.497,,38.733,,,,,,,,,,,,,,,161737,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU / KOREA SEA,"ULLEUNG-DO ISLAND, LOCATED ON THE FLANK OF ULLEUNG PLATEAU",37.4525,37.5536,130.7892,130.9794,SUBAERIAL,,,s U-154 [4785],TRACHYTE [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,225,,,,,,,,,,,,,,,,,,,,46.2,7.23,,,,,,,,,,,,,,,,,,,,10.1,,14.8,2.74,0.512566,,,0.70475,,17.968,,15.494,,38.719,,,,,,,,,,,,,,,161738,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU / KOREA SEA,"ULLEUNG-DO ISLAND, LOCATED ON THE FLANK OF ULLEUNG PLATEAU",37.4525,37.5536,130.7892,130.9794,SUBAERIAL,,,s U-129 [4785],PHONOLITE [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,198,,,,,,,,,,,,,,,,,,,,88.5,13.7,,,,,,,,,,,,,,,,,,,,14,,23,3.89,0.512586,,,0.70483,,17.972,,15.497,,38.713,,,,,,,,,,,,,,,161739,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU,"DOG/TAKESHIMA ISLAND, LOCATED ON THE FLANK OF THE OKI BANK",36.2,36.4,131.3,131.5,SUBAERIAL,,,s E-006 [4785],"BASALT, ALKALINE [4785]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37,301,,,,,,,,,,,,,,,,,,,,48,9.71,,,,,,,,,,,,,,,,,,,,4.73,,7,1.18,0.512549,,,0.70494,,18.038,,15.453,,38.565,,,,,,,,,,,,,,,161740,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU,"DOG/TAKESHIMA ISLAND, LOCATED ON THE FLANK OF THE OKI BANK",36.2,36.4,131.3,131.5,SUBAERIAL,,,s E-012 [4785],TRACHYBASALT [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,1063,,,,,,,,,,,,,,,,,,,,49.9,9.77,,,,,,,,,,,,,,,,,,,,5.43,,8.19,1.55,0.512505,,,0.70487,,18.066,,15.5,,38.66,,,,,,,,,,,,,,,161741,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU,"DOG/TAKESHIMA ISLAND, LOCATED ON THE FLANK OF THE OKI BANK",36.2,36.4,131.3,131.5,SUBAERIAL,,,s E-002 [4785],TRACHYBASALT [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,600,,,,,,,,,,,,,,,,,,,,52.4,9.77,,,,,,,,,,,,,,,,,,,,6.96,,9.98,2.28,0.512537,,,0.70498,,18.106,,15.52,,38.631,,,,,,,,,,,,,,,161742,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU,"DOG/TAKESHIMA ISLAND, LOCATED ON THE FLANK OF THE OKI BANK",36.2,36.4,131.3,131.5,SUBAERIAL,,,s E-007 [4785],TRACHYANDESITE [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,489,,,,,,,,,,,,,,,,,,,,34.7,6.7,,,,,,,,,,,,,,,,,,,,7.82,,13,2.51,0.512603,,,0.70505,,17.932,,15.488,,38.624,,,,,,,,,,,,,,,161743,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU,"DOG/TAKESHIMA ISLAND, LOCATED ON THE FLANK OF THE OKI BANK",36.2,36.4,131.3,131.5,SUBAERIAL,,,s E-016 [4785],TRACHYANDESITE [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,1081,,,,,,,,,,,,,,,,,,,,65.3,11.9,,,,,,,,,,,,,,,,,,,,9.71,,10.3,2.3,0.512593,,,0.7059,,18.066,,15.511,,38.703,,,,,,,,,,,,,,,161744,
[4785],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU,"DOG/TAKESHIMA ISLAND, LOCATED ON THE FLANK OF THE OKI BANK",36.2,36.4,131.3,131.5,SUBAERIAL,,,s W-006 [4785],TRACHYTE [4785],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4785] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8,1339,,,,,,,,,,,,,,,,,,,,94.2,17.2,,,,,,,,,,,,,,,,,,,,14.3,,25.4,4.09,0.512496,,,0.70543,,17.973,,15.526,,38.706,,,,,,,,,,,,,,,161745,
[6761],COMPLEX VOLCANIC SETTINGS,KOREAN PLATEAU,"DOG/TAKESHIMA ISLAND, LOCATED ON THE FLANK OF THE OKI BANK",36.2,36.4,131.3,131.5,SUBAERIAL,,,s E-06 [6761],"BASALT, ALKALINE [6761]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6761] ,206232.32200000001,16002.377999999999,,73724.6643,,28465.58,50679.96,,74042.92,42152.496,1936.145,,11622.099999999999,24110.3525,2705.8102,,43800.,14400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,,,211,,,44.4,128,,106,,,,,,42.9,779,20.1,247,68.7,,,,,,,,,,,,0.88,666,,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162331,
