Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3969],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,"WEST SIDE OF PILOT BUTTE, ROCK SPRINGS",40,45,-107,-113,SUBAERIAL,,,s LH16 [3969],MADUPITE [3969],,,,,,,,TURBID GROUNDMASS [3969] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3969] ,203614.68600000002,13844.753999999999,,41546.2035,,38956.58,6607.05,,84977.83,66515.31199999999,1161.687,,59687.785,5489.7418,6546.3150000000005,,28900.,20900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,3400,,,,,,,,,,,,,,,,11010,350,695,,267,34.1,7.18,17.2,,6.4,,2.16,,1.65,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194078,
[3969],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,"MARGIN OF DIKE, BOARS TUSK",41,42,-108.5,-109.5,SUBAERIAL,,,s LH1 [3969],WYOMINGITE [3969],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3969] ,234792.6005,13784.819999999998,,53718.976500000004,,25528.1,9405.33,,43739.64,45107.392,697.0122,,86999.72,9569.9553,7899.2201000000005,,23400.,10900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,2700,,,,,,,,,,,,,,,,5250,174,342,,130.8,16.2,3.46,8.34,,3.35,,1.17,,0.86,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194080,
[3969],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,NORTH TABLE MOUNTAIN,41.918,41.918,-109.0208,-109.0208,SUBAERIAL,,,s LH12 [3969],ORENDITE [3969],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3969] ,257743.659,15462.972,,54777.4785,,22870.38,4819.26,,24657.15,38654.864,464.6748,,97708.655,8976.4697,6109.893999999999,,12300.,6100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,2200,,,,,,,,,,,,,,,,4785,116,244,,99,13.2,2.86,6.97,,2.93,,1,,0.748,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194082,
[997],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,,41,42,-108.5,-109.5,SUBAERIAL,,,s NTP8 [997],NOT GIVEN [997],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [997] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512024,,,,,,,,,,,,,,,,,0.282389,,,,,,,213271,
[997],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,,41,42,-108.5,-109.5,SUBAERIAL,,,s 17460 [997],NOT GIVEN [997],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [997] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512073,,,,,,,,,,,,,,,,,0.28249,,,,,,,213272,
[997],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,,41,42,-108.5,-109.5,SUBAERIAL,,,s HM1-4 [997],NOT GIVEN [997],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [997] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511832,,,,,,,,,,,,,,,,,0.282379,,,,,,,213273,
[997],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,,41,42,-108.5,-109.5,SUBAERIAL,,,s 17403 [997],NOT GIVEN [997],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [997] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511843,,,,,,,,,,,,,,,,,0.282478,,,,,,,213274,
[997],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,,41,42,-108.5,-109.5,SUBAERIAL,,,s 17434 [997],NOT GIVEN [997],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [997] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511871,,,,,,,,,,,,,,,,,0.282352,,,,,,,213275,
[199],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,STEAMBOAT MOUNTAIN,41.9764,41.9764,-108.9889,-108.9889,SUBAERIAL,,,s 8 [199],WYOMINGITE [199],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [199] ,,,,,,,,,,,,,102108.45000000001,,7244.5886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214415,
[11090],COMPLEX VOLCANIC SETTINGS,LEUCITE HILLS,,41,42,-108.5,-109.5,SUBAERIAL,,,s MAD-7 [11090],MADUPITE [11090],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11090] ,201464.48500000002,13904.687999999998,,45409.7358,,37347.96,6218.400000000001,,76544.37000000001,69952.64,1006.7954,,70811.795,6899.2701,9295.7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444298,
