Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[11493],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,FARO,38.6958,38.6958,13.1564,13.1564,SUBAERIAL,,,s FARO [11493],BASALT [11493],,,,NEOGENE [11493],,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [11493], HE3_HE4(R/R(A)) from OLIVINE [11493]",MINERAL / COMPONENT (INCL. GROUNDMASS) [11493] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,,,,,336525,
[11493],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,SPALMATORE,38.6932,38.6932,13.157,13.157,SUBAERIAL,,,s SPALMATORE [11493],BASALT [11493],,,,NEOGENE [11493],,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [11493], HE3_HE4(R/R(A)) from OLIVINE [11493]",MINERAL / COMPONENT (INCL. GROUNDMASS) [11493] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49,,,,,336526,
[11493],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,FARO,38.6958,38.6958,13.1564,13.1564,SUBAERIAL,,,s FARO [11493],BASALT [11493],,,,NEOGENE [11493],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11493] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703322,,,,,,,,,,,,,,,,,,,,,336548,
[11493],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,SPALMATORE,38.6932,38.6932,13.157,13.157,SUBAERIAL,,,s SPALMATORE [11493],BASALT [11493],,,,NEOGENE [11493],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11493] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7032,,,,,,,,,,,,,,,,,,,,,336549,
[9231],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,CALA S. MARIA,38.72,38.72,13.2,13.2,SUBAERIAL,,,s U 31 [9231],BASALT [9231],,1000000 [9231],,,,,,PORPHYRITIC [9231] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [9231] ,232782.63,8990.099999999999,,99657.96329999999,,16855.54,42129.659999999996,,73757.04000000001,26413.152,697.0122,,9961.8,27077.780499999997,2793.0944,,,5699.999999999999,,,,,,,,,,,,,14100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7016,,,,,,,,,,,,,,,,,,,,,428433,
[9231],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,BETWEEN FARO AND TORRE,38.72,38.72,13.2,13.2,SUBAERIAL,,,s U 25 [9231],"BASALT, ALKALINE [9231]",,1000000 [9231],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9231] ,224555.774,10728.186,,84468.4596,,23919.48,54177.81,,64251.53,50474.44799999999,1239.1328,,7803.41,30341.951299999997,2531.2418,,,700.0000000000001,,,,,,,,,,,,,9400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7055,,,,,,,,,,,,,,,,,,,,,428434,
[9231],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,BETWEEN FARO AND TORRE,38.72,38.72,13.2,13.2,SUBAERIAL,,,s U 24 [9231],"BASALT, ALKALINE [9231]",,1000000 [9231],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9231] ,222265.3425,10488.449999999999,,84786.0102,,26717.079999999998,49436.280000000006,,64108.590000000004,52404.17599999999,1239.1328,,7886.424999999999,25964.995,2487.5996999999998,,,4400.,,,,,,,,,,,,,14700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7057,,,,,,,,,,,,,,,,,,,,,428435,
[9231],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,COSTA DEL FALLO,38.72,38.72,13.2,13.2,SUBAERIAL,,,s U 16 [9231],"BASALT, ALKALINE [9231]",,1000000 [9231],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9231] ,229276.8675,9409.637999999999,,83833.3584,,30983.42,42285.12,,70826.77,45348.60799999999,1239.1328,,8799.59,24629.6524,2705.8102,,,,,,,,,,,,,,,,11800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7035,,,,,,,,,,,,,,,,,,,,,428436,
[9231],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,MONTE GUARDIA DEI TURCHI,38.72,38.72,13.2,13.2,SUBAERIAL,,,s U 9 [9231],HAWAIITE [9231],,1000000 [9231],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9231] ,243440.14800000002,8390.759999999998,,88861.2429,,30493.840000000004,36766.29,,66324.15999999999,28463.487999999998,1161.687,,9297.68,29971.0228,1876.6103,,,2000.,,,,,,,,,,,,,6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7037,,,,,,,,,,,,,,,,,,,,,428437,
[9231],COMPLEX VOLCANIC SETTINGS,USTICA ISLAND,PUNTA TRAMONTANA,38.72,38.72,13.2,13.2,SUBAERIAL,,,s U 3 [9231],HAWAIITE [9231],,1000000 [9231],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9231] ,233670.75650000002,8930.166,,81345.8787,,24688.82,48814.44,,60034.8,39499.119999999995,1239.1328,,7720.395,31454.7368,2574.8839,,,6200.,,,,,,,,,,,,,17600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702,,,,,,,,,,,,,,,,,,,,,428438,
