Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"BASEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s B239A [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,248722.16350000002,5633.795999999999,,66421.00050000001,,,,79517.79000000001,54460.14,62957.376,1316.5786,,22746.11,13798.5402,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,233,560,,,,215,,78,,,,,,62,464,18,89,4.61,,,,,,,,,,,,,829,12.15,23.55,,,3.4,1.2,3.44,0.59,,,,,1.44,0.22,2.02,0.24,,,,,,,,,2,,1.27,0.2,,,,,,,,,,,,,,,,,,,,,,,,,102288,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"PLOGEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s P57 [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,249376.57250000004,6233.1359999999995,,78911.3241,,,,76330.86,62464.78,47760.768,1161.687,,7471.35,21588.0387,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,261,375,,,,136,,89,,,,,,27,539,21,94,4.68,,,,,,,,,,,,,373,10.74,21.65,,,3.56,1.18,3.78,0.68,,,,,1.76,0.27,2.22,0.25,,,,,,,,,1.95,,1.03,0.19,,,,,,,,,,,,,,,,,,,,,,,,,102289,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"BASEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s B50B [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,248067.7545,8031.156,,79705.20060000001,,,,76253.13,72256.17,37267.871999999996,1316.5786,,9297.68,20549.4389,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,275,238,,,,62,,89,,,,,,20,397,26,133,7.86,,,,,,,,,,,,,583,19.58,39.11,,,5.36,1.76,5.14,0.87,,,,,2.19,0.33,3.45,0.44,,,,,,,,,5,,1.39,0.4,,,,,,,,,,,,,,,,,,,,,,,,,102290,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"PLOGEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s P10 [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,257135.9935,7371.882,,75894.5934,,,,78040.92,66824.45,33106.896,1161.687,,14776.67,17582.0109,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,282,91,,,,37,,87,,,,,,52,260,28,139,6.27,,,,,,,,,,,,,395,14.97,30.92,,,4.91,1.47,5.2,0.95,,,,,2.39,0.37,3.88,0.36,,,,,,,,,6,,1.86,0.47,,,,,,,,,,,,,,,,,,,,,,,,,102292,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"BASEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s B16 [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,237410.23650000003,9529.506,,59064.41160000001,,,,96074.28,70540.89,70374.768,1394.0244,,1826.33,14095.283,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,308,702,,,,328,,116,,,,,,5,244,27,92,3.51,,,,,,,,,,,,,79,7.01,16.05,,,3.7,1.4,4.34,0.83,,,,,2.02,0.31,2.58,0.22,,,,,,,,,2,,0.62,0.17,,,,,,,,,,,,,,,,,,,,,,,,,102293,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"PLOGEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s P27 [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,235680.727,10608.318,,74518.5408,,,,82393.8,88193.98,48122.592,1394.0244,,1909.345,16024.111200000001,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,415,414,,,,154,,80,,,,,,1,220,22,86,3.13,,,,,,,,,,,,,70,4.97,12.22,,,3.85,1.43,4.34,0.79,,,,,1.73,0.26,2.46,0.17,,,,,,,,,0.98,,23,0.06,,,,,,,,,,,,,,,,,,,,,,,,,102294,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"BASEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s B65 [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,238765.798,14204.358,,74624.391,,,,101437.65000000001,63608.3,37629.695999999996,1316.5786,,5645.02,22849.1956,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,353,194,,,,134,,119,,,,,,21,494,37,146,6,,,,,,,,,,,,,157,12.73,28.05,,,5.81,2.14,6.52,1.2,,,,,2.7,0.39,4.05,0.37,,,,,,,,,3,,1.32,0.3,,,,,,,,,,,,,,,,,,,,,,,,,102295,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"PLOGEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s P13 [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,238625.5675,18999.077999999998,,69226.03080000001,,,,109754.76,65680.93,34916.015999999996,1471.4702,,5562.005,17433.6395,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,406,109,,,,107,,146,,,,,,18,356,44,175,5.43,,,,,,,,,,,,,293,15.53,34.58,,,7.11,2.42,8.14,1.47,,,,,3.25,0.47,4.23,0.36,,,,,,,,,3.16,,1.4,0.41,,,,,,,,,,,,,,,,,,,,,,,,,102297,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"PLOGEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s P17 [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,239794.155,8510.627999999999,,74783.16630000001,,,,84492.51,71184.12000000001,49871.407999999996,1394.0244,,8384.515,18768.982099999997,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,309,303,,,,118,,90,,,,,,25,413,21,84,4.29,,,,,,,,,,,,,764,7.56,16.71,,,3.65,1.34,4.13,0.72,,,,,1.83,0.28,2.03,0.22,,,,,,,,,1.77,,0.33,0.1,,,,,,,,,,,,,,,,,,,,,,,,,102298,
[4597],CONTINENTAL FLOOD BASALT,ANTARCTICA - KAROO AND FERRAR PROVINCES / DRONNING MAUD LAND,"BASEN, VESTFJELLA",-72.5,-74.2,-14,-16,SUBAERIAL,,,s B403 [4597],THOLEIITE [4597],,,,MESOZOIC [4597],,,,AMYGDALOIDAL [4597] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4597] ,238952.772,8151.024,,78276.2229,,,,83870.67,77830.83,46373.776,1316.5786,,3569.645,18694.7964,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,309,270,,,,83,,91,,,,,,12,428,22,81,3.09,,,,,,,,,,,,,245,5.65,12.58,,,3.12,1.25,3.89,0.71,,,,,1.75,0.26,1.93,0.17,,,,,,,,,1,,0.39,0.11,,,,,,,,,,,,,,,,,,,,,,,,,102299,
