Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,"OUTCROP AT CAPE CASUARINA, BUNBURY, SOUTHERN END OF EXPOSURE",-33.32,-33.32,115.63,115.63,SUBAERIAL,,,s 86683 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,236709.08400000003,10068.911999999998,,84045.05880000001,,,,84026.13,73256.75,35760.272,1316.5786,,1411.255,22923.381299999997,654.6315,,,,,,,,,,,,,,,,11200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,204,283,,,39.9,71,,110,21.1,,,,,2.3,226,30,110,5.8,,,,,,,,,,,,,46,6.55,18,,12,3.99,1.56,,0.85,,,,,2.6,0.41,2.75,0.22,,,,,,,,,,,0.4,,,,,0.70486,,17.982,,15.6,,38.026,,,,,,,,,,,,,,,102268,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,"OUTCROP AT CAPE CASUARINA, BUNBURY, BASE OF THICKEST EXPOSURE",-33.32,-33.32,115.63,115.63,SUBAERIAL,,,s 86684 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,240214.8465,10128.846,,83357.0325,,,,81461.04000000001,73185.28,34252.672,1239.1328,,1909.345,21736.4101,654.6315,,,,,,,,,,,,,,,,10300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,207,276,,,39.1,72,,113,21.4,,,,,3.9,228,29.4,110,5.8,,,,,,,,,,,,,48,6.13,18.9,,11.8,3.95,1.49,,0.87,,,,,2.77,0.38,2.58,0.28,,,,,,,,,,,0.5,,,,,0.70428,,17.905,,15.576,,37.939,,,,,,,,,,,,,,,102269,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,BUNBURY INNER HARBOUR DRILL CORE,-33.32,-33.32,115.63,115.63,SUBAERIAL,,,s 86688 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,239700.66800000003,10128.846,,85844.5122,,,,100504.89,63894.17999999999,32986.28799999999,1239.1328,,4648.84,17062.711,654.6315,,,,,,,,,,,,,,,,110100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,192,272,,,34.2,78,,108,22.7,,,,,37.5,208,27.7,108,5.1,,,,,,,,,,,,,72,5.52,14.6,,9.5,3.18,1.28,,0.74,,,,,2.53,0.41,2.62,0.3,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,102270,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,BUNBURY INNER HARBOUR DRILL CORE,-33.32,-33.32,115.63,115.63,SUBAERIAL,,,s 86689 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,231520.55550000002,10788.119999999999,,93994.97760000001,,,,109987.95,42310.24,36664.831999999995,697.0122,,2656.48,25148.9523,654.6315,,,,,,,,,,,,,,,,194100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,257,273,,,30.1,74,,95,21.8,,,,,5.8,200,28,112,5.2,,,,,,,,,,,,,275,6.38,17.7,,11.2,3.74,1.42,,0.74,,,,,2.21,0.3,2.84,0.38,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,102271,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,BUNBURY INNER HARBOUR DRILL CORE,-33.32,-33.32,115.63,115.63,SUBAERIAL,,,s 86693 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,244328.27450000003,12406.337999999998,,74571.4659,,,,90944.09999999999,67753.56,33348.112,1316.5786,,3237.585,20326.8818,872.8420000000001,,,,,,,,,,,,,,,,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,242,172,,,38.6,45,,118,22.4,,,,,7.2,231,33.8,139,7.2,,,,,,,,,,,,,96,9.36,25.8,,15,4.88,1.86,,1.07,,,,,3.06,0.47,3.45,0.45,,,,,,,,,,,1.11,,,,,0.70493,,17.95,,15.589,,38.151,,,,,,,,,,,,,,,102272,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,"GELORUP QUARRY, THICKEST EXPOSURE 14 M ABOVE QUARRY FLOOR ON EASTERN WALL",-33.32,-33.32,115.63,115.63,SUBAERIAL,,,s 869896 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,240168.10300000003,11267.591999999999,,78382.07310000001,,,,88456.74,70183.54000000001,32986.28799999999,1316.5786,,2241.405,20771.996,741.9157,,,,,,,,,,,,,,,,11500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,218,210,,,38.9,56,,110,22.2,,,,,6.2,230,31.6,123,6.6,,,,,,,,,,,,,59,7.62,19.3,,12.2,4.13,1.58,,0.83,,,,,2.91,0.42,2.8,0.34,,,,,,,,,,,0.74,,,,,0.70477,,17.926,,15.574,,38.016,,,,,,,,,,,,,,,102274,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,OUTCROP AT CAPEL RIVER,-33.32,-33.32,115.63,115.63,SUBAERIAL,,,s 86700 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,243580.37850000002,11806.998,,76900.1703,,,,85192.08,68682.67,32081.728,1394.0244,,3486.6299999999997,20104.324699999997,785.5577999999999,,,,,,,,,,,,,,,,11600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,244,177,,,53.3,75,,119,21.5,,,,,11.2,238,36.2,139,7.4,,,,,,,,,,,,,257,9.76,25.2,,16.1,5.17,1.79,,1.05,,,,,3.18,0.45,3.39,0.44,,,,,,,,,,,0.97,,,,,0.70532,,17.931,,15.605,,38.21,,,,,,,,,,,,,,,102276,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,"OUTCROP AT DONNELLY RIVER, NORTHERN BANK 126 KM EAST OF RIVER MOUTH",-33.32,-33.32,115.63,115.63,SUBAERIAL,,,s 86713 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,233997.96100000004,12706.008,,91877.9736,,,,74309.88,71970.29000000001,36061.792,1858.6992,,4067.735,20920.3674,610.9894,,,,,,,,,,,,,,,,7000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,,206,279,,,53,91,,105,21.3,,,,,4.2,233,45,108,5.5,,,,,,,,,,,,,41,6.86,19.3,,12.8,4.15,1.56,,0.94,,,,,3,0.45,2.46,0.31,,,,,,,,,,,0.4,,,,,0.70411,,17.999,,15.602,,37.985,,,,,,,,,,,,,,,102278,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,ROAD CUTTING ON NANNUP-PEMBERTON ROAD,-34.42,-34.42,115.4,115.4,SUBAERIAL,,,s 86714 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,241663.89500000002,7911.288,,77323.5711,,,,80217.36,74471.74,37629.695999999996,1316.5786,,3237.585,18917.353499999997,436.42100000000005,,,,,,,,,,,,,,,,15100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,271,211,,,42.6,57,,97,19.6,,,,,10.7,163,29.6,101,3.2,,,,,,,,,,,,,105,8.5,20.7,,11.7,3.45,1.22,,0.66,,,,,2.74,0.43,2.76,0.12,,,,,,,,,,,1.82,,,,,0.70816,,18.001,,15.63,,38.272,,,,,,,,,,,,,,,102279,
[1556],CONTINENTAL FLOOD BASALT,AUSTRALIA / WESTERN AUSTRALIA / BUNBURY BASALT,OUTCROP AT BLACK POINT,-34.42,-34.42,115.4,115.4,SUBAERIAL,0,0,s 86722 [1556],BASALT [1556],123000000 [1556],130000000 [1556],LOWER [1556],CRETACEOUS [1556],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1556] ,246011.04050000003,7911.288,,76529.6946,,,,83559.75,73328.22,38594.56,1316.5786,,3569.645,19733.3962,480.0631,,,,,,,,,,,,,,,,9500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,270,110,,,42.2,53,,98,19.2,,,,,11,161,28.6,106,3.4,,,,,,,,,,,,,137,8.87,23.9,,12.9,3.68,1.31,,0.78,,,,,3,0.42,2.86,0.21,,,,,,,,,,,2.1,,,,,0.70822,,17.996,,15.608,,38.044,,,,,,,,,,,,,,,102281,
