Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s CT1 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,233343.55200000003,14743.764,,70760.8587,,,,89622.68999999999,59534.51,44202.831999999995,1084.2412000000002,,13282.400000000001,20401.067499999997,1876.6103,,,,,,,,,,,,,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,37,213,73,108,,,,,,22,447,29,177,24,,,,,,,,,,,,,294,25.6,57.6,7.23,28.3,6.93,2.46,8.55,,6.33,,3.16,,2.41,0.3,,,,,,,,,,,,,,,0.512843,,,0.703942,,,,,,,,,,,,,,,,,,,,,48229,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s CT4 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,232361.93850000002,14743.764,,70549.15830000001,,,,89078.58,60249.21,45348.60799999999,1161.687,,12784.31,20178.5104,1832.9682,,,,,,,,,,,,,,,,4200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,39,204,67,111,,,,,,22,450,28,175,24,,,,,,,,,,,,,285,23.7,20.8,6.05,24.5,4.68,1.49,5.78,,4.17,,2.73,,2.74,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48230,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s LG1 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,235680.727,13545.083999999997,,70019.9073,,,,99183.48,64037.12,37870.912,1239.1328,,6143.11,17582.0109,1221.9788,,,,,,,,,,,,,,,,5000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,36,143,81,123,,,,,,13,329,30,132,15,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48231,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s LG2 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,236709.08400000003,13485.15,,70602.0834,,,,97084.77,65037.7,38353.344,1239.1328,,5395.975,17878.7537,1221.9788,,,,,,,,,,,,,,,,5400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,40,159,83,126,,,,,,12,330,31,135,14,,,,,,,,,,,,,212,16.6,34.6,4.29,19.8,5.09,1.75,5.98,,4.44,,2.25,,1.64,0.21,,,,,,,,,,,,,,,0.512776,,,0.705159,,,,,,,,,,,,,,,,,,,,,48232,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s LG3 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,238625.5675,13664.951999999997,,72083.9862,,,,92265.51,65109.17,38232.736,1239.1328,,6060.095,18027.1251,1221.9788,,,,,,,,,,,,,,,,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,44,190,85,149,,,,,,13,312,31,137,14,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48233,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s LG4 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,234792.6005,13605.018,,70496.2332,,,,102914.52,63393.88999999999,39800.63999999999,1239.1328,,4980.9,17433.6395,1178.3367,,,,,,,,,,,,,,,,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,33,136,87,114,,,,,,11,309,30,134,14,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48234,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s LG5 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,235400.266,13545.083999999997,,69437.7312,,,,99494.40000000001,63179.479999999996,40403.68,1316.5786,,5728.035,17582.0109,1265.6209,,,,,,,,,,,,,,,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,37,149,82,123,,,,,,12,299,31,136,14,,,,,,,,,,,,,183,15.5,32.9,4.12,18.9,5.1,1.78,6.09,,4.59,,2.09,,1.8,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48235,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s LG6 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,233810.98700000002,13724.885999999999,,73777.5894,,,,99727.59,67181.8,35217.536,1316.5786,,4814.87,17507.8252,1221.9788,,,,,,,,,,,,,,,,8300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,37,150,79,127,,,,,,11,344,27,128,14,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48236,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s B1 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,236335.13600000003,13724.885999999999,,69808.2069,,,,92110.05,61392.729999999996,43237.96799999999,1161.687,,9131.650000000001,17582.0109,1527.4734999999998,,,,,,,,,,,,,,,,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,36,159,70,123,,,,,,16,399,28,160,20,,,,,,,,,,,,,246,21.1,43.1,5.27,23.5,5.67,2.03,6.45,,4.52,,2.03,,1.54,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48237,
[1828],CONTINENTAL FLOOD BASALT,CHIFENG FLOOD BASALTS,,42,43,118,119,SUBAERIAL,,,s B4 [1828],BASALT [1828],,,,MIOCENE [1828],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1828] ,238999.51550000004,13964.622,,71395.9599,,,,88145.81999999999,60249.21,39016.687999999995,1161.687,,10210.845,18398.0536,1527.4734999999998,,,,,,,,,,,,,,,,3600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,35,136,67,126,,,,,,21,429,28,174,22,,,,,,,,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48238,
