Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8935],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,"NW OF SUSCHA CREEK, CANADIAN CORDILLERA",52,52,-122,-122,SUBAERIAL,,,s ATR98-3301A [8935],"ANDESITE, BASALTIC [8935]",,,,MIOCENE [8935],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8935] ,237924.415,11747.063999999998,,74624.391,,37068.2,58297.5,95141.52,59534.51,43057.056,1239.1328,,4399.795,22997.567,916.4841,25000.,,,,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0,,197,,,,,69,,,,20,,172,241,,,40,150,56,128,22,,,,,9.9,410,23,94,9.1,0.9,,,,0.1,0,0,1.2,0,0,,0.16,170,6.7,16,2.5,12,4.4,1.8,5.1,0.73,4.2,0.74,1.9,0.26,1.7,0.23,2.7,0.69,,,,,,,,0.03,0,0,0.77,0.32,,,,,,,,,,,,,,,,,,,,,,,,,233393,
[8935],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,NORTH OF BLACKWATER RANGE,52,52,-120,-120,SUBAERIAL,,,s ATR98-3305A [8935],"ANDESITE, BASALTIC [8935]",,,,MIOCENE [8935],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8935] ,226705.975,14024.555999999999,,71448.88500000001,,32172.399999999998,60629.4,93042.81000000001,56818.65,44383.744,1316.5786,,9463.71,24481.281,2443.9576,31000.,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,108,,570,,,,,0,,,,18,,202,226,,,37,132,49,134,23,,,,,20,480,31,170,26,1.5,,,,0.1,0,0.07,1.7,0,0,,0.14,380,18,41,5.8,26,7.4,2.5,7.6,1,5.9,1,2.7,0.36,2.5,0.34,4.1,1.5,,,,,,,,0.03,2,0,1.7,0.64,,,,,,,,,,,,,,,,,,,,,,,,,233394,
[8935],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,"SOUTH BANK,  SUSCHA CREEK",52,52,-122,-122,SUBAERIAL,,,s ATR98-3703A [8935],"ANDESITE, BASALTIC [8935]",,,,MIOCENE [8935],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8935] ,235587.24000000002,13605.018,,75153.64199999999,,16785.6,76175.40000000001,93042.81000000001,59963.33,44202.831999999995,1239.1328,,8052.455,25223.138,1745.6840000000002,7000.,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,190,,411,,,,,61,,,,18,,176,220,,,37,154,35,129,23,,,,,15,510,27,140,21,1.3,,,,0.1,0,0.13,1.8,0,0,,0.22,300,14,30,4.3,19,6,2.2,6.5,0.9,5.1,0.89,2.3,0.3,2,0.27,3.5,1.6,,,,,,,,0.03,2,0,1.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,233395,
[8996],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,HAT CREEK,50.6967,50.6967,-121.5833,-121.5833,SUBAERIAL,,,s HAT-52 [8996],BASALT [8996],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8996] ,231193.35100000002,9589.44,,74836.0914,,,,81849.68999999999,59105.689999999995,55781.2,1161.687,,6807.23,20697.8103,916.4841,,,,,,,,,,,,,,,,8000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,287,,,,230,55,106,25,,,,,10,402,16,112,13.2,,,,,,,,,,,,,191,,,,,,,,,,,,,,,2.69,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253387,
[8996],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,LASSIE LAKE,49.595,49.595,-118.925,-118.925,SUBAERIAL,,,s FUK-2 [8996],BASALT [8996],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8996] ,220255.372,11267.591999999999,,73036.638,,,,88689.93000000001,64251.53,59640.656,1316.5786,,7886.424999999999,19585.0248,1396.5472,,,,,,,,,,,,,,,,8000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,266,,,,161,39,100,21,,,,,13,529,18,151,30.4,,,,,,,,,,,,,320,,,,,,,,,,,,,,,3.6,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253388,
[8996],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,CARROT MOUNTAIN,49.925,49.925,-119.65,-119.65,SUBAERIAL,,,s KNA-178 [8996],BASALT [8996],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8996] ,208756.471,16661.652,,73089.5631,,,,97240.23,54031.32,56143.024,1471.4702,,12452.25,32567.522299999997,2880.3786,,,,,,,,,,,,,,,,6000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,310,,,,263,29,90,21,,,,,33,895,25,297,76.4,,,,,,,,,,,,,586,,,,,,,,,,,,,,,6.38,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253389,
[8996],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,HOME CREEK,50.1367,50.1367,-118.8033,-118.8033,SUBAERIAL,,,s VID-156 [8996],BASALT [8996],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8996] ,218853.067,13605.018,,79387.65000000001,,,,92498.7,61893.020000000004,46856.20799999999,1316.5786,,7886.424999999999,24036.1668,2138.4629,,,,,,,,,,,,,,,,7000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,241,,,,126,44,92,20,,,,,13,668,22,218,33.7,,,,,,,,,,,,,245,,,,,,,,,,,,,,,4.57,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253390,
[8996],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,KING EDWARD,50.1917,50.1917,-119.1767,-119.1767,SUBAERIAL,,,s CR-9.1D [8996],BASALT [8996],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8996] ,216328.91800000003,18819.275999999998,,82404.38070000001,,,,104391.39,54245.729999999996,30453.519999999997,1548.9160000000002,,10625.92,30490.3227,2793.0944,,,,,,,,,,,,,,,,6000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,12,,,,12,28,144,25,,,,,14,708,28,275,43.8,,,,,,,,,,,,,468,,,,,,,,,,,,,,,5.9,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253391,
[8996],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,KING EDWARD,50.1917,50.1917,-119.1767,-119.1767,SUBAERIAL,,,s CR-96.6 [8996],BASALT [8996],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8996] ,219180.27150000003,18219.935999999998,,78593.7735,,,,101204.45999999999,56890.12,32383.248,1471.4702,,13697.474999999999,30638.694099999997,3665.9364,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,67,,,,50,37,145,27,,,,,28,636,31,287,55.6,,,,,,,,,,,,,726,,,,,,,,,,,,,,,6.03,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253392,
[8996],CONTINENTAL FLOOD BASALT,CHILCOTIN PLATEAU BASALTS / BRITISH COLUMBIA,SWALWELL CREEK,50.767,50.767,-119.305,-119.305,SUBAERIAL,,,s EC-16.6 [8996],BASALT [8996],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8996] ,240915.999,13724.885999999999,,98917.01190000001,,,,60784.86,39951.729999999996,4100.6720000000005,619.5664,,24157.365,37612.149900000004,5848.0414,,,,,,,,,,,,,,,,24000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,113,,,,8,21,162,33,,,,,38,617,46,390,87.8,,,,,,,,,,,,,1154,,,,,,,,,,,,,,,9.15,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253393,
