Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - MAHABALESHWAR FORMATION,KOLHAPUR SECTION,16.7,16.7,74.32,74.32,SUBAERIAL,,,s KP-02-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,233390.2955,17980.199999999997,,69543.58140000001,,,,114807.20999999999,71255.59000000001,35277.84,1781.2534,,4067.735,17359.4538,1221.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,95,,,,81,227,139,24,,,,,11,226,38,182,15,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102303,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - PANHALA FORMATION,KOLHAPUR SECTION,16.7,16.7,74.32,74.32,SUBAERIAL,,,s KP-03-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,235026.31800000003,11087.789999999999,,73460.03880000001,,,,104624.58,80403.75,39438.816,1471.4702,,2407.435,15504.811299999998,741.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,92,,,,75,191,110,20,,,,,3,150,32,115,8,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102304,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - PANHALA FORMATION,KOLHAPUR SECTION,16.7,16.7,74.32,74.32,SUBAERIAL,,,s KP-04-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,234418.65250000003,10848.054,,74306.8404,,,,102059.49,84477.54000000001,38654.864,1548.9160000000002,,1743.3149999999998,15356.439899999998,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,93,,,,75,185,108,21,,,,,4,151,32,114,7,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102305,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION,AMBA GHAT SECTION,17,17,74,74,SUBAERIAL,,,s AG-02-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,229697.559,15462.972,,75153.64199999999,,,,110376.59999999999,79331.7,36182.399999999994,1471.4702,,1577.285,16172.482600000001,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,84,,,,91,175,124,24,,,,,7,219,34,146,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102306,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION,AMBA GHAT SECTION,17,17,74,74,SUBAERIAL,,,s AG-03-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,231941.247,14983.5,,76212.144,,,,102059.49,80189.34000000001,37448.784,1471.4702,,1992.36,16840.1539,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,125,,,,90,193,110,25,,,,,3,224,33,140,9,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102307,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION,AMBA GHAT SECTION,17,17,74,74,SUBAERIAL,,,s AG-04-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,231754.27300000002,15043.433999999997,,75682.89300000001,,,,104002.74,82047.56,35760.272,1471.4702,,1743.3149999999998,16395.039699999998,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,112,,,,84,151,110,23,,,,,8,229,33,139,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102308,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION,AMBA GHAT SECTION,17,17,74,74,SUBAERIAL,,,s AG-05-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,231333.58150000003,15762.641999999998,,74253.9153,,,,109288.38,74257.33,40162.464,1239.1328,,1826.33,15653.182699999998,1091.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,178,,,,113,220,115,24,,,,,,212,36,156,11,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102309,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION,AMBA GHAT SECTION,17,17,74,74,SUBAERIAL,,,s AG-05-52 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,231333.58150000003,16182.18,,74095.14,,,,108588.81000000001,74543.20999999999,37207.568,1626.3618,,3652.66,17285.2681,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,178,,,,110,228,118,23,,,,,9,212,37,167,11,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102310,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION,AMBA GHAT SECTION,17,17,74,74,SUBAERIAL,,,s AG-06-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,227547.358,15882.509999999998,,75735.8181,,,,109132.92,75972.61,41730.367999999995,1548.9160000000002,,1162.21,16172.482600000001,1091.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,211,,,,126,296,125,25,,,,,,216,36,160,10,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102311,
[4695],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION,AMBA GHAT SECTION,17,17,74,74,SUBAERIAL,,,s AG-07-51 [4695],BASALT [4695],,,,CENOZOIC [4695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4695] ,230071.507,14563.962,,73195.4133,,,,104469.12,76687.31,44444.047999999995,1394.0244,,3403.615,16098.2969,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,398,,,,183,209,121,22,,,,,10,202,34,143,9,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102312,
