Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BR1 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,256,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70627,,,,,,,,,,,,,,,,,,,,,101360,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BR2 [1677],THOLEIITE [1677],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,184,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70733,,,,,,,,,,,,,,,,,,,,,101361,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BR3 [1677],THOLEIITE [1677],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,173,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70789,,,,,,,,,,,,,,,,,,,,,101362,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BR4 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,251,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70586,,,,,,,,,,,,,,,,,,,,,101363,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BR71-16 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,256,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70539,,,,,,,,,,,,,,,,,,,,,101364,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BR74-13 [1677],THOLEIITE [1677],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,177,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70709,,,,,,,,,,,,,,,,,,,,,101365,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BR74-20 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,274,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70564,,,,,,,,,,,,,,,,,,,,,101366,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BR74-22 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,247,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70592,,,,,,,,,,,,,,,,,,,,,101367,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BRS30 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,275,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70567,,,,,,,,,,,,,,,,,,,,,101368,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / BIRDS RIVER COMPLEX,,-20.9,-20.9,14,14,SUBAERIAL,,,s BRS45 [1677],THOLEIITE [1677],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,179,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70693,,,,,,,,,,,,,,,,,,,,,101369,
