Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4888],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU,"ST. GEORGE^S CHURCH, ADDIS ABEBA",10,13,36,40,SUBAERIAL,,,s 1842 [4888],BASALT [4888],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4888] ,216562.6355,10848.054,,83780.4333,,,,90244.53,77259.07,52946.91199999999,1471.4702,,5645.02,24481.281,1702.0419000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,220,,,,109,79,71,15,,,,,15,472,25,135,26,,,,,,,,,,,,,289,18.5,43,4.7,22,4.9,1.68,4.8,,4.25,0.82,2.29,,2.02,0.3,3.11,1.82,,,,,,,,,0,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,108498,
[4888],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU,"ST. GEORGE^S CHURCH, ADDIS ABEBA",10,13,36,40,SUBAERIAL,,,s 1845 [4888],BASALT [4888],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4888] ,217076.814,14264.291999999998,,88596.61739999999,,,,88379.01,68754.14,37870.912,1394.0244,,10293.86,35164.0218,2007.5366000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,33,,,,49,52,83,23,,,,,24,635,27,224,45,,,,,,,,,,,,,360,25,56,5.8,27,5.6,1.84,5.1,,4.39,0.81,2.21,,1.86,0.26,4.97,3.38,,,,,,,,,5,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,108499,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,LIMA LIMO,13.25,13.25,37.94,37.94,SUBAERIAL,,,s AD26 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,346369.335,1798.0199999999998,,65627.12400000001,,,,16090.109999999999,2787.33,,,,41507.5,29674.28,261.8526,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.4,,,,,,,,129,6,83,837,48,,,,,,,,,,,,0.35,31,119,237,30,120,21,3,17,2.7,14,3.1,7.8,1.2,7.8,1.22,23,3.2,,,,,,,,,,,5,1.7,0.512639,,,0.741272,,,,,,,,,,,,,,,,,,,,,119554,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,LIMA LIMO,13.25,13.25,37.94,37.94,SUBAERIAL,,,s AD27 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,276254.085,5214.258,,101086.941,,,,31480.649999999998,7861.700000000001,,154.8916,,43997.95,41543.992,916.4841,,,,,,,,,,,,,,,,37000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4.1,,,,,,,,74,124,81,906,57,,,,,,,,,,,,0.23,2380,98,162,27,112,22,7.2,19,3,17,3.5,8.1,1.2,7.2,1.05,24,4.2,,,,,,,,,,,6,2.3,0.512784,,,0.704682,,,,,,,,,,,,,,,,,,,,,119555,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD3 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,325802.19500000007,3356.304,,70390.383,,,,22386.239999999998,4431.14,,1239.1328,,39017.05,28932.423,174.5684,,,,,,,,,,,,,,,,36000.,,,,,,,,,,,,,,,,,,,,,,,,106,492,,,,,,2.1,,,,1.6,,,,,,,,86,49,63,615,73,,,,,,,,,,,,1.12,679,83,182,20,80,15,3.3,12,2,11,2.4,5.9,0.9,5.9,0.87,17,5.6,,,,,,,,,,,10,3.3,0.512826,,,0.70689,,,,,,,,,,,,,,,,,,,,,119556,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD4 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,330009.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4,11.8,,,,,,,,,,,,,,,,,,,,109.4,19.9,,,,,,,,,,,,,,,,,,,,,,,,0.512825,,,0.716224,,,,,,,,,,,,,,,,,,,,,119557,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD10 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,331411.41500000004,3955.644,,71448.88500000001,,,,22386.239999999998,2215.57,,929.3496,,37356.75,44511.42,305.4947,,,,,,,,,,,,,,,,7000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,0.8,,,,,,,,108,173,68,682,94,,,,,,,,,,,,1.2,1051,103,224,27,107,21,5.7,17,2.5,14,2.8,6.8,0.9,6.4,0.91,20,7.5,,,,,,,,,,,14,4.1,0.512841,,,0.705507,,,,,,,,,,,,,,,,,,,,,119560,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD17 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,347771.6400000001,5154.324,,40752.327000000005,,,,46871.19,714.7,2351.8559999999998,2091.0366,,35696.45,30416.136999999995,218.21050000000002,,,,,,,,,,,,,,,,6000.,,,,,,,,,,,,,,,,,,,,,,,,75,21,,,,,,0.8,,,,1.1,,,,,,,,170,8,147,1256,221,,,,,,,,,,,,0.69,167,181,372,46,183,36,9.1,30,4.6,27,5.4,11.9,1.5,10.1,1.13,36,16.2,,,,,,,,,,,24,5.8,0.512859,,,0.738282,,,,,,,,,,,,,,,,,,,,,119561,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD24 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,332346.285,4195.379999999999,,66685.626,,,,20987.100000000002,1858.22,,309.7832,,43997.95,32641.708000000002,610.9894,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,1,,,,,,,,137,73,67,710,84,,,,,,,,,,,,0.81,766,95,210,25,100,18,4.1,16,2.2,12,2.7,6.5,0.9,5.7,0.94,18,6.2,,,,,,,,,,,14,4.9,0.51288,,,0.706663,,,,,,,,,,,,,,,,,,,,,119562,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD40 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,309441.97000000003,5933.465999999999,,78329.148,,,,32180.219999999998,2215.57,3859.4559999999997,1471.4702,,36526.600000000006,39318.420999999995,349.1368,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,11.2,,,,,,,,104,262,79,649,89,,,,,,,,,,,,0.61,1311,126,212,33,137,27,7.2,21,3,16,3.1,7.6,1.1,6.5,0.93,17,6.8,,,,,,,,,,,12,3.8,0.512822,,,0.705154,,,,,,,,,,,,,,,,,,,,,119563,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD47 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,319725.54000000004,5034.455999999999,,68273.379,,,,30081.510000000002,4502.61,5246.447999999999,1703.8076,,39017.05,41543.992,523.7052,,,,,,,,,,,,,,,,9000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,2.7,,,,,,,,113,104,66,843,114,,,,,,,,,,,,0.75,822,107,236,28,117,23,5.4,18,2.4,13,2.7,6.1,0.9,5.5,0.76,22,8.8,,,,,,,,,,,15,4.9,0.512825,,,0.70578,,,,,,,,,,,,,,,,,,,,,119564,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD50 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,332346.285,3655.9739999999997,,74095.14,,,,16789.68,1929.69,1628.208,851.9038,,35696.45,43027.706,218.21050000000002,,,,,,,,,,,,,,,,6000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,1.7,,,,,,,,102,129,64,721,96,,,,,,,,,,,,0.87,1052,98,194,24,98,18,4.4,15,2.4,12,2.6,6.5,1,5.7,0.9,20,7.2,,,,,,,,,,,14,4.9,,,,,,,,,,,,,,,,,,,,,,,,,119565,
[4940],CONTINENTAL FLOOD BASALT,ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / WERE ILU IGNIMBRITE,WEGEL TENA,11.65,11.65,39.16,39.16,SUBAERIAL,,,s AD51 [4940],RHYOLITE [4940],30000000 [4940],30000000 [4940],,CENOZOIC [4940],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4940] ,350108.81500000006,3056.634,,58217.61,,,,20287.53,1143.52,2472.4639999999995,1006.7954,,39017.05,31899.851,87.2842,,,,,,,,,,,,,,,,8000.,,,,,,,,,,,,,,,,,,,,,,,,213,103,,,,,,2.9,,,,1.8,,,,,,,,102,9,77,744,89,,,,,,,,,,,,0.56,98,101,223,29,112,23,4.8,18,2.8,16,3.3,8.3,1.2,7.4,1.11,20,6.8,,,,,,,,,,,14,4.5,0.512786,,,0.727986,,,,,,,,,,,,,,,,,,,,,119566,
