Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.1553,-111.1553,SUBAERIAL,,,s S1-1 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,229089.8935,11447.393999999998,,77217.7209,,,,108588.81000000001,74042.92,38473.952,1936.145,,4648.84,16617.5968,610.9894,,,,,,,,,,,,,,,,3300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,435,99,,,49,62,202,103,14,,,,,17.5,173,24,89.3,6.63,,,,,,,,,,,,1.18,599,8.3,21.19,3.19,15.02,4.22,1.43,4.5,0.75,4.83,1.06,2.98,0.41,2.48,0.4,3.17,0.38,,,,,,,,,,,1.15,0.26,,,,,,,,,,,,,,,,,,,,,,,,,257366,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.1553,-111.1553,SUBAERIAL,,,s S1-2 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,229043.15000000002,11027.856,,77535.2715,,,,109910.22,75543.79000000001,40403.68,1858.6992,,3984.72,15653.182699999998,610.9894,,,,,,,,,,,,,,,,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,428,109,,,50,76,260,111,14,,,,,16.7,178,22,86.2,6.3,,,,,,,,,,,,2.09,280,7.56,19,2.88,13.28,3.88,1.38,4.58,0.74,4.63,1.02,2.88,0.39,2.28,0.36,2.96,0.37,,,,,,,,,,,1.12,0.24,,,,,,,,,,,,,,,,,,,,,,,,,257367,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.1553,-111.1553,SUBAERIAL,,,s S1-4 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,226051.56600000002,9649.374,,75841.6683,,,,108277.89,74114.39,50715.664,1936.145,,3818.69,14688.7686,523.7052,,,,,,,,,,,,,,,,4000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,403,168,,,61,126,234,119,13,,,,,26,168,32,96,7,,,,,,,,,,,,,301,6,15.3,2.5,11.1,3.5,1.4,4.8,0.78,5.08,1.06,2.68,0.36,2.1,0.32,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,257368,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.1553,-111.1553,SUBAERIAL,,,s S1-5 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,226565.7445,9829.176,,73354.1886,,,,102292.68000000001,75400.85,46313.471999999994,1781.2534,,3320.6000000000004,15504.811299999998,523.7052,,,,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,418,136,,,59,109,236,119,14,,,,,12.9,178,20,78.5,5.46,,,,,,,,,,,,1.62,226,6.58,16.48,2.5,11.77,3.4,1.25,3.95,0.68,4.32,0.89,2.44,0.34,2.12,0.32,2.67,0.35,,,,,,,,,,,0.96,0.2,,,,,,,,,,,,,,,,,,,,,,,,,257369,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.1553,-111.1553,SUBAERIAL,,,s S1-8 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,226939.6925,8390.759999999998,,77323.5711,,,,86902.14,87550.75,43237.96799999999,1394.0244,,2656.48,14466.2115,436.42100000000005,,,,,,,,,,,,,,,,5100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,375,259,,,42,95,140,54,14,,,,,22,161,28,59,4.33,,,,,,,,,,,,1.23,227,5.59,13.67,2.06,11.42,3.28,1.13,3.34,0.58,3.44,0.77,2.24,0.31,1.84,0.28,2.15,0.26,,,,,,,,,,,0.78,0.16,0.512762,,,0.707241,,,,,,,,,,,,,,,,,,,,,257370,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.1553,-111.1553,SUBAERIAL,,,s S1-10 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,231006.37700000004,7971.222,,86426.6883,,,,87601.70999999999,86550.17,41790.672,1548.9160000000002,,2656.48,15504.811299999998,392.77889999999996,,,,,,,,,,,,,,,,3000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,359,172,,,50,77,181,93,15,,,,,11.5,188,18,59.7,4.26,,,,,,,,,,,,1.4,99,5,12.99,2.06,9.71,2.92,1.08,3.28,0.55,3.61,0.76,2.06,0.29,1.79,0.27,2.04,0.23,,,,,,,,,,,0.74,0.16,,,,,,,,,,,,,,,,,,,,,,,,,257371,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.2489,-111.2489,SUBAERIAL,,,s S2-1 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,224789.49150000003,11147.724,,70072.8324,,,,106101.45,74543.20999999999,37690.,1703.8076,,3403.615,16395.039699999998,610.9894,,,,,,,,,,,,,,,,4900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,406,107,,,46,60,231,104,14,,,,,15.3,170,24,90.8,6.37,,,,,,,,,,,,1.2,77,7.59,19.55,3.08,14.33,4.06,1.46,4.6,0.78,4.97,1.09,2.94,0.41,2.58,0.38,3.15,0.37,,,,,,,,,,,1.1,0.26,,,,,,,,,,,,,,,,,,,,,,,,,257372,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.2489,-111.2489,SUBAERIAL,,,s S2-3 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,222919.7515,9649.374,,71078.4093,,,,102836.79000000001,74042.92,48363.808,1781.2534,,2905.5249999999996,14762.9543,523.7052,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,407,147,,,46,126,248,97,14,,,,,13.5,189,21,78.6,5.4,,,,,,,,,,,,1.12,163,6.57,17.17,2.63,12.75,3.62,1.3,4.15,0.67,4.4,0.96,2.6,0.36,2.17,0.32,2.7,0.32,,,,,,,,,,,0.95,0.21,,,,,,,,,,,,,,,,,,,,,,,,,257373,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.2489,-111.2489,SUBAERIAL,,,s S2-5 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,226238.54,8091.09,,74253.9153,,,,93742.38,81690.20999999999,49027.152,1626.3618,,2739.4950000000003,14392.0258,392.77889999999996,,,,,,,,,,,,,,,,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,375,281,,,47,126,201,94,14,,,,,22,164,17,63.1,4.24,,,,,,,,,,,,1.5,351,5,12.99,2.05,10.58,3.07,1.07,3.22,0.58,3.7,0.78,2.16,0.3,1.75,0.28,2.22,0.25,,,,,,,,,,,0.7,0.16,0.5128,,,0.706636,,,,,,,,,,,,,,,,,,,,,257374,
[8674],CONTINENTAL FLOOD BASALT,FRANKLIN LARGE IGNEOUS PROVINCE / CORONATION SILLS,"SILL 1, CLIFF SIDE FACING THE CORONATION GULF ABOUT 160 KM EAST OF KUGLUKTUK",67.79,67.79,-111.2489,-111.2489,SUBAERIAL,,,s S2-8 [8674],"THOLEIITE, OLIVINE [8674]",,,,,,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [8674] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8674] ,229043.15000000002,7911.288,,72824.9376,,,,90477.72,87050.45999999999,44444.047999999995,1626.3618,,2324.42,14392.0258,392.77889999999996,,,,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,362,159,,,53,72,193,91,13,,,,,10,175,18,58.3,3.82,,,,,,,,,,,,0.92,154,4.97,12.74,2.01,9.78,2.97,1.08,3.53,0.6,4,0.78,2.12,0.3,1.82,0.3,2.11,0.24,,,,,,,,,,,0.68,0.16,,,,,,,,,,,,,,,,,,,,,,,,,257375,
