Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4282C [9305],ANDESITE [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,262231.03500000003,4495.049999999999,,76212.144,,,,75553.56000000001,41309.66,31056.56,1239.1328,,2158.39,33161.0079,392.77889999999996,,11800.,,,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,307,,,,68,67,84,,,,,,44,449,28.6,134,15,,,,,,,,,,,,,215,36,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276661,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4283A [9305],ANDESITE [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,274851.78,7311.947999999999,,66685.626,,,,99338.93999999999,33305.020000000004,24061.296,1548.9160000000002,,6309.14,12166.4548,523.7052,,6800.000000000001,,,2100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,159,,,,71,99,143,,,,,,37,202,25.5,82,14,,,,,,,,,,,,,344,32,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276662,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4283C [9305],ANDESITE [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,265035.645,7611.6179999999995,,69331.881,,,,110532.06000000001,28159.18,22674.303999999996,1471.4702,,4399.795,17136.8967,872.8420000000001,,34300.,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,157,,,,87,105,154,,,,,,66,197,35.2,110,14,,,,,,,,,,,,,345,34,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276663,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4288B [9305],BASALT [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,258024.12000000002,4914.588,,82033.905,,,,84647.97,32375.910000000003,21830.048,1626.3618,,14776.67,19139.9106,436.42100000000005,,28000.,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,172,,,,101,44,128,,,,,,62,199,29.9,75,13,,,,,,,,,,,,,237,30,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276664,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4292B [9305],BASALT [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,267840.255,8151.024,,69331.881,,,,96540.66,37307.34,17367.552,1161.687,,15357.775000000001,15801.5541,480.0631,,11800.,,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,236,,,,67,19,66,,,,,,95,211,24.3,165,16,,,,,,,,,,,,,422,38,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276665,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4301 [9305],BASALT [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,272982.04000000004,7252.013999999999,,74095.14,,,,76253.13,31947.089999999997,16402.688000000002,851.9038,,8716.575,32790.079399999995,829.1999000000001,,17600.,,,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,188,,,,60,123,64,,,,,,71,327,32.4,138,17,,,,,,,,,,,,,326,37,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276667,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4302B [9305],BASALT [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,249610.29,4914.588,,77270.64600000001,,,,99338.93999999999,45669.329999999994,30875.647999999997,1471.4702,,7222.305,9792.5124,349.1368,,19100.,,,4100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,173,,,,74,53,66,,,,,,45,274,21.3,103,12,,,,,,,,,,,,,181,26,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276668,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4303 [9305],BASALT [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,260361.29500000004,4854.654,,77270.64600000001,,,,86047.11,39951.729999999996,25026.16,1394.0244,,1494.27,26929.409099999997,349.1368,,17500.,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,177,,,,73,5,76,,,,,,36,256,21.2,116,12,,,,,,,,,,,,,347,26,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276669,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4307E2L [9305],BASALT [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,236054.67500000002,6952.343999999999,,75153.64199999999,,,,83948.40000000001,72899.4,42755.536,2168.4824000000003,,10459.89,10015.0695,829.1999000000001,,7800.,,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,215,,,,155,29,93,,,,,,67,276,27.9,91,6,,,,,,,,,,,,,199,15,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276670,
[9305],CONTINENTAL FLOOD BASALT,HURONIAN FLOOD BASALT PROVINCE / THESSALON AREA,,46.25,46.25,-83.55,-83.55,SUBAERIAL,,,s 4307A [9305],BASALT [9305],2450000000 [9305],2450000000 [9305],PALEO [9305],PROTEROZOIC [9305],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9305] ,255219.51000000004,8151.024,,64568.621999999996,,,,118926.90000000001,29731.52,24965.855999999996,1936.145,,3901.705,19065.724899999997,654.6315,,23100.,,,3800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,178,,,,96,84,66,,,,,,60,215,22.4,143,14,,,,,,,,,,,,,218,31,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276671,
