Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,48.65,48.65,-94.05,-94.05,SUBAERIAL,,,s MD10-11-2 [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,228575.71500000003,11806.998,,68802.63,,,,111231.63,69611.78,30513.823999999997,1703.8076,,3320.6000000000004,20771.996,698.2736,,,,,1000.,,,,,,,,,,1500.,5000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,438,48,,,50,50,125,135,21,,,,,14,121,43,100,6.6,,,,,,,,1.4,,,,0.53,86,6.8,19,2.9,15,4.6,1.6,5.8,1.1,7,1.4,3.9,0.63,4.2,0.63,3.2,0.42,,,,,,,,,2,,0.65,0.2,,,,,,,,,,,,,,,,,,,,,,,,,643670,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,48.6,48.6,-93.82,-93.82,SUBAERIAL,,,s MD11-1-4B [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,235119.805,7671.552,,73036.638,,,,90244.53,81690.20999999999,44805.871999999996,1548.9160000000002,,1992.36,14095.283,392.77889999999996,,,,,1000.,,,,,,,,,,1200.,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,310,231,,,50,97,131,106,17,,,,,8.3,108,24,74,4,,,,,,,,1,,,,0.73,48,4,11,1.8,8.9,2.7,1,3.4,0.63,4.1,0.81,2.2,0.35,2.3,0.34,1.9,0.26,,,,,,,,,2,,0.36,0.11,,,,,,,,,,,,,,,,,,,,,,,,,643671,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,47.76,47.76,-92.25,-92.25,SUBAERIAL,,,s MD1-1-1A [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,213150.36000000002,11926.866,,76741.395,,,,92343.24,78188.18,44142.528,1471.4702,,3818.69,14095.283,741.9157,,,,,3000.,,,,,,,,,,200.,22000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,295,136,,,52,66,51,102,19,,,,,11,267,24,94,18,,,,,,,,1.7,,,,0.83,200,16,36,4.6,20,4.2,1.6,4.5,0.69,4.2,0.8,2.1,0.34,2.1,0.33,2.6,1.1,,,,,,,,,3,,1.7,0.35,,,,,,,,,,,,,,,,,,,,,,,,,643672,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,48.18,48.18,-93.8,-93.8,SUBAERIAL,,,s MD12-4-8 [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,229510.58500000002,8750.364,,68273.379,,,,99338.93999999999,73042.34000000001,42454.015999999996,1548.9160000000002,,2988.54,16320.854000000001,480.0631,,,,,1000.,,,,,,,,,,1400.0000000000002,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,359,73,,,48,55,83,103,19,,,,,12,118,31,87,4.7,,,,,,,,1.1,,,,0.3,130,5,14,2.1,10,3.3,1.3,4.3,0.77,5.2,1,2.9,0.46,3,0.45,2.3,0.29,,,,,,,,,2,,0.51,0.15,,,,,,,,,,,,,,,,,,,,,,,,,643673,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,47.6,47.6,-92.56,-92.56,SUBAERIAL,,,s MD13B-1 [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,235587.24000000002,6173.202,,73565.88900000001,,,,83248.83,40666.43,51137.792,1006.7954,,3237.585,31899.851,305.4947,,,,,12000.,,,,,,,,,,1500.,33000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,266,239,,,42,94,135,60,15,,,,,12,158,22,59,3.2,,,,,,,,1.1,,,,3.1,99,5.2,17,2.6,13,3.5,0.82,3.8,0.62,4,0.77,2.1,0.33,2.2,0.32,1.5,0.3,,,,,,,,,4,,0.43,0.21,,,,,,,,,,,,,,,,,,,,,,,,,643674,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,47.37,47.37,-93.22,-93.22,SUBAERIAL,,,s MD14-3-2 [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,223901.36500000002,6892.409999999999,,74095.14,,,,90944.09999999999,56246.89,53730.863999999994,1394.0244,,3569.645,15578.997,349.1368,,,,,11000.,,,,,,,,,,1200.,41000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,306,151,,,55,69,159,91,17,,,,,14,136,23,67,3.2,,,,,,,,0.9,,,,3.1,160,3.9,11,1.6,8.1,2.6,0.96,3.4,0.64,4,0.83,2.3,0.38,2.5,0.38,1.7,0.22,,,,,,,,,3,,0.3,0.09,,,,,,,,,,,,,,,,,,,,,,,,,643675,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,48.7,48.7,-94.45,-94.45,SUBAERIAL,,,s MD17-9-1 [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,230445.45500000002,15163.301999999998,,64039.371,,,,121025.61,67181.8,31177.167999999998,1781.2534,,3735.675,17804.568,1178.3367,,,,,2000.,,,,,,,,,,2000.,4000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,447,101,,,51,52,75,171,21,,,,,15,104,57,170,11,,,,,,,,2.2,,,,0.52,120,10,29,4.3,22,6.5,2,8,1.4,9.1,1.9,5.2,0.83,5.4,0.84,4.7,0.67,,,,,,,,,3,,0.96,0.27,,,,,,,,,,,,,,,,,,,,,,,,,643676,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,49.48,49.48,-94.48,-94.48,SUBAERIAL,,,s MD25-1-1 [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,225303.67000000004,6113.268,,77270.64600000001,,,,100738.08,35234.71,54152.992,1548.9160000000002,,4067.735,22255.71,305.4947,,,,,2000.,,,,,,,,,,1100.,36000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,293,423,,,72,110,50,112,11,,,,,17,52,18,55,2.7,,,,,,,,1.1,,,,0.36,100,2.6,7.4,1.2,5.9,2,0.45,2.6,0.46,3.1,0.61,1.7,0.27,1.7,0.25,1.4,0.17,,,,,,,,,1,,0.38,0.12,,,,,,,,,,,,,,,,,,,,,,,,,643677,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,49.03,49.03,-94.54,-94.54,SUBAERIAL,,,s MD-29-4-2 [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,230912.89,12286.469999999998,,68273.379,,,,114729.48,72756.45999999999,34132.064,1781.2534,,1992.36,16320.854000000001,829.1999000000001,,,,,1000.,,,,,,,,,,1800.,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,392,124,,,56,73,104,164,20,,,,,5.3,119,40,120,8.1,,,,,,,,1.4,,,,0.94,64,7.9,22,3.3,17,4.7,1.6,6,1,6.4,1.3,3.5,0.57,3.6,0.55,3.2,0.54,,,,,,,,,4,,0.63,0.18,,,,,,,,,,,,,,,,,,,,,,,,,643678,
[11763],CONTINENTAL FLOOD BASALT,MARATHON LARGE IGNEOUS PROVINCE / FORT FRANCES DIKE SWARM,,49.58,49.58,-95.15,-95.15,SUBAERIAL,,,s MD30-8-2 [11763],DOLERITE [11763],,,PALEO [11763],PROTEROZOIC [11763],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11763] ,235587.24000000002,5274.192,,72507.387,,,,77652.27,86121.35,48544.72,1394.0244,,2905.5249999999996,11127.855,261.8526,,,,,1000.,,,,,,,,,,900.,8000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,245,263,,,46,96,117,92,13,,,,,20,106,17,42,2.2,,,,,,,,,,,,2.6,82,2.7,7.3,1.1,5.3,1.7,0.61,2.3,0.39,2.7,0.57,1.6,0.25,1.7,0.26,1.2,0.2,,,,,,,,,2,,0.28,0.09,,,,,,,,,,,,,,,,,,,,,,,,,643679,
