Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-3A [2174],"ANDESITE, BASALTIC [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,251106.08200000002,10967.922,,74518.5408,68.42,,0,92110.05,51529.87,21287.311999999998,1239.1328,,5478.990000000001,39244.2353,916.4841,,,,,,,,,,,,,,,,11500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,199,110,,,39,93,,,,,,,,10,126,29,146,13,,,,,,,,,,,,,133,13.32,32.12,,18.5,4.56,1.33,,0.83,,,,,2.69,0.37,3.64,0.72,,,,,,,,,,,1.9,0.35,0.512207,,,,,,,,,,,,,,,,,,,,,,,,104458,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-4C [2174],"THOLEIITE, OLIVINE [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,229557.3285,12406.337999999998,,76476.7695,136.84,,0,101904.03,57104.53,34855.712,1394.0244,,8135.47,22849.1956,1003.7683000000001,,,,,,,,,,,,,,,,23900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,277,130,,,55,99,,,,,,,,19,165,31,148,12,,,,,,,,,,,,,300,15.34,35.5,,20.09,4.89,1.52,,0.91,,,,,2.87,0.39,3.78,0.68,,,,,,,,,,,2.06,0.56,0.512151,,,,,,,,,,,,,,,,,,,,,,,,104459,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-1B [2174],"THOLEIITE, OLIVINE [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,222499.06000000003,10128.846,,82404.38070000001,136.84,,0,93276,58176.58,45107.392,1471.4702,,9380.695,17656.1966,698.2736,,,,,,,,,,,,,,,,30900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,248,165,,,59,185,,,,,,,,42,137,23,108,11,,,,,,,,,,,,,206,9.58,22.48,,13.65,3.5,1.14,,0.69,,,,,2.15,0.3,2.65,0.48,,,,,,,,,,,1.03,0.21,0.51234,,,,,,,,,,,,,,,,,,,,,,,,104460,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-6A [2174],"THOLEIITE, OLIVINE [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,230866.14650000003,11447.393999999998,,79599.3504,136.84,,0,99183.48,64180.060000000005,38112.128,1471.4702,,5894.065,19807.581899999997,916.4841,,,,,,,,,,,,,,,,12500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,275,127,,,56,125,,,,,,,,17,214,29,135,12,,,,,,,,,,,,,216,14.28,33.39,,19.08,4.68,1.49,,0.87,,,,,2.61,0.37,3.52,0.68,,,,,,,,,,,1.7,0.63,0.512208,,,,,,,,,,,,,,,,,,,,,,,,104461,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-12 [2174],"THOLEIITE, OLIVINE [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,217497.50550000003,11567.261999999999,,84256.7592,136.84,,0,97007.04000000001,66538.57,41368.544,1471.4702,,2075.375,14837.14,916.4841,,,,,,,,,,,,,,,,36700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,271,128,,,55,118,,,,,,,,6,178,29,140,12,,,,,,,,,,,,,87,14.62,32.88,,19.45,4.77,1.57,,0.89,,,,,2.67,0.38,3.54,0.62,,,,,,,,,,,1.61,0.55,0.512204,,,,,,,,,,,,,,,,,,,,,,,,104462,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-22B [2174],"THOLEIITE, OLIVINE [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,231380.325,12466.271999999999,,77006.02050000001,68.42,,0,105090.95999999999,44311.4,34071.76,1703.8076,,10376.875,29971.0228,1527.4734999999998,,,,,,,,,,,,,,,,20700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,250,74,,,50,81,,,,,,,,27,194,35,171,15,,,,,,,,,,,,,362,22.07,51.08,,31.72,7.26,1.77,,1.08,,,,,3.16,0.44,4.62,0.87,,,,,,,,,,,2.68,0.8,0.511989,,,,,,,,,,,,,,,,,,,,,,,,104463,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KB-81A [2174],"BASALT, THOLEIITIC [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,228295.25400000004,11267.591999999999,,82827.78150000001,136.84,,0,100193.97,63250.95,37750.304,1471.4702,,5811.049999999999,18843.1678,916.4841,,,,,,,,,,,,,,,,12400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,148,,,,137,,,,,,,,18,222,28,133,10,,,,,,,,,,,,,356,,,,34.17,8,,,,,,,,,,,,,,,,,,,,,,,,0.512089,,,,,,,,,,,,,,,,,,,,,,,,104464,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-25 [2174],"BASALT, ALKALINE, OLIVINE [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,221984.88150000002,11447.393999999998,,76900.1703,68.42,,0,100349.43000000001,68539.73,34735.104,1626.3618,,6724.215,27671.266099999997,960.1262,,,,,,,,,,,,,,,,22200.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,240,93,,,57,146,,,,,,,,15,284,29,133,12,,,,,,,,,,,,,226,13.84,32.63,,18.92,4.61,1.47,,0.79,,,,,2.59,0.37,3.43,0.65,,,,,,,,,,,1.65,0.53,0.5122,,,,,,,,,,,,,,,,,,,,,,,,104465,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-26B [2174],"BASALT, THOLEIITIC [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,232034.73400000003,16541.783999999996,,70390.383,68.42,,0,114574.02,54960.43,27860.448,1548.9160000000002,,15191.745,19362.467699999997,1527.4734999999998,,,,,,,,,,,,,,,,12700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,324,92,,,50,52,,,,,,,,60,175,43,214,17,,,,,,,,,,,,,355,25.83,57.74,,33.03,7.69,2.1,,1.26,,,,,3.85,0.57,5.86,1.14,,,,,,,,,,,3.69,1.07,0.512125,,,,,,,,,,,,,,,,,,,,,,,,104466,
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-28C [2174],"BASALT, THOLEIITIC [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,230959.6335,16302.048,,71343.03480000001,68.42,,0,110609.79000000001,62250.37,26774.976000000002,1626.3618,,11040.995,16914.3396,1440.1893,,,,,,,,,,,,,,,,17300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,306,101,,,49,55,,,,,,,,45,206,42,212,16,,,,,,,,,,,,,283,24.67,55.53,,31.41,7.38,2.02,,1.22,,,,,3.85,0.56,5.8,1.14,,,,,,,,,,,3.57,1.08,0.512143,,,,,,,,,,,,,,,,,,,,,,,,104467,
