Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-8-2 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,217637.73600000003,11747.063999999998,,85897.4373,,,,78507.3,47170.2,27016.192000000003,1781.2534,,1660.3000000000002,34644.7219,2924.0207,,,,,,,,,,,,,,,,67900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13141,182,170,,,38,94,,,,,,,,4.8,757.47,32.8,276,15.38,,,,,,,,,,,,,321,43.05,92.56,12.1,41.62,9.01,2.67,7.33,1.19,6.29,1.21,3.11,0.48,2.85,0.45,4.84,0.86,,,,,,,,,,,1.9,0.45,0.512224,,,0.708073,,16.872,,15.327,,36.882,,,,,,,,,,,,,,,348979,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-8-3 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,229043.15000000002,11986.8,,82986.5568,,,,78507.3,39308.5,38594.56,1161.687,,24489.425000000003,18917.353499999997,3054.9469999999997,,,,,,,,,,,,,,,,38100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13977,189,172,,,41,99,,,,,,,,50.7,447.23,33.2,184,16.96,,,,,,,,,,,,,1759,49.34,102.7,13.4,49.38,9.6,2.72,8.27,1.29,6.83,1.28,3.11,0.44,2.48,0.34,3.8,0.9,,,,,,,,,,,2.03,0.44,0.512183,,,0.70658,,16.884,,15.325,,36.915,,,,,,,,,,,,,,,348980,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-8-4 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,234792.6005,12046.733999999999,,87220.56480000001,,,,74931.72,55532.189999999995,31418.384,1239.1328,,6890.245,29822.651399999995,3273.1575000000003,,,,,,,,,,,,,,,,27400.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13372,183,107,,,33,61,,,,,,,,13.6,1207.92,34.6,267,18.61,,,,,,,,,,,,,452,50.67,107.7,13.72,43.36,9.2,2.73,7.65,1.23,6.56,1.26,3.22,0.49,2.95,0.45,5.08,0.94,,,,,,,,,,,2.42,0.56,0.51211,,,0.705531,,16.813,,15.292,,36.75,,,,,,,,,,,,,,,348981,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-8-5 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,233203.32150000002,13425.216,,88173.2166,,,,79750.98,35592.060000000005,26835.28,1239.1328,,31130.625,18027.1251,5018.8414999999995,,,,,,,,,,,,,,,,35700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15079,158,12,,,29,27,,,,,,,,58.6,524.25,35.7,227,13.93,,,,,,,,,,,,,3110,58.05,125,16.9,63.33,11.56,3.6,9.35,1.36,7.05,1.36,3.51,0.53,3.3,0.52,4.92,0.76,,,,,,,,,,,1.72,0.46,0.511878,,,0.70582,,16.127,,15.203,,36.086,,,,,,,,,,,,,,,348982,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-11-1 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,224322.05650000004,10848.054,,85474.0365,,,,78118.65000000001,71898.82,32021.423999999995,1006.7954,,5645.02,22923.381299999997,3447.7259000000004,,,,,,,,,,,,,,,,30500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11018,170,79,,,38,81,,,,,,,,10.2,2052.01,28.1,245,17.64,,,,,,,,,,,,,408,45.73,98.5,13.05,47.89,8.67,2.63,7.26,1.02,5.48,0.97,2.86,0.4,2.53,0.4,4.9,0.83,,,,,,,,,9.03,,2.06,0.47,0.512057,,,0.704963,,16.651,,15.275,,36.601,,,,,,,,,,,,,,,348983,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-12-1 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,237270.00600000002,10428.516,,82563.156,,,,71200.68000000001,50600.76,28282.576,1006.7954,,22995.155,25148.9523,4451.4942,,,,,,,,,,,,,,,,26600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10377,177,186,,,32,80,,,,,,,,56.5,770.58,29.2,271,19.17,,,,,,,,,,,,,2083,53.89,107.9,13.69,49.03,8.95,2.52,7.85,1.09,5.85,1.07,3.06,0.44,2.71,0.42,5.72,0.95,,,,,,,,,6.51,,2.91,0.48,0.511949,,,0.705451,,16.492,,15.248,,36.511,,,,,,,,,,,,,,,348984,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-12-2 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,218105.171,10788.119999999999,,86797.16399999999,,,,77263.62,58605.399999999994,43841.007999999994,1239.1328,,13614.46,22404.0814,2531.2418,,,,,,,,,,,,,,,,33800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11165,195,217,,,41,115,,,,,,,,29.8,827.25,26.6,191,11.21,,,,,,,,,,,,,1357,27.51,61.79,8.44,32.17,6.57,2.13,6.43,0.94,5.26,0.99,2.83,0.4,2.53,0.4,3.99,0.61,,,,,,,,,5.05,,1.05,0.33,0.512206,,,0.705195,,16.542,,15.256,,36.425,,,,,,,,,,,,,,,348985,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-14-1 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,232268.4515,12646.073999999999,,88120.29149999999,,,,103691.81999999999,24585.68,9889.855999999998,1161.687,,23576.26,43176.0774,2967.6628,,,,,,,,,,,,,,,,24600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10162,139,313,,,31,136,,,,,,,,98.2,294.64,31.6,200,13.12,,,,,,,,,,,,,1015,34.93,69.14,8.06,36.73,6.93,1.86,6.1,0.91,5.28,1.01,3.04,0.44,2.78,0.44,4.82,0.75,,,,,,,,,19.7,,1.87,0.7,0.51215,,,0.706939,,16.114,,15.202,,36.057,,,,,,,,,,,,,,,348986,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-14-3 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,216469.14850000004,12646.073999999999,,109766.6574,,,,88068.09,19225.43,11879.887999999999,1548.9160000000002,,69898.63,5563.9275,3578.6522,,,,,,,,,,,,,,,,36300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12508,129,195,,,39,71,,,,,,,,232.1,68.95,34.3,276,23.03,,,,,,,,,,,,,2304,57.46,119.2,15.3,55.57,10.09,2.97,8.82,1.29,7.07,1.29,3.75,0.54,3.45,0.54,6.54,1.16,,,,,,,,,9.65,,3.4,1.96,0.511951,,,0.72481,,16.275,,15.176,,36.029,,,,,,,,,,,,,,,348987,
[10418],CONTINENTAL FLOOD BASALT,NANDALING - YANSHAN BELT / BEIJING PROVINCE / NANDALING FORMATION,WESTERN HILLS NEAR BEIJING,40,40,116.5,116.5,SUBAERIAL,,,s P1-16-1 [10418],BASALT [10418],180000000 [10418],195000000 [10418],LOWER [10418],JURASSIC [10418],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10418] ,239840.89850000004,11627.195999999998,,103256.87010000001,,,,68713.31999999999,23013.34,6392.224,851.9038,,56118.14,16320.854000000001,5018.8414999999995,,,,,,,,,,,,,,,,30700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11620,182,148,,,34,76,,,,,,,,163.7,197.22,30.1,365,34.57,,,,,,,,,,,,,2427,95.72,189.7,23.04,77.61,12.34,3.23,9.06,1.27,6.39,1.14,3.25,0.44,2.74,0.42,8.28,1.58,,,,,,,,,9.07,,5.98,1.13,0.51187,,,0.709524,,16.442,,15.208,,36.422,,,,,,,,,,,,,,,348988,
