Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-1 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,194359.473,24632.874,,60599.239499999996,,,,132996.03,45812.270000000004,66334.4,2013.5908,,498.09,20326.8818,2094.8208,,,,,,,,,,,,,,,,35600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,426,384,,,41,403,,133,18,,,,,2,181,26,203,34,,,,,,,,,,,,,124,14,44,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313064,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-2 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,208943.44500000004,16781.519999999997,,61075.5654,,,,106878.75,58319.520000000004,66032.87999999999,1703.8076,,8467.53,18472.2393,1527.4734999999998,,,,,,,,,,,,,,,,28300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,277,324,,,49,164,,119,16,,,,,16,469,22,200,34,,,,,,,,,,,,,225,24,51,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313065,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-3 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,203848.40350000001,26131.224000000002,,64409.8467,,,,110998.43999999999,44168.46,56022.41599999999,2478.2656,,3486.6299999999997,23813.609699999997,2400.3155,,,,,,,,,,,,,,,,35700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,295,259,,,32,25,,120,24,,,,,7,1028,31,284,49,,,,,,,,,,,,,167,28,70,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313066,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-4 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,202773.303,14204.358,,57847.1343,,,,101437.65000000001,72184.7,56203.328,1703.8076,,1577.285,16691.7825,1483.8314,,,,,,,,,,,,,,,,47600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,323,274,,,33,59,,107,18,,,,,3,620,33,215,23,,,,,,,,,,,,,15,13,41,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313067,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-5 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,214272.20400000003,16182.18,,59117.3367,,,,118926.90000000001,60106.270000000004,59278.831999999995,1548.9160000000002,,581.105,12982.4975,1440.1893,,,,,,,,,,,,,,,,41000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,388,513,,,48,208,,116,20,,,,,2,324,39,216,24,,,,,,,,,,,,,54,16,42,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313068,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-6 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,223574.1605,12825.876,,62398.692899999995,,,,91332.75,53388.09,63319.2,1316.5786,,16187.925,15875.739800000001,872.8420000000001,,,,,,,,,,,,,,,,47400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,273,554,,,49,29,,104,15,,,,,41,197,26,180,31,,,,,,,,,,,,,331,21,43,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313069,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-7 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,272093.9135,4794.72,,72666.16230000001,,,,63894.060000000005,7361.41,39016.687999999995,1316.5786,,249.045,23961.981099999997,610.9894,,,,,,,,,,,,,,,,48900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,212,107,,,15,29,,89,20,,,,,12,147,19,156,11,,,,,,,,,,,,,17,13,32,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313070,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-8 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,218292.14500000002,6113.268,,65097.87300000001,,,,102992.25,68825.61,76163.952,1471.4702,,249.045,15949.9255,392.77889999999996,,,,,,,,,,,,,,,,29800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,281,233,,,36,109,,105,19,,,,,3,262,19,68,4,,,,,,,,,,,,,11,2,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313071,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-9 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,227781.0755,13485.15,,60916.7901,,,,92420.97,51386.93,55660.592,1394.0244,,10874.965,21439.6673,916.4841,,,,,,,,,,,,,,,,21500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,256,346,,,46,170,,100,16,,,,,28,86,22,171,26,,,,,,,,,,,,,124,19,51,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313072,
[8730],CONTINENTAL FLOOD BASALT,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES / YENISEHIR AREA,,40.26,40.26,29.65,29.65,SUBAERIAL,,,s CG-10 [8730],BASALT [8730],203000000 [8730],215000000 [8730],UPPER [8730],TRIASSIC [8730],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8730] ,200716.589,18339.804,,67056.1017,,,,102759.06000000001,86121.35,50112.624,1548.9160000000002,,2905.5249999999996,17211.0824,1527.4734999999998,,,,,,,,,,,,,,,,41200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,414,97,,,42,53,,132,20,,,,,6,375,43,237,21,,,,,,,,,,,,,6,10,33,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313073,
