Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"500 M NORTH OF BINEVENAGH SUMMIT, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 2 [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"OLIVINE-PHYRIC, PREDOMINANTLY OPHITIC-POIKILITIC GROUNDMASS [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,216609.37900000004,8270.891999999998,,77270.64600000001,,26157.56,58530.69,,73328.22,72786.928,1471.4702,,1494.27,16469.2254,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,612,,,,311,82,,,,,,,3,196,18,91,3,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100349,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"500 M NORTH OF BINEVENAGH SUMMIT, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 3 [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"OLIVINE-PHYRIC, PREDOMINANTLY OPHITIC-POIKILITIC GROUNDMASS [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,216095.2005,8091.09,,76741.395,,21891.219999999998,62339.46,,73757.04000000001,71460.23999999999,1394.0244,,1494.27,15875.739800000001,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,610,,,,329,104,,,,,,,5,187,16,89,4,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100350,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"CLIFF SECTION 400 M WEST OF BINEVENAGH SUMMIT, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 1A [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"SPARSELY OLIVINE-PHYRIC, COARSE-GRAINED GROUNDMASS [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,217123.55750000002,8690.429999999998,,78911.3241,,16156.140000000001,66148.23,,78831.40999999999,59942.17599999999,1394.0244,,2407.435,13279.2403,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,561,,,,206,71,,,,,,,6,223,20,100,6,,,,,,,,,,,,,98,6.71,16.78,2.8,13.67,3.96,1.39,4.22,,4.52,0.87,2.47,,2.14,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100351,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"CLIFF SECTION 400 M WEST (SOUTH OF 1A) OF BINEVENAGH SUMMIT, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 4A [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"OLIVINE-PHYRIC, INTERGRANULAR [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,218853.067,7671.552,,76794.3201,,28885.219999999998,48658.979999999996,,70469.42,72304.496,1161.687,,1743.3149999999998,13724.3545,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,1054,,,,404,73,,,,,,,3,208,20,95,5,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100352,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"OUTCROPS 300 M SE OF BINEVENAGH SUMMIT, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 5A [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"OLIVINE-PHYRIC, OPHITIC-POIKILITIC GROUNDMASS [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,216001.7135,8091.09,,76741.395,,26157.56,56976.090000000004,,73256.75,74535.74399999999,1394.0244,,1328.24,15653.182699999998,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,637,,,,322,87,,,,,,,2,186,19,95,4,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100353,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"GULLEY IN THE CLIFF SECTION NORTH OF BINEVENAGH SUMMIT, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 6A [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"OLIVINE-PHYRIC, OPHITIC [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,218666.09300000002,7431.816,,75206.56710000001,,22240.920000000002,56742.9,,69754.72,73088.44799999999,1316.5786,,2075.375,12908.3118,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,1032,,,,381,57,,,,,,,4,223,19,81,7,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100354,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"GULLEY IN THE CLIFF SECTION NORTH OF BINEVENAGH SUMMIT, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 7A [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"OLIVINE-PHYRIC, OPHITIC [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,215160.3305,8750.364,,77535.2715,,26157.56,59307.99,,69182.95999999999,72726.624,1316.5786,,1660.3000000000002,15801.5541,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,631,,,,333,104,,,,,,,4,176,22,88,5,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100355,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"GULLEY IN THE CLIFF SECTION NORTH OF BINEVENAGH SUMMIT, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 8A [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"SPARSELY OLIVINE-PHYRIC, OPHITIC [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,216001.7135,7371.882,,80287.37670000001,,26856.96,48814.44,,74543.20999999999,65309.231999999996,1394.0244,,996.18,12759.9404,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,593,,,,282,80,,,,,,,3,222,19,74,5,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100356,
[4598],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"NORTH OF SUMMIT OF EAGLE HILL, COUNTY LONDONDERRY, NORTH IRELAND",55.1,55.1,-6.92,-6.92,SUBAERIAL,,,s 9A [4598],BASALT [4598],,,,CENOZOIC [4598],,,,"OLIVINE-PLAGIOCLASE-PHYRIC, INTERGRANULAR [4598] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4598] ,216515.89200000002,8450.694,,74783.16630000001,,21121.88,63894.060000000005,,74257.33,78093.68,1394.0244,,1494.27,17211.0824,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,934,,,,394,102,,,,,,,5,194,18,92,5,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100357,
[4607],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE,"ANTRIM PLATEAU, NE IRELAND",54.75,55,-5.75,-6.25,SUBAERIAL,,,s 16 [4607],BASALT [4607],,,,CENOZOIC [4607],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4607] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,13.2,1.8,10.8,3.03,1.1,3.51,,3.81,0.84,2.23,,2.02,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100358,
