Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7522],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE / ZIG-ZAG DAL BASALTS,,81,81,-26,-26,SUBAERIAL,,,s 273405 [7522],BASALT [7522],,,MESO [7522],PROTEROZOIC [7522],,,,BASAL SERIES [7522] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7522] ,232689.143,4914.588,,76688.46990000001,,,,71511.59999999999,44668.75,61449.77599999999,1239.1328,,5894.065,19436.6534,567.3473,,,,,,,,,,,,,,,,45100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,240.5,339.1,,,,85.8,92.1,75,,,,,,13.7,208.1,15.4,76.9,6.5,,,,,,,,,,,,,230.8,10.3,22.4,2.7,11.78,2.58,1,2.7,,2.7,0.6,1.6,,1.5,0.5749,5.645,,,,,,,,,,3.7,,1.2,,0.511899,,,,,,,,,,,,,,,,,0.282154,,,,,,,198329,
[7522],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE / ZIG-ZAG DAL BASALTS,,81,81,-26,-26,SUBAERIAL,,,s 273439 [7522],BASALT [7522],,,MESO [7522],PROTEROZOIC [7522],,,,APHYRIC [7522] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7522] ,235540.4965,5933.465999999999,,75577.0428,,,,78274.11,70826.77,44685.263999999996,1316.5786,,5562.005,20623.6246,523.7052,,,,,,,,,,,,,,,,21200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,290.9,223.8,,,,112,55.2,78.5,,,,,,17.5,253,19.7,83.3,4.9,,,,,,,,,,,,,219.5,10.8,24,2.8,14.1,3.1,1.1,3.3,,3.5,0.7,2.2,,2,0.3,,,,,,,,,,,3.3,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,198339,
[7522],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE / ZIG-ZAG DAL BASALTS,,81,81,-26,-26,SUBAERIAL,,,s 273451 [7522],BASALT [7522],,,MESO [7522],PROTEROZOIC [7522],,,,PORPHYRITIC [7522] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [7522] ,222499.06000000003,5993.4,,71290.1097,,,,87057.59999999999,79403.17,39981.551999999996,1471.4702,,830.1500000000001,14614.5829,436.42100000000005,,,,,,,,,,,,,,,,41300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,366.2,244.7,,,,97.5,157.7,91.1,,,,,,0.7,176.6,24.3,73.6,3.5,,,,,,,,,,,,,91.5,7.5,18.4,2.2,10.3,2.85,1.1,3.6,,4,0.9,2.6,,2.4,0.3363,1.953,,,,,,,,,,0.8,,0.6,,0.512341,,,,,,,,,,,,,,,,,0.28263,,,,,,,198343,
[7522],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE,,80,83,-24,-28,SUBAERIAL,,,s 335774 [7522],DOLERITE [7522],,,MESO [7522],PROTEROZOIC [7522],,,,PORPHYRITIC [7522] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [7522] ,222358.82950000002,12406.337999999998,,73248.33840000001,,,,103069.98,71112.65,35398.448,1703.8076,,9712.755,16543.411099999998,1134.6946,,,,,,,,,,,,,,,,15200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,416.2,158.4,,,,90.6,177.1,125,,,,,,30.8,271.5,33.5,158.4,14.7,,,,,,,,,,,,,436.4,19.5,44.6,5.6,24.89,5.69,1.8,6.1,,6,1.2,3.3,,3.1,0.4674,3.879,,,,,,,,,,2.9,,2.9,,0.512154,,,,,,,,,,,,,,,,,0.282408,,,,,,,198349,
[7522],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE,,80,83,-24,-28,SUBAERIAL,,,s 273251 [7522],DOLERITE [7522],,,MESO [7522],PROTEROZOIC [7522],,,,PORPHYRITIC [7522] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [7522] ,231941.247,14264.291999999998,,58535.1606,,,,142168.16999999998,60892.439999999995,22131.568,2245.9282,,4565.825000000001,18620.610699999997,1003.7683000000001,,,,,,,,,,,,,,,,6700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,,467.1,5.9,,,,11.8,226.9,166.6,,,,,,12.4,169.8,51.1,157,7.9,,,,,,,,,,,,,214,14.7,34.7,4.5,21.81,6.09,2.1,7.6,,8.5,1.8,4.9,,4.7,0.7124,4.444,,,,,,,,,,3.9,,1.9,,0.512411,,,,,,,,,,,,,,,,,0.282573,,,,,,,198350,
[7522],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE,,80,83,-24,-28,SUBAERIAL,,,s 273493 [7522],DOLERITE [7522],,,MESO [7522],PROTEROZOIC [7522],,,,PORPHYRITIC [7522] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [7522] ,283218.86650000006,3416.2379999999994,,68538.0045,,,,49902.659999999996,37664.689999999995,27558.928,851.9038,,21749.93,26781.037699999997,392.77889999999996,,,,,,,,,,,,,,,,21400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9,,86.5,62.4,,,,62.4,32.4,13.7,,,,,,67.2,148.8,17.8,103.3,6.8,,,,,,,,,,,,,152,,,,14.78,3.06,,,,,,,,,0.2922,2.825,,,,,,,,,,4,,3.6,,0.511724,,,,,,,,,,,,,,,,,0.282069,,,,,,,198351,
[7522],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE,,80,83,-24,-28,SUBAERIAL,,,s 335774 [7522],DOLERITE [7522],,,MESO [7522],PROTEROZOIC [7522],,,,PORPHYRITIC [7522] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [7522] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4691,3.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282458,,,,,,,198352,
[9397],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO SILL,"190-M THICK HORIZONTAL SHEET, KAP EJNAR MIKKELSEN 1",81.9217,81.9217,-31.86,-31.86,SUBAERIAL,,,s 273241 [9397],DOLERITE [9397],1380000000 [9397],1380000000 [9397],MESO [9397],PROTEROZOIC [9397],,,,,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [9397] ,231707.52950000003,7012.277999999999,,74889.0165,,27906.06,68480.13,,71898.82,49268.367999999995,1858.6992,,3154.57,14243.6544,436.42100000000005,,,,,,,,,,,,,,,,14600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,349,102,,,,161,177,92,18.1,,,,,8,151,24,79,3.8,,,,,,,,,,,,0.31,132,6.79,15.6,2.34,10.2,2.83,1.05,3.68,0.64,4.03,0.88,2.41,0.38,2.38,0.37,2.08,,,,,,,,,,1.44,,0.68,0.18,0.512391,,,0.705962,,17.695,,15.436,,37.647,,,,,,,,,,,,,,,256741,
[9397],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO SILL,"190-M THICK HORIZONTAL SHEET, KAP EJNAR MIKKELSEN 1",81.9217,81.9217,-31.86,-31.86,SUBAERIAL,,,s 273247 [9397],DOLERITE [9397],1380000000 [9397],1380000000 [9397],MESO [9397],PROTEROZOIC [9397],,,,,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [9397] ,239233.233,7192.079999999999,,75577.0428,,21821.280000000002,74076.68999999999,,74328.8,36725.136,1858.6992,,2241.405,17062.711,480.0631,,,,,,,,,,,,,,,,14300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,349,24,,,,58,182,92,19.3,,,,,4.9,177,26,86,3.82,,,,,,,,,,,,0.07,116,7.29,16.6,2.45,11.1,3.13,1.13,3.96,0.68,4.34,0.94,2.55,0.42,2.48,0.41,2.26,,,,,,,,,,1.43,,0.73,0.17,0.512377,,,0.7051,,17.717,,15.412,,37.901,,,,,,,,,,,,,,,256742,
[9397],CONTINENTAL FLOOD BASALT,NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO SILL,"SUBHORIZONTAL 180-M THICK SHEET, INDEPENDENCE FJORD",81.915,81.915,-32.0883,-32.0883,SUBAERIAL,,,s 273228 [9397],DOLERITE [9397],1380000000 [9397],1380000000 [9397],MESO [9397],PROTEROZOIC [9397],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9397] ,248862.39400000003,6353.004,,75047.7918,,22101.04,56509.71,,61106.850000000006,32322.944,1548.9160000000002,,14527.625,16617.5968,698.2736,,,,,,,,,,,,,,,,23500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,273,26,,,,43,104,82,17.1,,,,,42,222,31,157,13.2,,,,,,,,,,,,0.21,333,23.6,48.6,6.39,23.3,4.82,1.31,5.77,0.88,5.25,1.11,3.2,0.5,3.19,0.48,3.85,,,,,,,,,,7.4,,3.66,0.99,0.511811,,,0.714996,,17.958,,15.474,,37.858,,,,,,,,,,,,,,,256743,
