Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5218],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,,23,26,88,92,SUBAERIAL,,,s B-1038 [5218],"THOLEIITE, QUARTZ [5218]",117000000 [5218],117000000 [5218],,,,,,FINE-GRAINED [5218] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5218] ,239794.155,11926.866,,77270.64600000001,,,,101049,65752.4,37388.479999999996,2245.9282,,1245.225,21662.2244,1265.6209,,,,,,,,,,,,,,,,19000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,75,,,,55,,110,,,,,,2.2,260,36,120,8.1,,,,,,,,,,,,1.13,365,10.5,23.1,3.2,15,4.9,1.7,5.6,1,6.5,1.3,3.8,0.5,3.1,0.47,2.7,0.4,,,,,,,,,3.7,,0.86,0.12,,,-1.8,,0.70606,,,,,,,,,,,,,,,,,,,,126853,
[8804][4708],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL,"MEGHATARI QUARRY, 4 KM NW OF KODERMA, CHOTANAGPUR PLATEAU, DIKES",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 1-13-1 [8804],THOLEIITE [8804] / BASALT [4708],,,LOWER [8804],CRETACEOUS [8804],,,,FINE- TO MEDIUM-GRAINED [8804] / CLINOPYROXENE-PLAGIOCLASE-PHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8804] ,252134.439,10608.318,,76635.5448,,,,75320.37,68182.37999999999,38051.82399999999,1239.1328,,7388.335,21736.4101,1003.7683000000001,,,,,,,,,,,,,,,,3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,230.9,172.5,,,,31.7,,84.6,21.3,,,,,17.3,372.9,27.1,136.3,6.1,,,,,,,,,,,,,216.5,11.5,25.8,,17.559,4.629,1.71,5.1,0.82,,,,,2.43,0.36,3.57,0.42,,,,,,,,,,,1.5,,0.512599,,,0.70862,,18.01,,15.57,,38.2,,,,,,,,,,,,,,,19518-1-13-1,
[8804][4708][7096],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,"NORTHWEST FLANK OF SAHARPUR HILL (BEJAM PAHAR), 2.6 KM NORTH OF LALMATIA, RAJMAHAL HILLS",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 2-26-7 [8804] / s 1-26-7 [4708],THOLEIITE [8804] / BASALT [4708],118000000 [7096],118000000 [7096],LOWER [8804],CRETACEOUS [8804],,,,FINE- TO MEDIUM-GRAINED [8804] / PLAGIOCLASE-PHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8804] ,239279.97650000002,12526.205999999998,,74889.0165,,,,89156.31000000001,77902.3,36664.831999999995,1548.9160000000002,,1826.33,21439.6673,1003.7683000000001,,,,,,,,,,,,,,,,3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,290.4,182.6,,,,69.8,,89.5,22.6,,,,,5.6,237.4,34.6,113.5,4.3,,,,,,,,,,,,,72.5,7,18.1,,14.312,4.316,1.61,5.4,0.9,,,,,2.91,0.45,3.03,0.37,,0.0001258,4.876e-6,,,,,,,,0,,0.512727,,,0.70414,,17.93,,15.56,,38.12,,,,,0.4184,,128.4,0.282995,,,,,,,19527-1-26-7,
[4708][7096],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,"3 KM SOUTH OF MIRZA CHAUKI RAILWAY STATION, 15 KM WEST OF SAHIBGANJ, SANTHAL PARGANAS, RAJMAHAL HILLS",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 2-7-1 [4708],BASALT [4708],118000000 [7096],118000000 [7096],LOWER [7096],CRETACEOUS [7096],,,,APHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4708] ,254004.17900000003,10428.516,,75735.8181,,,,77108.16,67038.86,35398.448,1239.1328,,6973.259999999999,20623.6246,1003.7683000000001,,,,,,,,,,,,,,,,2400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,226,138,,,,32,,91,23,,,,,29,358,34,171,8,,,,,,,,,,,,,339,16.8,37.7,,22.535,5.557,1.84,5.7,1.02,,,,,2.99,0.44,4.33,0.54,,,,,,,,,,,4,,0.512316,,,0.70831,,17.99,,15.65,,39.07,,,,,,,,0.282636,,,,,,,19537-2-7-1,
[4708][7096],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,"3 KM SOUTH OF MIRZA CHAUKI RAILWAY STATION, 15 KM WEST OF SAHIBGANJ, SANTHAL PARGANAS, RAJMAHAL HILLS",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 2-7-2 [4708],BASALT [4708],118000000 [7096],118000000 [7096],LOWER [7096],CRETACEOUS [7096],,,,APHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4708] ,250451.673,10128.846,,78170.3727,,,,73843.5,67038.86,35639.664,1239.1328,,6475.17,20920.3674,741.9157,,,,,,,,,,,,,,,,2500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,247,146,,,,34,,93,23,,,,,30,339,36,170,8.8,,,,,,,,,,,,,296,16.6,38.1,,21.642,5.309,1.83,5.7,1.02,,,,,3.06,0.46,4.31,0.53,,0.0000767,,,,,,,,,5,,0.512365,,,0.70773,,17.97,,15.63,,38.98,,,,,,,,0.282637,,,,,,,19537-2-7-2,
[4708][7096],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,"3 KM SOUTH OF MIRZA CHAUKI RAILWAY STATION, 15 KM WEST OF SAHIBGANJ, SANTHAL PARGANAS, RAJMAHAL HILLS",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 2-7-3 [4708],BASALT [4708],118000000 [7096],118000000 [7096],LOWER [7096],CRETACEOUS [7096],,,,CLINOPYROXENE-PHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4708] ,248254.72850000003,8390.759999999998,,80446.152,,,,69801.54000000001,70040.6,43237.96799999999,1316.5786,,4150.75,19288.282,785.5577999999999,,,,,,,,,,,,,,,,1600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,199,274,,,,39,,79,23,,,,,14,337,26,118,6,,,,,,,,,,,,,198,12,26.1,,15.895,4.05,1.5,4.1,0.79,,,,,2.31,0.34,3.07,0.37,,0.0000643,3.64e-7,,,,,,,,2,,0.512396,,,0.70658,,,,,,,,,,,2.2857,,1086,0.2827,,,,,,,19537-2-7-3,
[8804][4708][7096],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,"3 KM SOUTH OF MIRZA CHAUKI RAILWAY STATION, 15 KM WEST OF SAHIBGANJ, SANTHAL PARGANAS, RAJMAHAL HILLS",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 2-7-4 [8804],THOLEIITE [8804] / BASALT [4708],118000000 [7096],118000000 [7096],LOWER [8804],CRETACEOUS [8804],,,,FINE- TO MEDIUM-GRAINED [8804] / APHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8804] ,243814.096,8091.09,,83674.5831,,,,66070.5,73185.28,48906.543999999994,1084.2412000000002,,4316.78,17804.568,785.5577999999999,,,,,,,,,,,,,,,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,187.3,316.4,,,,55.8,,75,19.6,,,,,5.7,390.6,22.7,110,5.8,,,,,,,,,,,,,190.3,10.8,23.4,,14.736,3.706,1.41,4.1,0.73,,,,,2.01,0.3,2.86,0.38,,0.0000763,4.37e-7,,,,,,,,2,,0.512527,,,0.70505,,18.03,,15.59,,38.55,,,,,1.7205,,1011,0.28277,,,,,,,19537-2-7-4,
[4708][7096],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,"3 KM SOUTH OF MIRZA CHAUKI RAILWAY STATION, 15 KM WEST OF SAHIBGANJ, SANTHAL PARGANAS, RAJMAHAL HILLS",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 2-7-4A [4708],BASALT [4708],118000000 [7096],118000000 [7096],LOWER [7096],CRETACEOUS [7096],,,,APHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4708] ,253303.0265,10488.449999999999,,74889.0165,,,,74853.99,65537.99,34855.712,1239.1328,,7554.365000000001,20697.8103,1003.7683000000001,,,,,,,,,,,,,,,,3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,232,147,,,,32,,94,22,,,,,33,328,35,173,8.7,,,,,,,,,,,,,297,18.2,39.8,,22.443,5.46,1.85,5.9,1.06,,,,,3.14,0.45,4.35,0.55,,,,,,,,,,,2,,0.512311,,,0.70793,,17.98,,15.64,,39.03,,,,,,,,0.282634,,,,,,,19537-2-7-4A,
[4708][7096],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,"3 KM SOUTH OF MIRZA CHAUKI RAILWAY STATION, 15 KM WEST OF SAHIBGANJ, SANTHAL PARGANAS, RAJMAHAL HILLS",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 2-7-5 [4708],BASALT [4708],118000000 [7096],118000000 [7096],LOWER [7096],CRETACEOUS [7096],,,,APHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4708] ,253303.0265,9349.704,,78593.7735,,,,69179.7,69611.78,40463.984,1161.687,,5395.975,19881.7676,916.4841,,,,,,,,,,,,,,,,2800.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,222,251,,,,33,,85,22,,,,,21,359,29,135,6.2,,,,,,,,,,,,,212,12.7,22.3,,17.281,4.454,1.6,5,0.87,,,,,2.42,0.36,3.42,0.41,,0.0000437,4.45e-7,,,,,,,,1,,0.512484,,,0.70541,,17.99,,15.58,,38.63,,,,,1.5186,,828.6,0.282743,,,,,,,19537-2-7-5,
[8804][4708][7096],CONTINENTAL FLOOD BASALT,RAJMAHAL-BENGAL-SYLHET / RAJMAHAL / RAJMAHAL VOLCANIC FORMATION,"3 KM SOUTH OF MIRZA CHAUKI RAILWAY STATION, 15 KM WEST OF SAHIBGANJ, SANTHAL PARGANAS, RAJMAHAL HILLS",24.25,24.25,87.33,87.75,SUBAERIAL,,,s 2-7-7A [8804],THOLEIITE [8804] / BASALT [4708],118000000 [7096],118000000 [7096],LOWER [8804],CRETACEOUS [8804],,,,FINE- TO MEDIUM-GRAINED [8804] / APHYRIC [4708] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8804] ,244468.505,7851.354,,85632.8118,,,,65681.84999999999,72970.87000000001,49027.152,1006.7954,,4399.795,19214.096299999997,567.3473,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,185.8,328,,,,56.3,,75.2,21,,,,,7.8,387.3,22.5,107.8,5.4,,,,,,,,,,,,,193.2,10.1,23.6,,14.952,3.774,1.42,3.9,0.71,,,,,1.98,0.3,2.82,0.37,,0.0000736,5.03e-7,,,,,,,,1.6,,0.512518,,,0.70509,,18.02,,15.59,,38.51,,,,,1.1832,,535.4,0.282764,,,,,,,19537-2-7-7A,
