Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-44 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,215954.97000000003,16721.586,,86744.23890000001,,90012.78,,,89766.32,34916.015999999996,1316.5786,,4897.884999999999,15949.9255,2531.2418,,,,,,,,,,,,,,,,18100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,46,,,,,,,,15.5,1198,23.4,191,44.1,,,,,,,,,,,,,,34.1,66.9,8.69,30.62,6.427,2.58,6.73,,5.27,,,,1.82,0.24,5.66,2.66,,,,,,,,,2.854,,3.52,0.93,0.512774,,,0.70449,,18.729,,15.559,,38.982,,,,,,,,,,,,,,,198920,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-60 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,214178.717,13245.413999999999,,74730.2412,,83997.94,,,90981.31,60304.,1239.1328,,7056.275,14688.7686,1832.9682,,,,,,,,,,,,,,,,15600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,192,,,,,,,,18.6,654.1,19.3,151,33,,,,,,,,,,,,,,25.7,50.8,6.51,20.39,4.5,1.99,5.3,,4.16,,,,1.44,0.19,4.3,1.92,,,,,,,,,1.247,,2.01,0.855,0.512798,,,0.70433,,19.257,,15.58,,39.438,,,,,,,,,,,,,,,198921,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-69 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,225397.157,15103.367999999999,,91507.4979,,80291.12000000001,,,74686.15,29066.528,1239.1328,,13365.415,22404.0814,2094.8208,,,,,,,,,,,,,,,,24900.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,40,,,,,,,,32.4,685.3,24.6,230,47,,,,,,,,,,,,,,37.9,73.8,9.38,28.53,5.943,2.49,6.73,,5.44,,,,1.85,0.25,6.89,2.77,,,,,,,,,3.37,,3.78,1.02,0.512785,,,0.70427,,,,,,,,,,,,,,,,,,,,,198922,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-121 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,220442.346,13784.819999999998,,76476.7695,,83158.66,,,84763.42,41549.456,1394.0244,,22165.005,14392.0258,1309.263,,,,,,,,,,,,,,,,43099.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,92,,,,,,,,69.7,831.1,22,175,37.5,,,,,,,,,,,,,,26.5,52.1,6.63,19.54,4.543,2.12,5.75,,4.86,,,,1.65,0.24,5.09,2.2,,,,,,,,,1.626,,2.32,0.662,0.51283,,,0.70451,,19.114,,15.57,,39.375,,,,,,,,,,,,,,,198923,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-29 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,218338.88850000003,11926.866,,69861.132,,84697.34,,,84834.89,69711.424,1239.1328,,4482.81,14985.5114,1091.0525,,,,,,,,,,,,,,,,13100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,,,,299,,,,,,,,5.1,467.4,19.4,143,27.9,,,,,,,,,,,,,,21.7,43.5,5.5,19.85,4.577,1.69,5.12,,4.34,,,,1.53,0.2,4.2,1.65,,,,,,,,,2.395,,1.95,0.569,0.512795,,,0.70419,,18.576,,15.547,,38.809,,,,,,,,,,,,,,,198927,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-77 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,220535.833,13365.282,,84891.8604,,86585.72,,,84691.95,40644.896,1316.5786,,10210.845,16543.411099999998,1396.5472,,,,,,,,,,,,,,,,25800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,68,,,,,,,,29.2,1066,22.6,180,34.6,,,,,,,,,,,,,,27.2,53,6.73,27.16,5.91,2.04,5.69,,4.66,,,,1.71,0.23,5.63,2.03,,,,,,,,,3.172,,3.22,0.866,0.512819,,,0.7046,,19.041,,15.566,,39.347,,,,,,,,,,,,,,,198928,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-84 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,216282.17450000002,14144.423999999999,,91930.8987,,77003.94,,,68325.32,31237.471999999998,3407.6152,,10874.965,38428.192599999995,3796.8627,,,,,,,,,,,,,,,,51500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,37,,,,,,,,7.5,1343,31.8,424,174,,,,,,,,,,,,,,101,179,22.5,57.12,9.699,4.55,10.2,,7.34,,,,2.45,0.33,10.7,9.94,,,,,,,,,6.484,,8.48,1.74,0.512752,,,0.7042,,18.901,,15.57,,39.283,,,,,,,,,,,,,,,198929,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-110 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,217263.788,15462.972,,79916.901,,90712.18000000001,,,86907.52,40283.07199999999,1394.0244,,22995.155,11424.5978,1658.3998000000001,,,,,,,,,,,,,,,,40500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,1101,,,,,,,,,,,,,,,,,,,,28.71,6.179,,,,,,,,,,,,,,,,,,,,2.26,,3.15,0.858,0.512822,,,0.70453,,18.517,,15.541,,38.786,,,,,,,,,,,,,,,198930,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-131 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,229650.81550000003,11207.658,,82139.7552,,78122.98,,,82762.26,45831.03999999999,1239.1328,,7056.275,17359.4538,1178.3367,,,,,,,,,,,,,,,,17300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,114,,,,,,,,16.5,367.2,23.3,164,25,,,,,,,,,,,,,,21.2,43.3,5.55,16.65,3.884,1.76,5.31,,4.67,,,,1.97,0.29,4.98,1.46,,,,,,,,,2.344,,1.35,0.372,0.512813,,,0.70398,,18.979,,15.568,,39.309,,,,,,,,,,,,,,,198931,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",27.0922,27.0922,66.3893,66.3893,SUBAERIAL,,,s P-96-532 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,191.7,,,,,,,,,,,,,,,,,,,,19.38,3.631,,,,,,,,,,,,,,,,,,,,2.232,,2.34,0.65,0.512773,,,0.704,,18.726,,15.552,,38.964,,,,,,,,,,,,,,,198932,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.7303,30.7303,68.8423,68.8423,SUBAERIAL,,,s P-96-714 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,549.2,,,,,,,,,,,,,,,,,,,,67.43,12.33,,,,,,,,,,,,,,,,,,,,10.06,,7.97,2.35,0.51284,,,0.70539,,18.973,,15.574,,39.256,,,,,,,,,,,,,,,198933,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4432,30.4432,67.429,67.429,SUBAERIAL,,,s P-96-716 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1064,,,,,,,,,,,,,,,,,,,,53.34,9.678,,,,,,,,,,,,,,,,,,,,,,,,0.512782,,,0.70409,,,,,,,,,,,,,,,,,,,,,198934,
[7845],CONTINENTAL FLOOD BASALT,SOUTH TETHYAN SUTURE ZONE - PAKISTAN / QUETTA-ZHOB AREA / BIBAI VOLCANICS-PARH FORMATION,"PARH FORMATION, PAKISTAN",30.4167,31,67.1667,68.3333,SUBAERIAL,,,s P-97-103 [7845],BASALT [7845],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7845] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,278.5,,,,,,,,,,,,,,,,,,,,30.38,8.211,,,,,,,,,,,,,,,,,,,,2.583,,1.84,0.409,0.512759,,,0.7073,,17.896,,15.528,,38.473,,,,,,,,,,,,,,,198935,
