Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S1 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,208289.03600000002,22475.25,,66315.1503,,61966.84,80528.28,,53959.85,25327.68,2168.4824000000003,,7305.32,22033.1529,7637.3675,,,,,,,,,,,,,,,,25600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6,25.4,,,47.91,21.48,,,,,,,,11.02,367.01,60.7,417.22,41.67,,,,,,,,,,,,0.81,692.39,43.39,87.37,11.15,51.96,12.03,3.82,13.56,1.92,9.91,2.25,5.73,0.85,4.43,0.71,8.58,2.16,,,,,,,,,,,5.75,1.63,0.512327,,,0.708475,,17.8728,,15.4525,,38.3095,,,,,,,,,,,,,,,394483,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S2 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,212589.438,25951.422,,67691.2029,,54133.560000000005,77341.34999999999,,50029,19417.888,1548.9160000000002,,8218.485,20771.996,6677.241300000001,,,,,,,,,,,,,,,,26700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.9,35.28,,,46.95,23.21,,,,,,,,12.88,286.56,58.75,437.25,47.4,,,,,,,,,,,,0.82,670.79,39.03,77.19,9.52,48.83,10.39,3.63,12.12,1.82,9.68,2.16,5.54,0.82,4.46,0.63,9.11,1.97,,,,,,,,,,,4.64,1.45,,,,,,,,,,,,,,,,,,,,,,,,,394484,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S3 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,200062.18,31465.35,,67638.2778,,73506.94,64593.630000000005,,44525.810000000005,27257.407999999996,1084.2412000000002,,28723.19,20178.5104,6459.0307999999995,,,,,,,,,,,,,,,,11900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.1,50.28,,,59.09,38.74,,,,,,,,22.64,198.99,53.06,422.2,48.52,,,,,,,,,,,,0.14,565.34,36.36,82.92,10.97,46.94,9.89,3.27,10.93,1.68,9.11,1.81,4.86,0.73,4.05,0.65,9.17,2.24,,,,,,,,,,,4.16,1.34,,,,,,,,,,,,,,,,,,,,,,,,,394485,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S4 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,225397.157,25651.752,,63298.41960000001,,125052.71999999999,6840.24,,31804.15,20503.359999999997,1471.4702,,14859.685,20475.2532,5367.9783,,,,,,,,,,,,,,,,27799.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.9,40.81,,,47.91,39.89,,,,,,,,33.88,115.82,53.25,382.39,44.96,,,,,,,,,,,,0.23,1728.7,29.45,66.1,8.25,36.98,7.54,3.61,9.71,1.43,8.11,1.94,5.15,0.74,3.55,0.48,6.91,1.51,,,,,,,,,,,3.36,1.27,,,,,,,,,,,,,,,,,,,,,,,,,394486,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S5 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,218759.58000000002,24692.808,,67214.877,,56371.64000000001,70190.18999999999,,46241.09,22794.911999999997,1936.145,,10459.89,21217.1102,6066.251899999999,,,,,,,,,,,,,,,,22000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.7,44.75,,,54.08,58.88,,,,,,,,11.17,224.82,50.81,354.84,38.98,,,,,,,,,,,,0.37,583.29,32.86,76.97,8.63,40.11,10.02,3.23,11.56,1.67,9.78,2.25,5.98,0.83,4.09,0.51,8.35,1.83,,,,,,,,,,,4.45,1.28,0.512322,,,0.708288,,17.9411,,15.527,,38.4927,,,,,,,,,,,,,,,394487,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S6 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,202492.842,28408.716,,69278.9559,,59798.700000000004,81461.04000000001,,48742.54,26413.152,1006.7954,,4980.9,16543.411099999998,7550.0833,,,,,,,,,,,,,,,,27200.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.8,48.7,,,59.09,49.67,,,,,,,,24.22,164.58,55.37,439.54,44.09,,,,,,,,,,,,0.17,516.46,34.84,72.84,10.55,43.65,11.16,3.55,12.56,1.8,9.92,2.28,6.12,0.85,4.26,0.59,8.84,1.9,,,,,,,,,,,4.04,1.45,,,,,,,,,,,,,,,,,,,,,,,,,394488,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S7 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,207354.16600000003,23254.391999999996,,68802.63,,52385.060000000005,77730,,53245.15,27860.448,1626.3618,,13863.505,22404.0814,5935.3256,,,,,,,,,,,,,,,,16700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.9,66.87,,,47.53,63.48,,,,,,,,18.06,192.92,47.68,329.98,40.09,,,,,,,,,,,,0.26,495.84,30.49,57.38,8.26,36.35,8.33,2.6,9.08,1.34,7.3,1.57,4.57,0.64,3.41,0.53,7.56,1.65,,,,,,,,,,,3.61,1.08,0.512356,,,0.707483,,17.9715,,15.4643,,38.304,,,,,,,,,,,,,,,394489,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S8 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,215113.58700000003,13664.951999999997,,82245.6054,,77283.70000000001,35289.42,,53316.62,25810.112,929.3496,,11040.995,23368.495499999997,2967.6628,,,,,,,,,,,,,,,,34800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,75.56,,,55.04,56.58,,,,,,,,15.82,232.27,38.21,278.23,34.1,,,,,,,,,,,,0.16,453.87,28.08,49.61,7.21,31.15,7.84,2.57,8.19,1.18,6.58,1.48,4.19,0.61,3.17,0.46,7.15,1.43,,,,,,,,,,,3.67,0.87,,,,,,,,,,,,,,,,,,,,,,,,,394490,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s S9 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,211187.133,18699.408,,82404.38070000001,,79591.72,13447.289999999999,,50743.7,25930.719999999998,1084.2412000000002,,12369.235,23591.0526,5062.4836,,,,,,,,,,,,,,,,58600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.4,49.1,,,31.54,19.75,,,,,,,,13.79,250.59,28.88,191.21,21.81,,,,,,,,,,,,0.71,431.58,17.71,37.8,4.53,20.11,4.89,2.02,5.952,0.89,4.56,1.08,2.86,0.4,2.19,0.31,4.46,0.9,,,,,,,,,,,3.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,394491,
[12036],CONTINENTAL FLOOD BASALT,TARIM BASIN / XINJIANG PROVINCE,"KALPIN, WESTERN MARGIN OF TARIM PLATE",40.44,40.44,79.04,79.04,SUBAERIAL,,,s Y1 [12036],BASALT [12036],,,LOWER [12036],PERMIAN [12036],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12036] ,226145.05300000004,19178.88,,75841.6683,,58260.020000000004,44539.29,,40309.079999999994,20865.183999999997,1858.6992,,16935.06,25816.6236,7375.5149,,,,,,,,,,,,,,,,30299.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.5,36.07,,,45.6,22.05,,,,,,,,27.6,225.45,70.77,469.56,49.29,,,,,,,,,,,,0.17,1999.5,39.1,78.42,11.11,55.92,12.2,3.92,12.9,1.76,10.06,2.06,5.59,0.78,4.59,0.69,8.43,1.97,,,,,,,,,,,4.38,1.67,0.512356,,,0.709284,,17.9006,,15.4557,,38.2154,,,,,,,,,,,,,,,394492,
