Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5435][12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,N110°,-21.1,-21.1,27.33,27.33,SUBAERIAL,,,s BOT17 [5435],GABBRO [5435] / DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [5435],,,,"MEDIUM-GRAINED [5435] / FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [5435] ,244889.19650000002,2996.7,,76953.0954,,,,69568.34999999999,79260.23,49449.27999999999,1239.1328,,5229.945,14688.7686,261.8526,,,,,,,,,,,,,,,,9300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,208,222,,,47,128,,,,,,,,36,129,15.2,68,2.92,,,,,,,,,,,,,163,17.78,37.22,5.1,20.21,5.23,1.57,5.82,0.89,5.59,1.28,3.53,,3.58,0.53,1.72,0,,,,,,,,,9.59,,3.06,0.77,,,,,,,,,,,,,,,,,,,,,,,,,24069-BOT17,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT01 [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,243346.66100000002,12526.205999999998,,65415.4236,,,,114418.56000000001,56032.479999999996,23578.863999999998,1626.3618,,11539.085,19807.581899999997,1003.7683000000001,,,1800.,,,,,,,,,,,,,5100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,406,7,,,49,52,,,,,,,,54,142,47.2,182,10.24,,,,,,,,,,,,,351,24.11,52.5,7.14,28.16,7.1,1.85,7.46,1.18,7.59,1.69,4.8,,4.85,0.73,5.27,0.79,,,,,,,,,10.59,,6.48,1.3,,,,,,,,,,,,,,,,,,,,,,,,,398715,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT011 [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,231333.58150000003,10188.779999999999,,87643.9656,,,,90166.8,68182.37999999999,27076.496,1394.0244,,7637.38,23220.124099999997,741.9157,,,,,,,,,,,,,,,,8900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,336,87,,,37,48,,,,,,,,27,188,32.1,139,8.12,,,,,,,,,,,,,261,16.32,33.61,4.7,18.69,4.71,1.48,5.27,0.85,5.14,1.22,3.28,,3.35,0.5,3.76,0.59,,,,,,,,,6.79,,3.5,0.71,,,,,,,,,,,,,,,,,,,,,,,,,398716,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT15A [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,228715.94550000003,11087.789999999999,,76370.91930000001,,,,105557.34,65966.81,34614.496,1626.3618,,7222.305,19436.6534,872.8420000000001,,,1800.,,,,,,,,,,,,,6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,328,100,,,38,55,,,,,,,,29,161,35.7,147,8.61,,,,,,,,,,,,,215,15.09,32.45,4.48,18.02,4.51,1.36,5,0.8,4.81,1.13,3.19,,3.16,0.47,4.05,0.61,,,,,,,,,7.04,,3.67,0.64,,,,,,,,,,,,,,,,,,,,,,,,,398717,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT0083 [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,249189.59850000002,4914.588,,77217.7209,,,,77730,74471.74,38112.128,1316.5786,,8633.56,13798.5402,392.77889999999996,,,1300.,,,,,,,,,,,,,5100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,239,109,,,50,97,,,,,,,,47,118,24.2,95,3.4,,,,,,,,,,,,,219,10.09,21.06,2.69,9.98,2.31,0.59,2.44,0.4,2.36,0.54,1.59,,1.64,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398719,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT0084 [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,253910.692,5813.597999999999,,74783.16630000001,,,,82238.34,62750.659999999996,28644.399999999998,1316.5786,,13697.474999999999,15282.2542,523.7052,,,1700.0000000000002,,,,,,,,,,,,,11399.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,247,50,,,45,76,,,,,,,,77,131,30.1,122,6.1,,,,,,,,,,,,,351,,,,,,,,,,,,,,,3.61,0,,,,,,,,,7.36,,6.38,1.24,,,,,,,,,,,,,,,,,,,,,,,,,398720,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT0085 [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,252181.18250000002,5633.795999999999,,76053.36869999999,,,,80683.74,66895.92,31358.079999999998,1316.5786,,11539.085,15282.2542,480.0631,,,900.,,,,,,,,,,,,,11700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,249,69,,,45,83,,,,,,,,64,132,26.8,113,5.33,,,,,,,,,,,,,320,19.51,42.92,5.16,19.77,4.68,1.11,4.88,0.77,4.57,1.03,2.94,,3.04,0.47,3.19,0,,,,,,,,,9.37,,5.62,1.08,,,,,,,,,,,,,,,,,,,,,,,,,398721,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT0093 [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,249703.77700000003,5633.795999999999,,71395.9599,,,,79906.43999999999,61321.26,37328.176,1394.0244,,15523.805,16988.5253,392.77889999999996,,,9000.,,,,,,,,,,,,,8800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,227,185,,,47,69,,,,,,,,99,197,20.9,99,4.3,,,,,,,,,,,,,473,17.34,36.83,4.6,17.03,4.07,1.09,4.35,0.68,4.21,0.98,2.8,,2.97,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398722,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT0094 [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,251012.59500000003,5753.664,,72772.0125,,,,85269.81000000001,63965.649999999994,29790.176,1471.4702,,12286.22,15949.9255,480.0631,,,1800.,,,,,,,,,,,,,13500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,255,32,,,47,70,,,,,,,,67,135,28.2,114,5.65,,,,,,,,,,,,,309,17.22,39.2,4.66,18.11,4.36,1.08,4.65,0.73,4.4,1.03,2.77,,2.72,0.45,3.33,0,,,,,,,,,10.12,,6.19,1.09,,,,,,,,,,,,,,,,,,,,,,,,,398723,
[12960],CONTINENTAL FLOOD BASALT,UMKONDO PROVINCE / OKAVANGO DIKE SWARM,,-21,-21.5,27.35,27.5,SUBAERIAL,,,s BOT0095 [12960],DOLERITE [12960],1100000000 [12960],1100000000 [12960],MESO [12960],PROTEROZOIC [12960],,,,"FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [12960] ,250778.8775,5573.862,,73301.2635,,,,83637.48,63751.24,31056.56,1394.0244,,14029.535,15578.997,480.0631,,,2100.,,,,,,,,,,,,,14200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,252,28,,,47,78,,,,,,,,87,134,27.5,122,5.42,,,,,,,,,,,,,343,17.33,38.88,4.6,18.03,4.05,1.08,4.51,0.69,4.33,1.03,2.78,,3.01,0.44,3.3,0,,,,,,,,,79.46,,5.91,1.09,,,,,,,,,,,,,,,,,,,,,,,,,398724,
