Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 7/6 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,223620.90400000004,21216.636,,69384.8061,,28045.94,89700.42,,68611.2,35760.272,1471.4702,,7637.38,12537.3833,1483.8314,,9900.,,,2700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.84,,350.66,226.05,,,52.43,140.04,,,,,,,,29.41,335.69,43.85,290.69,36.33,,,,,,,,,,,,0.46,277.52,29.73,60.86,8.81,38.72,8.79,2.35,8.73,1.6,7.5,1.49,3.74,0.65,3.72,0.46,7.06,1.92,0.94,,,,,,,0.1,2.94,,2.72,0.94,0.512289,,,0.704698,,,,,,,,,,,,,,,,,,,,,533819,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 11/2 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,223667.64750000002,20437.494,,69437.7312,,65323.96,51068.61,,65252.11000000001,29368.048,1316.5786,,10044.815,14985.5114,1832.9682,,11500.,,,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.26,,330.55,186.25,,,48.81,64.99,,,,,,,,30.19,358.14,46.33,294.15,42.83,,,,,,,,,,,,0.44,341.34,37.7,78.68,10.53,43.03,9.5,2.66,10.28,1.73,9.23,1.61,4.49,0.71,4.12,0.58,7.1,2.3,0.68,,,,,,,0.1,3.15,,2.48,1.06,,,,,,,,,,,,,,,,,,,,,,,,,533820,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 11/13 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,227734.33200000002,13485.15,,78434.9982,,23220.079999999998,79206.87,,73828.51,32745.071999999996,1394.0244,,10210.845,14169.4687,1047.4104,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.56,,293.14,250.34,,,45.99,78.46,,,,,,,,27.26,361.08,33.17,192.92,23.31,,,,,,,,,,,,0.47,362.18,21.03,44.22,6.46,28,6.29,1.8,6.45,1.17,6.13,1.17,3.18,0.52,2.9,0.41,4.71,1.31,0.71,,,,,,,0.11,1.65,,1.92,0.62,,,,,,,,,,,,,,,,,,,,,,,,,533821,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s M-15/3 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,226004.82250000004,23913.666,,69437.7312,,41194.659999999996,75864.48,,65323.58,26714.671999999995,1548.9160000000002,,9795.769999999999,17433.6395,2007.5366000000001,,5699.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.21,,461.2,222.26,,,53.79,69.02,,,,,,,,41.43,408.34,55.47,498.76,64.68,,,,,,,,,,,,0.43,331.49,40.81,95.91,12.59,52.94,11.94,3.3,11.63,1.93,10.37,2.15,5.95,0.8,5.17,0.73,8.95,4.95,0.73,,,,,,,0.1,0.53,,3.97,0.5,0.512275,,,0.703653,,,,,,,,,,,,,,,,,,,,,533822,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 15/6 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,226612.488,12526.205999999998,,77958.6723,,33361.38,61406.700000000004,,75257.90999999999,39680.032,1316.5786,,7969.44,15282.2542,1134.6946,,9600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.12,,284.35,269.42,,,49.84,103.1,,,,,,,,24.74,400.96,28.57,225.77,30.1,,,,,,,,,,,,0.38,289.26,23.62,48.9,6.78,28.27,6.05,1.76,6.1,1.07,5.25,1.02,2.55,0.43,2.5,0.34,5.54,1.68,0.96,,,,,,,0.23,1.89,,2.1,0.62,,,,,,,,,,,,,,,,,,,,,,,,,533823,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 16/3 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,229183.38050000003,12945.744,,76265.06910000001,,29234.92,67547.37,,73471.15999999999,38473.952,1471.4702,,7969.44,16172.482600000001,1178.3367,,7000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.51,,287.76,250.7,,,48.47,90.16,,,,,,,,23.75,381.19,29.15,188.46,30.72,,,,,,,,,,,,0.42,268.76,24.41,49.78,7.04,29.25,5.82,1.81,5.83,1.1,5.16,1.03,2.54,0.45,2.5,0.37,4.71,1.65,0.49,,,,,,,0.13,3.57,,2.25,0.84,0.512317,,,0.704405,,,,,,,,,,,,,,,,,,,,,533824,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 16/8 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,216375.66150000002,28049.111999999997,,76265.06910000001,,35669.399999999994,61406.700000000004,,65252.11000000001,37086.96,929.3496,,12452.25,17062.711,2356.6734,,13200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.39,,358.31,121.06,,,49.88,96.67,,,,,,,,37.91,686,33.81,323.81,42.21,,,,,,,,,,,,0.52,345.76,39.5,84.94,12.17,51.88,10.84,3.15,9.26,1.62,7.08,1.2,2.83,0.43,2.42,0.34,7.98,2.44,0.62,,,,,,,0.18,4.82,,3.67,1.18,,,,,,,,,,,,,,,,,,,,,,,,,533825,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 25/1 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,221610.9335,17320.926,,79440.5751,,41544.36,49514.01,,63465.36000000001,32986.28799999999,1161.687,,13116.37,27745.4518,2313.0313,,19600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.15,,304.62,192.6,,,47.74,71.29,,,,,,,,23.54,515.11,30.13,185.98,27.41,,,,,,,,,,,,0.43,713.62,29.75,64.47,9.26,40.81,8.44,2.58,7.24,1.3,5.78,1.12,2.77,0.45,2.64,0.37,5,1.59,1.09,,,,,,,0.11,4.34,,1.82,0.6,,,,,,,,,,,,,,,,,,,,,,,,,533826,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 25/9 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,220676.06350000002,15642.773999999998,,78223.2978,,36368.8,55188.299999999996,,67181.8,39981.551999999996,1239.1328,,11871.144999999999,24184.5382,1789.3261,,16200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.65,,330.08,223.61,,,49.62,81.97,,,,,,,,24.07,574.06,27.62,175.94,24.02,,,,,,,,,,,,0.89,938.13,25.36,54.95,7.89,34.43,7.1,2.26,6.15,1.15,5.35,0.97,2.33,0.39,2.09,0.27,4.52,1.36,0.71,,,,,,,0.14,3.85,,1.64,0.55,0.512305,,,0.70525,,,,,,,,,,,,,,,,,,,,,533827,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 27/2 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,222312.08600000004,15223.235999999999,,80763.7026,,29794.44,63116.759999999995,,68182.37999999999,38956.384,1394.0244,,11373.055,24332.9096,1745.6840000000002,,9500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.56,,338.71,313.97,,,48.43,83.18,,,,,,,,21.82,534.17,27.9,172.66,23.92,,,,,,,,,,,,0.45,622.98,24.56,52.83,7.94,33.87,6.97,2.28,6.41,1.16,5.02,1.02,2.42,0.4,2.21,0.27,4.39,1.45,0.45,,,,,,,0.19,5.12,,1.57,0.66,,,,,,,,,,,,,,,,,,,,,,,,,533828,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MOLODO DIKE SWARM,,68,71,118,123,SUBAERIAL,,,s MD 31/1 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,219928.1675,17740.464,,77376.4962,,35739.340000000004,65526.39,,61893.020000000004,31659.6,1394.0244,,12867.325,23961.981099999997,1789.3261,,21400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.23,,325.49,289.89,,,53.89,115.72,,,,,,,,36.02,424.62,31.46,212.2,24.76,,,,,,,,,,,,0.77,916.23,27.26,56.27,8.29,35.72,7.73,2.25,7.34,1.25,5.71,1.17,2.66,0.48,2.56,0.35,5.38,1.29,1.09,,,,,,,0.2,7.41,,2.08,0.77,,,,,,,,,,,,,,,,,,,,,,,,,533829,
[14816],CONTINENTAL FLOOD BASALT,VILUY TRAPS / MUNA DIKE SWARM,,67,68,119,124,SUBAERIAL,,,s MN 29/1 [14816],DOLERITE [14816],,,,DEVONIAN [14816],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14816] ,224228.5695,17260.992,,78858.399,,25667.98,76097.67,,59963.33,35699.968,1471.4702,,9961.8,20104.324699999997,1440.1893,,16600.,,,4300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.17,,293.1,227.82,,,47.14,71.18,,,,,,,,24.91,485.83,31.37,190.87,30.86,,,,,,,,,,,,0.81,843.29,29.86,63.11,7.52,31.49,7.31,2.13,7.06,1.18,5.62,1.05,2.5,0.43,2.39,0.3,4.78,1.6,0.73,,,,,,,0.04,4.54,,1.98,0.72,0.512306,,,0.704989,,,,,,,,,,,,,,,,,,,,,533830,
