Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / ALASKA / CHILKAT BASALT,"TAKU TERRANE, CHILKAT PENINSULA",58.4,59.2,-135.3,-135.8,SUBAERIAL,,,s 79AH213 [4875],BASALT [4875],,,UPPER [4875],TRIASSIC [4875],,,,"FINE-GRAINED, PORPHYRITIC, AMYGDALOIDAL [4875] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,236989.54500000004,16182.18,,72507.387,,26577.199999999997,79284.59999999999,,65752.4,36785.439999999995,2013.5908,,5894.065,20030.139,1221.9788,10000,,,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,130,,,,100,,,,,,,,18,152,38,168,20,,,,,,,,,,,,,113,13,30,,,5.9,1.7,,1.1,,,,,3.8,0.55,4.2,1.1,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,106573,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / ALASKA / CHILKAT BASALT,"TAKU TERRANE, CHILKAT PENINSULA",58.4,59.2,-135.3,-135.8,SUBAERIAL,,,s 79AH214 [4875],BASALT [4875],,,UPPER [4875],TRIASSIC [4875],,,,"MEDIUM-GRAINED, SUBOPHITIC TO INTERSERTAL [4875] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,232315.19500000004,11387.46,,67214.877,,28675.399999999998,69957,,71470,44021.92,1394.0244,,4150.75,20771.996,829.1999000000001,26000.,,,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,220,,,,150,,,,,,,,16,154,29,111,12,,,,,,,,,,,,,122,8,18,,,3.9,1.2,,0.8,,,,,2.8,0.52,2.6,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,106574,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / ALASKA / CHILKAT BASALT,"TAKU TERRANE, CHILKAT PENINSULA",58.4,59.2,-135.3,-135.8,SUBAERIAL,,,s 79AH215 [4875],BASALT [4875],,,UPPER [4875],TRIASSIC [4875],,,,"MEDIUM-GRAINED, OPHITIC [4875] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,231380.325,12586.14,,74624.391,,27976,74620.8,,73614.1,37991.52,1548.9160000000002,,7803.41,14095.283,872.8420000000001,22000.,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,160,,,,120,,,,,,,,30,144,33,121,12,,,,,,,,,,,,,104,8,19,,,4.4,1.3,,0.9,,,,,3.2,0.56,2.9,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,106575,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / ALASKA / CHILKAT BASALT,"TAKU TERRANE, CHILKAT PENINSULA",58.4,59.2,-135.3,-135.8,SUBAERIAL,,,s 79AH216 [4875],BASALT [4875],,,UPPER [4875],TRIASSIC [4875],,,,"VERY FINE-GRAINED, MICROPORPHYRITIC, INTERSERTAL [4875] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,233717.50000000003,9589.44,,77270.64600000001,,25178.4,59852.1,,86478.7,40403.68,1471.4702,,4150.75,13353.426,654.6315,20000,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,160,,,,96,,,,,,,,12,173,25,91,8,,,,,,,,,,,,,59,6,15,,,3.6,1.1,,0.7,,,,,2.7,0.44,2.3,0.5,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,106576,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / ALASKA / CHILKAT BASALT,"TAKU TERRANE, CHILKAT PENINSULA",58.4,59.2,-135.3,-135.8,SUBAERIAL,,,s 79AH217 [4875],BASALT [4875],,,UPPER [4875],TRIASSIC [4875],,,,"VERY FINE-GRAINED, PORPHYRITIC, AMYGDALOIDAL [4875] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,232315.19500000004,12586.14,,72507.387,,31473.,66847.8,,80046.4,37991.52,1626.3618,,5478.990000000001,14837.14,872.8420000000001,18000.,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,140,,,,130,,,,,,,,21,161,31,122,10,,,,,,,,,,,,,107,7,18,,,4.2,1.4,,0.9,,,,,3.1,0.5,3,0.6,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,106577,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / ALASKA / CHILKAT BASALT,"TAKU TERRANE, CHILKAT PENINSULA",58.4,59.2,-135.3,-135.8,SUBAERIAL,,,s 79AH218A [4875],BASALT [4875],,,UPPER [4875],TRIASSIC [4875],,,,"MEDIUM-GRAINED, OPHITIC TO SUBOPHITIC [4875] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,232315.19500000004,13185.48,,74095.14,,23080.199999999997,68402.40000000001,,77187.6,37388.479999999996,1239.1328,,6392.155,14095.283,916.4841,24000.,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,220,,,,140,,,,,,,,21,134,32,127,9,,,,,,,,,,,,,28,8,21,,,5.2,1.4,,1.1,,,,,3.3,0.56,3.3,0.6,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,106578,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / ALASKA / CHILKAT BASALT,"TAKU TERRANE, CHILKAT PENINSULA",58.4,59.2,-135.3,-135.8,SUBAERIAL,,,s 79AH218B [4875],BASALT [4875],,,UPPER [4875],TRIASSIC [4875],,,,"MEDIUM-GRAINED, OPHITIC TO INTERSERTAL [4875] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,225771.105,12586.14,,78329.148,,27276.6,59852.1,,80761.1,38594.56,1239.1328,,581.105,17804.568,785.5577999999999,29000.,,,,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,180,,,,140,,,,,,,,5,238,28,115,9,,,,,,,,,,,,,28,7,17,,,4,1.2,,0.8,,,,,3,0.53,2.7,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,106579,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / WRANGELL MOUNTAINS,"NIKOLAI GREENSTONE, MCCARTHY QUADRANGLE",61.41,61.41,-142.98,-142.98,SUBAERIAL,,,s 63AMK147 [4875],BASALT [4875],,,,TRIASSIC [4875],,,,AMYGDALOIDAL [4875] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,225771.105,10188.779999999999,,79387.65000000001,,32172.399999999998,55188.299999999996,,72899.4,37991.52,851.9038,,4150.75,21588.0387,698.2736,29900.000000000004,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,,,4.1,1.6,,0.8,,,,,2.5,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106580,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / WRANGELL MOUNTAINS,"NIKOLAI GREENSTONE, MCCARTHY QUADRANGLE",61.41,61.41,-142.98,-142.98,SUBAERIAL,,,s 64AMK203 [4875],BASALT [4875],,,,TRIASSIC [4875],,,,AMYGDALOIDAL [4875] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,227173.41000000003,18579.54,,69861.132,,39166.399999999994,66070.5,,66467.1,34976.32,1703.8076,,3652.66,18249.6822,1221.9788,19100.,,,,6100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,22,,,4.6,1.8,,0.9,,,,,3.9,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106581,
[4875],CONTINENTAL FLOOD BASALT,WRANGELLIA / WRANGELL MOUNTAINS,"NIKOLAI GREENSTONE, MCCARTHY QUADRANGLE",61.41,61.41,-142.98,-142.98,SUBAERIAL,,,s 64AMK211 [4875],BASALT [4875],,,,TRIASSIC [4875],,,,AMYGDALOIDAL [4875] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4875] ,213617.79500000004,8390.759999999998,,80446.152,,27276.6,55965.6,,70040.6,46434.08,1548.9160000000002,,4648.84,20178.5104,698.2736,45900.,,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,,,3.6,1.3,,0.7,,,,,2.2,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106582,
