Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION,"WADI LAHIMA, LOWER SERIES",14,17,43,45,SUBAERIAL,,,s JB2 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,235447.00950000001,19238.814,,68167.5288,,92880.31999999999,,,72684.99,39800.63999999999,1455.98104,,7438.144,16988.5253,1688.94927,,,,,,,,,,,,,,,,5600.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,25,,,30,,365,180,,,,75,64,106,21,,,,,14.9,559,32.1,254,31.3,,,,,,,,,,,,,344,28,64.3,,36.8,8.26,,,,,,,,,,,,,,,,,,,,3,,2.5,0.734,0.512861,,,0.70399,,18.51,,15.549,,38.38,,,,,,,,,,,,,,,15130-JB2,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION,"WADI LAHIMA, LOWER SERIES",14,17,43,45,SUBAERIAL,,,s JB63 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,223807.87800000003,17440.793999999998,,68696.7798,,90362.48,,,67967.97,59761.263999999996,1564.40516,,5968.778499999999,16765.9682,1514.38087,,,,,,,,,,,,,,,,16200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,178,,,32,,312,530,,,,191,30,111,19,,,,,16.6,480,31.9,230,22.6,,,,,,,,,,,,,172,21,48,,30,,,,,,,,,,,,,,,,,,,,,2,,1.9,0.319,0.512865,,,0.70378,,18.399,,15.537,,38.135,,,,,,,,,,,,,,,15130-JB63,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION,"WADI LAHIMA, LOWER SERIES",14,17,43,45,SUBAERIAL,,,s JB66 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,229183.38050000003,18639.474,,73565.88900000001,,85956.26,,,72041.76,40041.85599999999,1448.23646,,6898.5464999999995,19807.581899999997,1658.3998000000001,,,,,,,,,,,,,,,,3600.,,,,,,,,,,,,,,,,,,,,,,,,,21,,,32,,308,167,,,,71,38,121,21,,,,,14.6,500,36.5,257,23.2,,,,,,,,,,,,,265,23.1,55.3,,34.5,8.34,,,,,,,,,,,,,,,,,,,,2,,1.8,0.45,0.512868,,,0.70376,,18.294,,15.538,,38.077,,,,,,,,,,,,,,,15130-JB66,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION,"WADI LAHIMA, UPPER SERIES",14,17,43,45,SUBAERIAL,,,s JB74 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,230959.6335,19238.814,,80869.5528,,82948.84,,,68039.44,32925.984,1425.00272,,11207.025000000001,23961.981099999997,1937.7092400000001,,,,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,76,,,28,,342,78,,,,22,16,111,23,,,,,26,740,32.2,281,43.4,,,,,,,,,,,,,424,38.2,84.4,,44.5,9.02,,,,,,,,,,,,,,,,,,,,2.3,,4.4,0.706,0.512794,,,0.7038,,18.519,,15.564,,38.27,,,,,,,,,,,,,,,15131-JB74,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION,"WADI LAHIMA, UPPER SERIES",14,17,43,45,SUBAERIAL,,,s JB76 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,229837.7895,14024.555999999999,,64568.621999999996,,80570.87999999999,,,71684.40999999999,59821.568,1494.70394,,8235.088,22255.71,1261.25669,,,,,,,,,,,,,,,,4500.,,,,,,,,,,,,,,,,,,,,,,,,,302,,,37,,322,622,,,,41,48,90,19,,,,,25.2,665,23.2,187,30,,,,,,,,,,,,,152,25.8,56.5,,30.6,6.39,,,,,,,,,,,,,,,,,,,,5.9,,2.5,0.636,0.512815,,,0.70372,,18.598,,15.567,,38.271,,,,,,,,,,,,,,,15131-JB76,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION,"WADI LAHIMA, UPPER SERIES",14,17,43,45,SUBAERIAL,,,s JB80 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,236194.90550000002,15462.972,,83515.8078,,82669.08,,,70112.07,27197.103999999996,1239.1328,,6234.4265,24407.0953,1361.63352,,,,,,,,,,,,,,,,-1900.,,,,,,,,,,,,,,,,,,,,,,,,,42,,,27,,280,84,,,,28,12,97,25,,,,,15,420,30.4,235,32.1,,,,,,,,,,,,,253,34,72,,37,,,,,,,,,,,,,,,,,,,,,7.2,,6.3,,0.512793,,,0.70476,,19.258,,15.588,,38.392,,,,,,,,,,,,,,,15131-JB80,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION,"WADI LAHIMA, UPPER SERIES",14,17,43,45,SUBAERIAL,,,s JB82 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,226519.00100000002,11267.591999999999,,47950.140600000006,,85536.62000000001,,,90623.95999999999,73088.44799999999,1347.55692,,7072.878,14762.9543,1016.86093,,,,,,,,,,,,,,,,9200.,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,45,,375,697,,,,160,138,76,15,,,,,31.3,479,21.7,155,27.6,,,,,,,,,,,,,277,25.9,54.5,,28,5.71,,,,,,,,,,,,,,,,,,,,0.5,,2.8,0.613,0.512815,,,0.70393,,19.064,,15.586,,38.605,,,,,,,,,,,,,,,15131-JB82,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION,"WADI LAHIMA, UPPER SERIES",14,17,43,45,SUBAERIAL,,,s JB84 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,235353.52250000002,18040.134,,74941.9416,,86445.84,,,64251.53,32564.16,1463.72562,,13855.2035,21736.4101,1649.67138,,,,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,94,,,28,,340,88,,,,48,37,105,22,,,,,48.7,608,29.1,260,40.7,,,,,,,,,,,,,365,38.4,82.7,,42.6,8.58,,,,,,,,,,,,,,,,,,,,4,,5.4,1.169,0.512799,,,0.70424,,18.826,,15.567,,38.456,,,,,,,,,,,,,,,15131-JB84,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / SANA^A SECTION,LOWER SERIES,14,17,43,45,SUBAERIAL,,,s JB259 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,229510.58500000002,19718.286,,79705.20060000001,,90642.24,,,65752.4,35096.928,1308.83402,,7587.571,21810.5958,1544.93034,,,,,,,,,,,,,,,,-300.,,,,,,,,,,,,,,,,,,,,,,,,,53,,,26,,295,84,,,,88,148,122,24,,,,,20.5,460,32.1,240,27.6,,,,,,,,,,,,,214,25,57.3,,33,7.65,,,,,,,,,,,,,,,,,,,,2.8,,3.2,0.995,0.512881,,,0.704,,19.065,,15.56,,38.443,,,,,,,,,,,,,,,15132-JB259,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / SANA^A SECTION,LOWER SERIES,14,17,43,45,SUBAERIAL,,,s JB260 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,226799.46200000003,19718.286,,78329.148,,91341.64,,,67753.56,37267.871999999996,1370.79066,,6749.1195,19881.7676,1540.56613,,,,,,,,,,,,,,,,2000.,,,,,,,,,,,,,,,,,,,,,,,,,114,,,27,,319,103,,,,105,147,122,23,,,,,21.4,458,31.3,232,27.5,,,,,,,,,,,,,192,25.4,54.5,,31.8,7.4,,,,,,,,,,,,,,,,,,,,2.3,,3,0.907,0.512857,,,0.70396,,19.029,,15.568,,38.493,,,,,,,,,,,,,,,15132-JB260,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / SANA^A SECTION,LOWER SERIES,14,17,43,45,SUBAERIAL,,,s JB262 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,232689.143,20677.23,,78382.07310000001,,93719.6,,,61964.49,24000.992,1494.70394,,9530.122,24703.8381,2230.1113100000002,,,,,,,,,,,,,,,,1600.,,,,,,,,,,,,,,,,,,,,,,,,,132,,,25,,281,25,,,,17,62,133,24,,,,,21,468,44.3,334,32.7,,,,,,,,,,,,,372,35.6,82.3,,47.6,10.9,,,,,,,,,,,,,,,,,,,,2.9,,3.2,0.883,0.512799,,,0.70393,,18.33,,15.566,,38.253,,,,,,,,,,,,,,,15132-JB262,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / SANA^A SECTION,LOWER SERIES,14,17,43,45,SUBAERIAL,,,s JB280 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,230819.40300000002,19238.814,,71290.1097,,97006.78,,,72184.7,39197.6,1548.9160000000002,,4449.604,19362.467699999997,1422.7324600000002,,,,,,,,,,,,,,,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,40,,,30,,350,163,,,,98,160,117,21,,,,,11.2,382,34.4,220,25.1,,,,,,,,,,,,,147,21.4,50.4,,30.1,7.28,,,,,,,,,,,,,,,,,,,,1.7,,2.5,0.766,0.512909,,,0.70396,,19.049,,15.577,,38.534,,,,,,,,,,,,,,,15132-JB280,
[2821][3450],CONTINENTAL FLOOD BASALT,YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / SANA^A SECTION,LOWER SERIES,14,17,43,45,SUBAERIAL,,,s JB281 [2821],BASALT [2821],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2821] ,223901.36500000002,13904.687999999998,,54089.45220000001,,88124.4,,,77687.89,81350.09599999999,1409.5135599999999,,2150.0885,12389.0119,973.21883,,,,,,,,,,,,,,,,2500.,,,,,,,,,,,,,,,,,,,,,,,,,23,,,34,,278,1046,,,,430,126,98,16,,,,,4.7,290,24.1,147,15.8,,,,,,,,,,,,,85,13.1,32,,20.5,5.16,,,,,,,,,,,,,,,,,,,,1.1,,1.6,0.379,0.512894,,,0.70373,,18.942,,15.562,,38.578,,,,,,,,,,,,,,,15132-JB281,
