Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4826],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,MINOAN ERUPTION,36.3,36.5,25.4,25.5,SUBAERIAL,,,s SNT67C [4826],DACITE [4826],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4826] ,311872.63200000004,3596.0399999999995,,83145.33210000001,,,,37854.51,28588,5970.096,851.9038,,19093.449999999997,33754.4935,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108506,
[4826],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,MINOAN ERUPTION,36.3,36.5,25.4,25.5,SUBAERIAL,,,s SNT67V [4826],RHYODACITE [4826],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4826] ,335197.6385,2517.2279999999996,,73830.5145,,,,23940.84,15723.400000000001,3557.9359999999997,619.5664,,24738.47,34867.279,305.4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108507,
[4826],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,MINOAN ERUPTION,36.3,36.5,25.4,25.5,SUBAERIAL,,,s SNT71 [4826],ANDESITE [4826],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4826] ,285649.5285,4914.588,,87326.41500000001,,,,57053.82,43811.11,12663.84,1084.2412000000002,,13614.46,30416.136999999995,480.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108508,
[3209][3296],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,SKAROS AND NEA KAMENI,36.4,36.4,25.45,25.45,SUBAERIAL,,,s SAN15 [3209],NOT GIVEN [3209] / DACITE [3296],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3209] ,249283.08550000002,4794.72,,98652.3864,,,58997.07,,69754.72,29850.48,1161.687,,7056.275,27077.780499999997,392.77889999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,46,,,,,,,,66,149,12,229,,,,,,,,,,,,,,180,4,,,22.5,5.79,,,,,,,,,,,,,,,,,,,,,,,,0.512832,,,0.70462,,,,,,,,,,,,,,,,,,,,,11329-SAN 15,
[5012],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,"NEA KAMENI, 1570 ERUPTION",36.3,36.5,25.4,25.5,SUBAERIAL,,,s SA58 [5012],DACITE [5012],,,,,,,1570,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5012] ,309395.2265,4255.313999999999,,84786.0102,,,,35678.07,26801.25,6874.655999999999,1161.687,,15025.715,40282.8351,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,35,6,,,,,15,68,,,,,,55,166,31,213,7,,,,,,,,,,,,,353,25,48,,,5.4,1.1,,0.8,,,,,4.7,0.84,,,,,,,,,,,,,12.6,2,,,,,,,,,,,,,,,,,,,,,,,,,123416,
[5012],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,1707-10 ERUPTION,36.3,36.5,25.4,25.5,SUBAERIAL,,,s SA107 [5012],DACITE [5012],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5012] ,308694.0740000001,4614.918,,81345.8787,,,,42673.770000000004,25085.969999999998,5970.096,1161.687,,17101.09,40060.278,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,3,14,76,,,,,,66,160,34,221,9,,,,,,,,,,,,,365,27,48,,,5.8,1.6,,1.2,,,,,5.2,0.9,,,,,,,,,,,,,12.8,7,,,,,,,,,,,,,,,,,,,,,,,,,123418,
[5012],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,1866-70 ERUPTION,36.3,36.5,25.4,25.5,SUBAERIAL,,,s SI35 [5012],DACITE [5012],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5012] ,302196.72750000004,4734.786,,83462.8827,,,,42906.96,31232.39,11216.544,1239.1328,,15440.79,35905.8788,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,75,15,,,13,5,20,74,,,,,,60,173,31,201,7,,,,,,,,,,,,,326,24,44,,,5.2,1.4,,1.2,,,,,4.4,0.83,,,,,,,,,,,,,11.5,6,,,,,,,,,,,,,,,,,,,,,,,,,123420,
[5012],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,1925-26 ERUPTION,36.3,36.5,25.4,25.5,SUBAERIAL,,,s SA60 [5012],DACITE [5012],,,,,,,1925,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5012] ,302336.95800000004,4974.521999999999,,83251.1823,,,,45705.24,28373.59,8261.648000000001,1239.1328,,15772.849999999999,39021.678199999995,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,17,76,,,,,,63,169,32,207,8,,,,,,,,,,,,,351,23,47,,,5.4,1.4,,1.1,,,,,4.5,0.8,,,,,,,,,,,,,11.4,4,,,,,,,,,,,,,,,,,,,,,,,,,123422,
[5012],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,"NEA KAMENI, 1950 ERUPTION",36.3,36.5,25.4,25.5,SUBAERIAL,,,s SH99 [5012],DACITE [5012],,,,,,,1950,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5012] ,304159.9545,4734.786,,84838.93530000001,,,,40186.409999999996,27587.42,8020.432,1316.5786,,16519.985,40134.4637,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,60,6,,,17,,16,70,,,,,,63,171,31,205,8,,,,,,,,,,,,,343,22,43,,,5.4,1.6,,0.9,,,,,3.8,0.78,,,,,,,,,,,,,11.2,3,,,,,,,,,,,,,,,,,,,,,,,,,123425,
[5012],CONVERGENT MARGIN,AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI / AEGEAN SEA,197 B.C. ERUPTION,36.3,36.5,25.4,25.5,SUBAERIAL,,,s 5 [5012],DACITE [5012],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [5012] ,342770.08550000004,719.208,,82298.53050000001,,,,3886.5,18439.260000000002,1206.08,77.4458,,16021.894999999999,43027.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123473,
