Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s PA21 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,319258.10500000004,1618.218,,91560.42300000001,,17135.300000000003,,,13364.890000000001,3678.544,697.0122,,38518.96,26929.409099999997,785.5577999999999,,,,,,,,,,,,,,,,6600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,130,297,16,132,11,,,,,,,,,,,,,1291,15,41,,26,7.7,1.7,7.5,,7.1,,3.5,,2.7,0.44,,,,,,,,,,,10,,1.41,0.54,0.5121,,,0.71613,,18.499,,15.693,,38.793,,,,,,,,,,,,,,,103620,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s PA44 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,329494.9315,2397.36,,80763.7026,,20702.239999999998,,,20011.6,5186.143999999999,697.0122,,27643.995,24407.0953,305.4947,,,,,,,,,,,,,,,,4400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,85,343,20,211,12,,,,,,,,,,,,,1386,21,50,,23,5.3,1.6,4.6,,4.1,,2.1,,1.8,0.31,,,,,,,,,,,12,,2.38,0.79,0.51215,,,0.71377,,18.481,,15.666,,39.027,,,,,,,,,,,,,,,103621,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s PA28 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,330242.8275000001,1798.0199999999998,,82404.38070000001,,16505.84,,,15151.640000000001,3859.4559999999997,697.0122,,33039.97,25519.8808,698.2736,,,,,,,,,,,,,,,,7100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,105,364,15,166,9,,,,,,,,,,,,,1689,12,36,,22,6.1,1.6,5.9,,5.2,,2.7,,2.5,0.45,,,,,,,,,,,12,,1.41,1.13,,,,0.71437,,18.451,,15.675,,38.922,,,,,,,,,,,,,,,103622,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s CV14 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,331084.21050000004,1857.954,,82510.23090000001,,17205.239999999998,,,12578.72,5487.664,542.1206000000001,,28225.1,22700.8242,1003.7683000000001,,,,,,,,,,,,,,,,13799.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,105,256,15,135,13,,,,,,,,,,,,,1062,43,90,,39,7.1,1.3,6,,4,,1.7,,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103623,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s PA3 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,331271.18450000003,2097.6899999999996,,82827.78150000001,,19303.44,,,18725.14,4583.103999999999,697.0122,,18761.39,28116.3803,698.2736,,,,,,,,,,,,,,,,6899.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,56,280,17,166,9,,,,,,,,,,,,,596,29,67,,32,7.3,1.7,6.3,,5.6,,2.7,,2.2,0.35,,,,,,,,,,,12,,5.6,1.3,0.51214,,,0.71328,,,,,,,,,,,,,,,,,,,,,103624,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s CV85-16 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,331645.13250000007,2397.36,,80552.0022,,21471.579999999998,,,18582.2,5849.487999999999,697.0122,,19591.539999999997,25371.5094,349.1368,,,,,,,,,,,,,,,,8300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,331,24,247,18,,,,,,,,,,,,,861,,,,,,,,,,,,,,,,,,,,,,,,,10,,9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,103625,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s CV40 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,332580.00250000006,2397.36,,78434.9982,,19583.199999999997,,,19940.13,7176.1759999999995,542.1206000000001,,19923.6,25445.6951,741.9157,,,,,,,,,,,,,,,,7800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,65,342,20,198,10,,,,,,,,,,,,,893,64,133,,58,10.5,1.7,8.9,,6.1,,2.8,,2.2,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103626,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s PA10 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,336833.661,2157.624,,75471.1926,,18534.1,,,17724.56,5005.231999999999,697.0122,,27810.025,23294.3098,698.2736,,,,,,,,,,,,,,,,6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,65,314,20,167,7,,,,,,,,,,,,,1388,76,151,,56,9.2,1.8,6.8,,4,,2,,1.6,0.24,,,,,,,,,,,17,,20.91,1.15,,,,0.71326,,18.431,,39.02,,,,,,,,,,,,,,,,,103627,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s PA13 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,338095.7355,1618.218,,79758.1257,,14827.28,,,11864.019999999999,3075.504,697.0122,,31877.76,24778.0238,741.9157,,,,,,,,,,,,,,,,6000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,105,209,18,134,14,,,,,,,,,,,,,619,54,112,,45,7.2,1.8,5.4,,2.9,,1.3,,1,0.2,,,,,,,,,,,9,,9.84,1.22,,,,0.71674,,18.389,,38.547,,,,,,,,,,,,,,,,,103628,
[4373],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / CAPO VATICANO / TYRRHENIAN SEA,,38.48,38.48,15.97,15.97,SUBAERIAL,,,s CV85-15 [4373],"GRANODIORITE, TWO-MICA [4373]",,,,,,,,PORPHYRITIC [4373] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4373] ,338376.1965,1678.152,,81240.0285,,14267.76,,,12006.96,2351.8559999999998,697.0122,,29553.34,23813.609699999997,523.7052,,,,,,,,,,,,,,,,9000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,251,20,126,10,,,,,,,,,,,,,946,,,,,,,,,,,,,,,,,,,,,,,,,10,,6.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,103629,
