Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6565][7092],CONVERGENT MARGIN,ALEUTIAN ARC / ALASKA PENINSULA / SPURR VOLCANIC COMPLEX / ANCESTRAL MOUNT SPURR / PACIFIC OCEAN,,61.299,61.299,-152.251,-152.251,SUBAERIAL,,,s 85CNS17 [6565],NOT GIVEN [6565],,,,,,,1953,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6565] ,256575.07150000002,5154.324,,99499.18800000001,,,,59696.64,57318.939999999995,27619.232,1161.687,,7886.424999999999,28264.7517,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,0.83,11,,,,,,,,,,,,21,,248,50,,,,29,73,111,21.3,,,,,18.07,745,18.5,92.5,5.1,,,,,,,,,,,,0.6,401,12.02,26.93,3.78,16.45,3.92,1.25,3.56,0.55,3.17,0.63,1.75,0.27,1.7,0.27,2.44,0.28,,,,,,,,,4.42,,1.43,0.349,0.512868,,,0.703697,,18.833,,15.573,,38.421,,,,,,,,,,,,,,,10510-85CNS17,
[6565][7092],CONVERGENT MARGIN,ALEUTIAN ARC / ALASKA PENINSULA / SPURR VOLCANIC COMPLEX / ANCESTRAL MOUNT SPURR / PACIFIC OCEAN,,61.299,61.299,-152.251,-152.251,SUBAERIAL,,,s 92JBS02 [6565],NOT GIVEN [6565],,,,,,,1992,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6565] ,264755.184,4075.512,,100981.09079999999,,,,54644.19,54245.729999999996,21588.832,1161.687,,7222.305,30119.394199999995,1265.6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,0.8,2.7,,,,,,,,,,,,12,,171,38,,,,26,50,86,20.6,,,,,13.29,669,16.6,89.9,4.78,,,,,,,,,,,,0.39,405,10.58,23.59,3.28,14.07,3.34,1.11,3.2,0.48,2.84,0.58,1.61,0.26,1.65,0.26,2.37,0.26,,,,,,,,,4.55,,0.872,0.25,0.512868,,,0.703656,,18.782,,15.564,,38.36,,,,,,,,,,,,,,,10510-92JBS02,
[2504][2502][14905][2505],CONVERGENT MARGIN,ALEUTIAN ARC / ALASKA PENINSULA / COLD BAY / FROSTY PEAK / PACIFIC OCEAN,VENTED DIKE(?),55.0867,55.0867,-162.8297,-162.8297,SUBAERIAL,,,s CB-7 [2504] / s CB 7 [14905] / s 7 [2505],ANDESITE [2504],,,,QUATERNARY [14905],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2504] ,276768.2635,3715.908,,95371.03020000001,,24968.579999999998,25029.06,,51887.22,17849.984,1239.1328,,10376.875,25742.4379,1003.7683000000001,,2100.,900.,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,100,10,,,16,,20,,16,,,,,,360,,80,,,,,,,,,,,,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51299,,,0.70352,,18.903,,15.57,,38.449,,,,,,,,0.283114,,,,,,,10581-CB-7,
[2504][14905][2505],CONVERGENT MARGIN,ALEUTIAN ARC / ALASKA PENINSULA / COLD BAY / MOUNT BALDY (MOUNT SIMEON) / PACIFIC OCEAN,6 KM WEST OF TOWN OF COLD BAY,55.9,55.9,-162.78,-162.78,SUBAERIAL,,,s CB-3 [2504] / s CB 3 [14905] / s 3 [2505],"ANDESITE [2504] / ANDESITE, BASALTIC [14905]",,,,QUATERNARY [14905],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2504] ,264100.775,3895.71,,95159.3298,,28115.879999999997,25339.98,,60678.03,24423.12,1161.687,,9629.74,23961.981099999997,829.1999000000001,,,,,,,,,,,,,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,36,,,20.5,7,188,64,,,,,,33,672,19,118,2.9,,,,,,,,,,,,,512,7,24,,16,,,,,,,,,,,,,,,,,,,,,8.2,,5.3,,0.513008,,,0.70321,,18.8,,15.56,,38.337,,,,,,,,0.283118,,,,,,,10589-CB-3,
[2504][14905][2505],CONVERGENT MARGIN,ALEUTIAN ARC / ALASKA PENINSULA / COLD BAY / MOUNT BALDY (MOUNT SIMEON) / PACIFIC OCEAN,BASAL UNIT,55.17,55.17,-162.78,-162.78,SUBAERIAL,,,s CB-5 [2504] / s CB 5 [14905] / s 5 [2505],ANDESITE [2504],,,,QUATERNARY [14905],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2504] ,270504.6345,3655.9739999999997,,98123.1354,,27626.300000000003,23319,,57176,19236.976,1239.1328,,8965.62,26335.923499999997,872.8420000000001,,900.,,,,,,,,,,,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,13,,,18,,26,61,,,,,,32,556,21,128,2.7,,,,,,,,,,,,,530,12,31,,19,,,,,,,,,,,,,,,,,,,,,9.2,,5.9,,0.513,,,0.70321,,,,,,,,,,,,,,0.283115,,,,,,,10590-CB-5,
[2243],CONVERGENT MARGIN,ALEUTIAN ARC / ALASKA PENINSULA / UPPER ALASKA PENINSULA / SOUTHWEST TRIDENT / PACIFIC OCEAN,KATMAI NATIONAL PARK,58.2,58.2,-155.1,-155.1,SUBAERIAL,,,s UA200 [2243],NOT GIVEN [2243],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2243] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,940,19.8,43,,20,6.32,0.88,,1.01,,,,,4.84,0.79,5.04,0.4,,,,,,,,,,,6.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,107054,
[2565],CONVERGENT MARGIN,ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / SEGUAM / SEGUAM / TURF POINT FORMATION / PACIFIC OCEAN,WESTERN TURF POINT FORMATION,52.27,52.27,-172.58,-172.58,SUBAERIAL,,,s B87-49 [2565],ANDESITE [2565],,,,,,,,PORPHYRITIC [2565] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2565] ,272514.605,6832.475999999999,,84150.909,,12029.68,68480.13,,52387.51,19840.016,1316.5786,,6973.259999999999,26632.666299999997,785.5577999999999,,,2100.,,,,,,,,,,,,,-1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,5,,,,,,,,22.01,282,23,58,,,,,,,,,,,,,,384,5.68,15.12,,11.56,3.35,1.01,3.84,,4.29,,2.61,,2.41,0.37,,,,,,,,,,,7.2,,,,0.512958,,,0.70366,,18.923,,15.581,,38.479,,,,,,,,,,,,,,,10886-B87-49,
[2565],CONVERGENT MARGIN,ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / SEGUAM / SEGUAM / TURF POINT FORMATION / PACIFIC OCEAN,WESTERN TURF POINT FORMATION,52.27,52.27,-172.58,-172.58,SUBAERIAL,,,s B87-50 [2565],ANDESITE [2565],,,,,,,,PORPHYRITIC [2565] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2565] ,293081.74500000005,5513.928,,83621.65800000001,,10421.06,37621.32,,39237.03,14412.655999999999,1084.2412000000002,,11788.13,30193.5799,960.1262,,,1500.,,,,,,,,,,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,6,,,,,,,,59.96,252,25,125,,,,,,,,,,,,,,606,7.28,20.91,,16.04,4.34,1.13,4.55,,4.69,,3.17,,3.26,0.49,,,,,,,,,,,11.9,,,,0.512975,,,0.70364,,18.925,,15.578,,38.472,,,,,,,,,,,,,,,10886-B87-50,
[2565],CONVERGENT MARGIN,ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / SEGUAM / SEGUAM / TURF POINT FORMATION / PACIFIC OCEAN,WESTERN TURF POINT FORMATION,52.27,52.27,-172.58,-172.58,SUBAERIAL,,,s B87-52 [2565],DACITE [2565],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2565] ,308507.10000000003,5753.664,,79387.65000000001,,11400.22,34045.74,,29517.11,8804.384,1006.7954,,14859.685,33383.565,829.1999000000001,,,900.,,,,,,,,,,,,,-2200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,46.26,221,32,138,,,,,,,,,,,,,,810,10.76,30.84,,18.92,5.09,1.22,4.86,,5.48,,3.7,,3.89,0.59,,,,,,,,,,,11.9,,,,0.51296,,,0.70368,,18.925,,15.577,,38.464,,,,,,,,,,,,,,,10886-B87-52,
[2565],CONVERGENT MARGIN,ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / SEGUAM / SEGUAM / TURF POINT FORMATION / PACIFIC OCEAN,WESTERN TURF POINT FORMATION,52.27,52.27,-172.58,-172.58,SUBAERIAL,,,s B87-56 [2565],DACITE [2565],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2565] ,331878.85000000003,3775.8419999999996,,79916.901,,12099.619999999999,17489.25,,18725.14,4402.192,851.9038,,17599.18,36128.4359,654.6315,,,1000.,,,,,,,,,,,,,-700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,51.66,175,11,170,,,,,,,,,,,,,,953,12.72,32.33,,20.55,5.35,1.27,4.99,,6.39,,3.62,,4.25,0.67,,,,,,,,,,,24.1,,,,0.512948,,,0.70375,,18.948,,15.603,,38.554,,,,,,,,,,,,,,,10886-B87-56,
