Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO3-5A [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,220395.6025,14563.962,,89549.26920000001,,,,73688.04000000001,64894.76,40765.50399999999,1006.7954,,16187.925,20252.696099999997,1832.9682,,,,,,,,,,,,,,,,12500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,280,11,,,48,73,,,,,,,,161,451,23,278,26,,,,,,,,,,,,16,309,29,62,,36,7,2,,1,6,,,,2,0,5,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,460579,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO3-5B [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,222218.59900000002,16841.453999999998,,84786.0102,,,,77030.43000000001,62607.72,41609.76,1161.687,,12037.175,22626.638499999997,1702.0419000000002,,,,,,,,,,,,,,,,18500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,49,55,,,,,,,,55,299,25,158,29,,,,,,,,,,,,,624,,,,,,,,,,,,,,,4,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,460580,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO3-8 [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,224275.313,14983.5,,87538.1154,,,,71589.33,70612.36,44021.92,1239.1328,,11622.099999999999,19436.6534,1614.7576999999999,,,,,,,,,,,,,,,,12900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,277,108,,,47,78,,,,,,,,104,425,24,255,23,,,,,,,,,,,,9,184,26,55,,34,7,2,,1,6,,,,2,0,5,1.8,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,460581,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO1-15 [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,240074.616,5394.0599999999995,,80604.92730000001,,,,67780.56000000001,68396.79000000001,47157.727999999996,619.5664,,10210.845,19362.467699999997,261.8526,,,,,,,,,,,,,,,,6899.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,41,80,,,,,,,,80,116,34,33,2,,,,,,,,,,,,,183,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,460582,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO1-9 [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,238578.82400000002,3835.776,,79387.65000000001,,,,67702.83,82119.03,48966.84799999999,1394.0244,,7388.335,14021.0973,218.21050000000002,,,,,,,,,,,,,,,,8200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,,,44,61,,,,,,,,56,90,18,17,1,,,,,,,,,,,,,105,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,460583,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO3-14A [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,231894.50350000002,5034.455999999999,,74200.9902,,,,71200.68000000001,74972.03,48303.50399999999,1316.5786,,5395.975,14911.325699999998,305.4947,,,,,,,,,,,,,,,,11399.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,302,183,,,56,75,,,,,,,,41,200,24,100,2,,,,,,,,,,,,2,199,5,12,,13,2,1,,1,5,,,,3,0,2,0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,460584,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO3-23A [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,243673.86550000004,4375.182,,86955.9393,,,,57209.280000000006,77830.83,43117.36,1316.5786,,9795.769999999999,19807.581899999997,305.4947,,,,,,,,,,,,,,,,8800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,244,164,,,51,46,,,,,,,,133,208,20,29,4,,,,,,,,,,,,4,45,3,9,,6,2,1,,1,4,,,,2,0,1,0,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,460585,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO1-11 [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,225817.84850000002,779.1419999999999,,95688.5808,,,,46016.159999999996,87979.57,63258.896,851.9038,,9380.695,6083.2274,43.6421,,,,,,,,,,,,,,,,22599.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,46,171,,,,,,,,65,118,9,4,1,,,,,,,,,,,,,49,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,460586,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO3-25A [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,227033.17950000003,2337.426,,67109.0268,,,,48192.6,71041.18,111381.48799999998,1394.0244,,664.12,2003.0139000000001,174.5684,,,,,,,,,,,,,,,,10500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,,69,559,,,,,,,,9,4,16,3,2,,,,,,,,,,,,,39,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,460587,
[13860],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / COBRES PLUTONIC COMPLEX / PACIFIC OCEAN,"NE PUNA REGION OF ARGENTINA, COBRES RANGE",-23.4,-23.8,-66,-66.4,SUBAERIAL,,,s CO3-25B [13860],GABBRO [13860],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [13860] ,234231.6785,4435.116,,74253.9153,,,,70190.18999999999,80332.28,57168.192,1394.0244,,2656.48,12463.1976,261.8526,,,,,,,,,,,,,,,,25600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,,55,149,,,,,,,,21,70,21,21,2,,,,,,,,,,,,,86,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,460588,
