Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4812],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI / PACIFIC OCEAN,CAPE VOGEL PENINSULA,-9.8,-9.8,149.9,149.9,SUBAERIAL,,,s 44264 [4812],BONINITE [4812],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4812] ,260408.03850000002,1198.68,,62081.14230000001,,,,78040.92,56675.71,60183.392,,,1411.255,7715.3128,87.2842,11500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,115,6.82,54.4,2.45,,,,,,,,,,,,0.39,52,4.34,8.67,,4.35,1.06,0.38,1.2,,1.25,,0.72,,0.85,0.15,1.23,0.19,,,,,,,,,1.12,,0.78,0.21,,,,,,,,,,,,,,,,,,,,,,,,,103542,
[4812],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI / PACIFIC OCEAN,CAPE VOGEL PENINSULA,-9.8,-9.8,149.9,149.9,SUBAERIAL,,,s 3 [4812],BONINITE [4812],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4812] ,280227.28250000003,2756.964,,86691.3138,,,,61795.35,55174.84,11819.583999999999,,,2324.42,8976.4697,523.7052,15800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103543,
[4774],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / PACIFIC OCEAN,UASILAU-YAU YAU,-5.6,-5.6,150.2,150.2,SUBAERIAL,,,s 40905 [4774],GRANITE [4774],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4774] ,215347.30450000003,1857.954,,67161.9519,,20002.84,76486.31999999999,,53602.5,102275.584,1858.6992,,1577.285,8086.241300000001,218.21050000000002,,19900.,1200.,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,91,102,1870,,11,145,3,110,9,,,,,3,220,10,21,0.5,,,,,,,,,,,,,25,1,4,,4,,,,,,,,,,,,,,,,,,,,,6,,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,105030,
[4774],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / PACIFIC OCEAN,UASILAU-YAU YAU,-5.6,-5.6,150.2,150.2,SUBAERIAL,,,s 40906 [4774],GRANITE [4774],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4774] ,213851.5125,3596.0399999999995,,120669.228,,22800.44,37154.94,,106704.70999999999,31056.56,1161.687,,664.12,8531.3555,130.9263,,11800.,400.,,200.,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,315,86,1130,,8,19,9,78,16.2,,,,,0.5,274,6,12,0,,,,,,,,,,,,,10,0,1,,2,,,,,,,,,,,,,,,,,,,,,4,,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,105031,
[4774],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / PACIFIC OCEAN,UASILAU-YAU YAU,-5.6,-5.6,150.2,150.2,SUBAERIAL,,,s 40909 [4774],GRANITE [4774],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4774] ,234932.831,4914.588,,117440.79690000002,,30423.899999999998,29381.94,,82333.44,17186.64,1161.687,,3071.555,19659.210499999997,261.8526,,5200.,900.,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,213,4,1180,,12,11,35,75,20,,,,,4,392,12,32,1,,,,,,,,,,,,0.03,50,2.1,5.8,,4.7,1.6,0.85,1.5,,,0.6,,,1.4,0.22,0.3,0.1,,,,,,,,,6,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,105032,
[4774],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / PACIFIC OCEAN,UASILAU-YAU YAU,-5.6,-5.6,150.2,150.2,SUBAERIAL,,,s 40912 [4774],GRANITE [4774],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4774] ,232174.96450000003,3715.908,,95423.95530000002,,23709.66,39253.65,,79760.52,41609.76,1626.3618,,5395.975,16914.3396,349.1368,,16000.,1100.,,2500.,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,232,173,1590,,4,48,28,75,15,,,,,14.5,288,13,37,0,,,,,,,,,,,,0.29,125,2.3,6.3,,5.2,1.7,0.67,2.4,,,0.5,,,1.5,0.26,0,0.2,,,,,,,,,5,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,105033,
[4774],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / PACIFIC OCEAN,UASILAU-YAU YAU,-5.6,-5.6,150.2,150.2,SUBAERIAL,,,s 40914 [4774],GRANITE [4774],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4774] ,240729.02500000002,4315.248,,102251.2932,,33151.560000000005,34356.659999999996,,71398.53,28523.792,1626.3618,,5229.945,17062.711,916.4841,,10200.,1200.,,0,,,,,,,,,,3800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,212,8,1600,,16,8,91,77,18.4,,,,,12,333,24,50,0.5,,,,,,,,,,,,,60,2,12,,9,,,,,,,,,,,,,,,,,,,,,5,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,105034,
[4774],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / PACIFIC OCEAN,UASILAU-YAU YAU,-5.6,-5.6,150.2,150.2,SUBAERIAL,,,s 40916 [4774],GRANITE [4774],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4774] ,256949.01950000002,5453.994,,91189.9473,,18534.1,45860.700000000004,,60963.909999999996,22191.872,1471.4702,,5312.96,20178.5104,523.7052,,12500.,1700.0000000000002,,5300.,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,233,5,1450,,3,3,81,85,16.6,,,,,7.5,338,20,47,0.5,,,,,,,,,,,,,245,3,9,,8,,,,,,,,,,,,,,,,,,,,,5,,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,105035,
[4774],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / PACIFIC OCEAN,UASILAU-YAU YAU,-5.6,-5.6,150.2,150.2,SUBAERIAL,,,s 40918 [4774],GRANITE [4774],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4774] ,266531.43700000003,4854.654,,91719.19829999999,,29654.56,30081.510000000002,,56246.89,20503.359999999997,1239.1328,,5478.990000000001,21068.7388,480.0631,,12600.,1800.,,0,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,198,3,1220,,9,4,56,57,16.2,,,,,8.5,325,21,59,1.5,,,,,,,,,,,,0.11,280,3.7,10.2,,8.5,2.8,0.92,2.9,,,0.8,,,2.2,0.36,1.1,0.4,,,,,,,,,7,,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,105036,
[4774],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / PACIFIC OCEAN,UASILAU-YAU YAU,-5.6,-5.6,150.2,150.2,SUBAERIAL,,,s 40920 [4774],GRANITE [4774],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4774] ,285322.324,4075.512,,84838.93530000001,,19793.02,28060.53,,45740.8,16221.775999999998,1084.2412000000002,,11788.13,23516.866899999997,523.7052,,8600.,900.,,4800.,,,,,,,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,140,8,1090,,25,6,21,54,14.6,,,,,19.5,296,23,98,1.5,,,,,,,,,,,,0.43,310,7.1,18.5,,12.5,3.6,0.97,3.7,,,1.1,,,2.6,0.43,2.7,0.7,,,,,,,,,4,,1.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,105037,
