Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN,"STRATOCONE LAVA, SARGENTS RIDGE",41.4216,41.4216,-122.346,-122.346,SUBAERIAL,,,s 97-3 [4684],ANDESITE [4684],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4684] ,277048.7245,4734.786,,84150.909,,33920.899999999994,,,47884.9,29187.136,619.5664,,14859.685,27374.523299999997,1789.3261,,,,,,,,,,,,,,,,13899.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51285,,,0.70357,,,,,,,,,,,,,,,,,,,,,100003,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN,HOTLUM,41.4065,41.4065,-122.1368,-122.1368,SUBAERIAL,,,s 83-44 [4684],ANDESITE [4684],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4684] ,291025.031,3655.9739999999997,,89602.1943,,13428.48,20520.72,,42810.53,21046.096,619.5664,,10210.845,34125.422,698.2736,,,,,,,,,,,,,,,,5500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,68,,,,40,,73,,,,,,26,714,11,110,,,,,,,,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512881,,,0.703245,,,,,,,,,,,,,,,,,,,,,100006,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN,HOTLUM,41.419,41.419,-122.162,-122.162,SUBAERIAL,,,s 83-46 [4684],ANDESITE [4684],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4684] ,293923.128,3775.8419999999996,,91295.7975,,10910.640000000001,23163.54,,40094.670000000006,17126.336,697.0122,,10459.89,35386.57889999999,698.2736,,,,,,,,,,,,,,,,4400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,33,,,,23,,73,,,,,,29,557,12,105,,,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51283,,,0.703681,,,,,,,,,,,,,,,,,,,,,100007,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN,HOTLUM,41.4105,41.4105,-122.1918,-122.1918,SUBAERIAL,,,s 83-54 [4684],DACITE [4684],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4684] ,298223.53,3536.1059999999998,,85421.11140000001,,18743.920000000002,13136.369999999999,,37950.57,18754.543999999998,619.5664,,13033.355000000001,34051.2363,567.3473,,,,,,,,,,,,,,,,7700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,116,67,,,30,18,19,58,,,,,,49,626,13,113,5,,,,,,,,,,,,3.6,398,12,24.8,3.16,11.8,2.47,0.84,2.39,0.36,2.11,0.42,1.17,0.18,1.22,0.19,3.11,,,,,,,,,,2.8,,3.76,1.71,0.512865,,,0.703327,,18.922,,15.588,,38.527,,,,,,,,,,,,,,,100008,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN,HOTLUM,41.4106,41.4106,-122.1935,-122.1935,SUBAERIAL,,,s 83-55 [4684],ANDESITE [4684],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4684] ,291866.414,3775.8419999999996,,86585.4636,,14757.339999999998,20054.34,,42095.829999999994,21227.007999999998,619.5664,,11705.115,32048.222400000002,610.9894,,,,,,,,,,,,,,,,6100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,63,,,,18,,72,,,,,,36,668,11,115,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512873,,,0.703281,,,,,,,,,,,,,,,,,,,,,100009,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN,HOTLUM,41.4238,41.4238,-122.1736,-122.1736,SUBAERIAL,,,s 97-5 [4684],ANDESITE [4684],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4684] ,289108.54750000004,3835.776,,89655.11940000001,,32032.52,,,43024.939999999995,20865.183999999997,542.1206000000001,,10293.86,30712.879799999995,1003.7683000000001,,,,,,,,,,,,,,,,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512878,,,0.703127,,,,,,,,,,,,,,,,,,,,,100010,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,BASE OF SHIELD VOLCANO,41.883,41.883,-121.883,-121.883,SUBAERIAL,,2412,s 79.37I [4703],"ANDESITE, OLIVINE [4703]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4703] ,256762.0455,6592.74,,90872.39670000001,,,,60707.13,57962.17,27317.712,1084.2412000000002,,7471.35,28264.7517,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101943,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,,41.58,41.58,-121.6,-121.6,SUBAERIAL,,,s 79.26 [4703],DACITE [4703],,,,,,,,SUBOPHITIC [4703] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4703] ,309114.7655,3895.71,,80710.7775,,,,31092,26944.19,12241.711999999998,542.1206000000001,,27643.995,28190.566,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101944,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,BASE OF SHIELD VOLCANO,41.883,41.883,-121.883,-121.883,SUBAERIAL,,2412,s 79.8A [4703],ANDESITE [4703],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4703] ,301028.1400000001,6113.268,,82298.53050000001,,,,39098.19,27015.66,8321.952,929.3496,,19342.495,37167.0357,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101945,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN,BASE OF SHIELD VOLCANO,41.883,41.883,-121.883,-121.883,SUBAERIAL,,2412,s 79.9G [4703],"ANDESITE, OLIVINE [4703]",,,,,,,,SUBOPHITIC [4703] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4703] ,269523.021,8630.496,,87061.7895,,,,59385.719999999994,43596.7,16583.6,1084.2412000000002,,11124.01,35609.136,1483.8314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101946,
