Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-02JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,272841.80950000003,3536.1059999999998,,96482.45730000001,,,,42906.96,43525.229999999996,8683.776,1239.1328,,25153.545,32493.3366,1396.5472,,,,,,,,,,,,,,,,7900.,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8.27,,139,6,,,11.1,157,21,73,,,,,,81,827,20,128,31,,,,,,0.6,,,,,,3.9,672,24.4,45,,20,4.48,1.31,,0.7,,,,,2,0.3,3.2,0,,,,,,,,,7,,7.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,319207,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-03B-JL [10162],DACITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,297849.582,2457.294,,88914.168,,,,30159.239999999998,39022.62,6754.048000000001,929.3496,,20753.75,32493.3366,916.4841,,,,,,,,,,,,,,,,10500.,,,,,,,,,,,,,,,2,,,,,,,,,,,,,5.63,,74,11.5,,,7.9,99,68,46,,,,,,90,617,22,166,24,,,,,,0.9,,,,,,3.5,505,21.4,40,,19,3.7,0.94,,0.6,,,,,2.2,0.34,3.8,0,,,,,,,,,8,,6.5,3,,,,,,,,,,,,,,,,,,,,,,,,,319208,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-27JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,292333.84900000005,3056.634,,87961.51620000001,,,,34589.85,40666.43,8804.384,1084.2412000000002,,23659.275,30564.5084,1003.7683000000001,,,,,,,,,,,,,,,,7500.,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8.46,,92,11.4,,,8.9,4,5,50,,,,,,98,679,23,171,26,,,,,,1.8,,,,,,4,588,25.7,47,,23,4.58,1.2,,0.6,,,,,2.33,0.35,4.5,0,,,,,,,,,11,,7.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,319209,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-01B-JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,271205.787,3895.71,,97170.4836,,,,46327.08,42167.3,10311.983999999999,1239.1328,,24572.44,29451.7229,1309.263,,,,,,,,,,,,,,,,10400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,5,,,15,8,35,65,,,,,,99,715,25,152,11,,,,,,,,,,,,,809,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,319210,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-01A-JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,284527.68450000003,3236.436,,97540.9593,,,,35367.15,41095.25,6693.744000000001,1006.7954,,23659.275,32641.708000000002,1047.4104,,,,,,,,,,,,,,,,6400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,0,,,17,7,5,62,,,,,,98,826,26,182,14,,,,,,,,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,319211,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-28JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,273823.423,3715.908,,97117.55850000001,,,,40108.68,45311.979999999996,10010.463999999998,1394.0244,,21168.824999999997,30119.394199999995,1221.9788,,,,,,,,,,,,,,,,13799.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,7,,,37,12,14,67,,,,,,86,802,37,246,13,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,319212,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-32JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,286070.22000000003,2936.7659999999996,,95794.43100000001,,,,34356.659999999996,40023.2,8261.648000000001,1161.687,,23161.185,31899.851,916.4841,,,,,,,,,,,,,,,,12200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,13,,,16,9,32,46,,,,,,94,753,26,223,10,,,,,,,,,,,,,585,,,,,,,,,,,,,,,,,,,,,,,,,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,319213,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-41JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,293502.4365,2816.8979999999997,,99446.2629,,,,34356.659999999996,35877.939999999995,7115.871999999999,929.3496,,19176.465,26484.294899999997,960.1262,,,,,,,,,,,,,,,,10300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,5,,,25,10,11,58,,,,,,89,517,32,183,11,,,,,,,,,,,,,669,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,319214,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-04A-JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,286864.8595,2697.0299999999997,,97699.73460000001,,,,31947.030000000002,43596.7,7598.303999999999,1161.687,,17018.074999999997,30416.136999999995,960.1262,,,,,,,,,,,,,,,,11900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,6,,,27,9,9,57,,,,,,77,659,30,207,10,,,,,,,,,,,,,666,,,,,,,,,,,,,,,,,,,,,,,,,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,319215,
[10162],CONVERGENT MARGIN,CHIAPANECAN VOLCANIC ARC / CHIAPANECAN VOLCANIC ARC-CENTRAL AREA / MEXICO / APAS / PACIFIC OCEAN,"CENTRAL CHIAPAS, APAS COLLAPSE STRUCTURE",16.25,17,-92,-92.33,SUBAERIAL,,,s AC-04B-JL [10162],ANDESITE [10162],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10162] ,286023.4765,2697.0299999999997,,100822.31550000001,,,,32491.14,43739.64,7598.303999999999,1239.1328,,16603.,30638.694099999997,1003.7683000000001,,,,,,,,,,,,,,,,13200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,6,,,30,10,25,70,,,,,,78,674,32,216,11,,,,,,,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,319216,
