Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN,VOLCANIC PHASE I,17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s A-3I [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,200903.563,,,,,,,,,22734.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,84,1.8,,,,,,,,,,,,,,9.84,,,,,,,,,,,,2.11,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,101830,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN,VOLCANIC PHASE I,17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s A-4I [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,248675.42000000004,,,,,,,,,28644.399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,81,0.9,,,,,,,,,,,,,,5.45,,,,,,,,,,,,2.34,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,101831,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN,VOLCANIC PHASE I,17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s A-5I [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,249423.31600000002,,,,,,,,,31418.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,72,0.9,,,,,,,,,,,,,,0.16,,,,,,,,,,,,2.12,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,101832,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN,VOLCANIC PHASE I,17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s A-7I [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,246805.68,,,,,,,,,30815.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,52,7,,,,,,,,,,,,,,4.77,,,,,,,,,,,,1.85,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,101833,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN,VOLCANIC PHASE I,17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s A-8I [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,258491.555,,,,,,,,,27498.623999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,71,1.1,,,,,,,,,,,,,,7.29,,,,,,,,,,,,2.9,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,101834,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN,"VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA",17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s AV-148III [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,261155.9345,,,,,,,,,52404.17599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,114,3.8,,,,,,,,,,,,,,13.2,,,,,,,,,,,,2.53,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,101835,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN,"VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA",17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s AV-159III [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,269429.53400000004,,,,,,,,,15317.215999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,142,4.6,,,,,,,,,,,,,,18.1,,,,,,,,,,,,3.16,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,101836,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN,"VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA",17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s AV-54AIII [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,270972.06950000004,,,,,,,,,11337.151999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,120,3.6,,,,,,,,,,,,,,17.7,,,,,,,,,,,,2.99,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,101837,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN,"VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA",17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s AV-56III [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,269102.32950000005,,,,,,,,,18392.719999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,123,5.7,,,,,,,,,,,,,,19.8,,,,,,,,,,,,3.14,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,101838,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN,"VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA",17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s AV-74III [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,264334.4925,,,,,,,,,15859.951999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,86,2.6,,,,,,,,,,,,,,14,,,,,,,,,,,,2.29,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,101839,
[4696],CONVERGENT MARGIN,GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / AVISPA FORMATION / CARIBBEAN SEA / ATLANTIC OCEAN,"VOLCANIC PHASE III, LATE STAGE POST PERCHAS LAVA",17.9,18.5,-65.6,-67.6,SUBAERIAL,,,s AVB-43III [4696],NOT GIVEN [4696],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4696] ,273589.70550000004,,,,,,,,,9166.207999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,128,4.8,,,,,,,,,,,,,,34.3,,,,,,,,,,,,2.9,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,101840,
