Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3910][3438],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / HALMAHERA ARC / IBU / PACIFIC OCEAN,,1.48,1.48,127.63,127.63,SUBAERIAL,,,s NH44 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,285602.78500000003,5453.994,,88967.0931,,,,56121.06,42667.59,15558.431999999999,,,15440.79,27300.3376,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,15326,,,,181,5.4,,,,3.8,24.6,84.8,,,,,,34.67,393.5,30.4,110.2,3.3,,,,,,,,,,,,2.37,336.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70414,,18.569,,15.589,,38.554,,,,,,,,,,,,,,,11647-NH44,
[3910],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / HALMAHERA ARC / IBU / PACIFIC OCEAN,,1.48,1.48,127.63,127.63,SUBAERIAL,,,s NH45 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,245169.65750000003,5034.455999999999,,102621.76890000001,,,,65526.39,72399.11,28765.007999999994,,,5562.005,22478.267099999997,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5318,,,,,,,,,,,,,,,,,8.24,338.2,,,,,,,,,,,,,,,0.31,132.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70414,,18.564,,15.583,,38.523,,,,,,,,,,,,,,,11647-NH45,
[3910][3438],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / HALMAHERA ARC / IBU / PACIFIC OCEAN,,1.48,1.48,127.63,127.63,SUBAERIAL,,,s NH46 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,250872.36450000003,4854.654,,96694.1577,,,,66536.88,66252.69,29187.136,,,9380.695,19659.210499999997,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,9399,,,,,,,,,,,,,,,,,19.54,403.1,,,,,,,,,,,,,,,1.28,214.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70357,,18.611,,15.634,,38.668,,,,,,,,,,,,,,,11647-NH46,
[3910][3438],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / HIRI / PACIFIC OCEAN,,0.9,0.9,127.3,127.3,SUBAERIAL,,,s H1 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,242318.30400000003,5933.465999999999,,100081.3641,,,,74387.61,69325.9,29729.871999999996,,,5395.975,22255.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,5436,,,,270,19.1,,,,12.2,80.4,61.8,,,,,,10.7,376.2,25.6,76,4,,,,,,,,,,,,0.35,133.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70389,,18.627,,15.63,,38.724,,,,,,,,,,,,,,,12899-H1,
[3910][3438],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / MOTI / PACIFIC OCEAN,,0.5,0.5,127.35,127.35,SUBAERIAL,,,s MT3 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,236568.85350000003,5633.795999999999,,102727.61910000001,,,,64438.16999999999,75472.32,37086.96,,,5562.005,23516.866899999997,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,5581,,,,242.6,54.1,,,,31.6,31.4,59.8,,,,,,14.79,361.2,20.7,86.6,5.5,,,,,,,,,,,,0.22,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70427,,18.545,,15.5833,,38.532,,,,,,,,,,,,,,,12902-MT3,
[3910],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / MAKIAN / PACIFIC OCEAN,,0.3,0.3,127.35,127.35,SUBAERIAL,,,s MK10 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,236989.54500000004,6233.1359999999995,,103574.4207,,,,68246.93999999999,77259.07,30453.519999999997,,,10625.92,18991.5392,349.1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10611,,,,293.3,21.6,,,,18.7,144.4,69.3,,,,,,22.88,563.1,25.5,96.4,3.7,,,,,,,,,,,,1.07,224.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70371,,18.554,,15.571,,38.484,,,,,,,,,,,,,,,12903-MK10,
[3910],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / MAKIAN / PACIFIC OCEAN,,0.3,0.3,127.35,127.35,SUBAERIAL,,,s MK2 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,277703.1335,3296.37,,98652.3864,,,,48736.71,51601.34,16221.775999999998,,,10708.935,29822.651399999995,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9933,,,,98.4,7.3,,,,7.1,40,60,,,,,,34.65,331.7,25.9,129.3,3.9,,,,,,,,,,,,0.814,237.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70408,,,,,,,,,,,,,,,,,,,,,12903-MK2,
[3910],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / MAKIAN / PACIFIC OCEAN,,0.3,0.3,127.35,127.35,SUBAERIAL,,,s MK3 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,247460.089,4734.786,,104579.99760000002,,,,66847.8,68110.90999999999,28523.792,,,7139.29,21662.2244,305.4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7691,,,,185.1,11.1,,,,13.3,69.1,72.8,,,,,,23.58,352.8,24.3,98.2,3.3,,,,,,,,,,,,1.4,162.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70435,,,,,,,,,,,,,,,,,,,,,12903-MK3,
[3910][3438],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / GORIACI / PACIFIC OCEAN,,0.15,0.15,127.15,127.15,SUBAERIAL,,,s GG2 [3910],NOT GIVEN [3910],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,240027.87250000003,5034.455999999999,,106167.7506,,,,64438.16999999999,77330.54000000001,31478.688,,,5146.93,17359.4538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,5164,,,,290.3,22.8,,,,26.7,124.3,67.3,,,,,,4.82,438.5,22.7,78.3,4.6,,,,,,,,,,,,0.208,138.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70393,,18.524,,15.58,,38.434,,,,,,,,,,,,,,,12904-GG2,
[3910][3438],CONVERGENT MARGIN,HALMAHERA ARC / HALMAHERA ARC / BACAN (BATJAN) / PACIFIC OCEAN,,-0.4,-0.4,127.4,127.4,SUBAERIAL,,,s BC35 [3910],BASALT [3910] / NOT GIVEN [3438],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3910] ,242178.07350000003,5094.389999999999,,100451.8398,,,,72599.81999999999,57461.88,33951.151999999995,,,8550.545,26632.666299999997,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,8572,,,,329.5,20.9,,,,23.1,154,84.5,,,,,,14.41,336.3,19.1,62.8,2.1,,,,,,,,,,,,0.29,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7038,,18.337,,15.526,,38.127,,,,,,,,,,,,,,,12906-BC35,
