Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2475],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / GORELY / PACIFIC OCEAN,"CALDERA STAGE, EASTERN VOLCANIC FRONT",52.45,52.45,158.12,158.12,SUBAERIAL,1829,1829,s G-578 [2475],DACITE [2475],,,,,,,,PHYRIC [2475] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2475] ,297288.66000000003,6113.268,,79387.65000000001,,,,45549.780000000006,28159.18,10613.503999999999,1084.2412000000002,,25153.545,31603.1082,1396.5472,,,,,,,,,,,,,,,,6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,108,160,,,,8,,,,,,,,,327,35.9,263,7.8,,,,,,,,,,,,,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10047-G-578,
[2475][2484],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / NORTHERN KAMCHATKA SEGMENT / VALOVAYAM VOLCANIC FIELD / PACIFIC OCEAN,DIKE,61,61,163,163,SUBAERIAL,,,s VAL29 [2475],ANDESITE [2475],,,,NEOGENE [2475],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2475] ,269990.456,5394.0599999999995,,93571.5768,,,,47959.409999999996,54674.55,24000.992,929.3496,,8799.59,27226.151899999997,1352.9051,,,,,,,,,,,,,,,,7700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,148,64,,,,34,,,,,,,,17,746,14.7,104,10.3,,,,,,,,,,,,,481,14.8,29.4,,15,2.7,0.94,3,,2.7,,,,1.5,0.22,2.8,,,,,,,,,,,,1.8,0.6,0.51312,,,0.70317,,18.2348,,15.4733,,37.9096,,,,,,,,,,,,,,,10048-VAL29,
[2475][2484][6279],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / NORTHERN KAMCHATKA SEGMENT / VALOVAYAM VOLCANIC FIELD / PACIFIC OCEAN,DIKE,61,61,163,163,SUBAERIAL,,,s VAL55 [2475],"BASALT, ALKALINE [2475] / BASALT [2484] / ANDESITE [6279]",,,,NEOGENE [2475],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2475] ,224742.74800000002,12166.601999999999,,84097.9839,,,,71356.14,69111.49,51318.704,1239.1328,,16270.94,22329.895699999997,2182.105,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,281,339,,,,136,,,,,,,,22,667,22,162,32.1,,,,,,,,,,,,,448,25,49.3,,23.1,4.6,1.58,4.6,,3.9,,,,2,0.3,3.7,,,0.000314,6.e-6,,,,,,,,3,0.9,0.51311,,,0.70301,,18.491,,15.614,,38.637,,,,,0.1679,,236.6,,,,,,,,10048-VAL55,
[2475][3268],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / NORTHERN KAMCHATKA SEGMENT / VALOVAYAM VOLCANIC FIELD / PACIFIC OCEAN,CINDER CONE,61,61,163,163,SUBAERIAL,,,s 8710 [2475],"BASALT, ALKALINE [2475] / BASALT [3268]",,,,NEOGENE [2475],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2475] ,220161.885,14444.094,,84680.16,,,,76253.13,73614.1,46675.296,1316.5786,,17267.12,25668.2522,2531.2418,,,,,,,,,,,,,,,,4700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,244,350,,,,115,,,,,,,,34,768,1.8,167,48.3,,,,,,,,,,,,,430,29.4,56.6,,30.1,5.7,1.97,6.1,,4.6,,,,2.2,0.34,4.9,,,,,,,,,,,,4.4,1.2,0.513091,,,0.70294,,18.555,,15.646,,38.746,,,,,,,,,,,,,,,10049-8710,
[15899],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / KSUDACH / PACIFIC OCEAN,,51.6,51.6,157.4,157.4,SUBAERIAL,,,s KA139/7 [15899],NOT GIVEN [15899],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15899] ,210626.21100000004,1138.7459999999999,,92883.55050000001,,9092.2,43995.18,,111850.55,82556.17599999999,851.9038,,83.015,3338.3565,0.,5000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,70,,,54,,123,4.34,,,52,68,18,35,13,1.7,0.5,,,0.5,206,4,2.6,0.9,0.2,,,,,,,0.5,,,,0.3,18,1,1,,1,0.3,0.62,,0.24,,,,,0.29,0.05,0.7,,,,,,,,,,1,,0.1,0.03,,,,0.7034,,,,,,,,,,,,,,,,,,,,,10059-K139/7,
[15899],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / KSUDACH / PACIFIC OCEAN,,51.6,51.6,157.4,157.4,SUBAERIAL,,,s KA1/7 [15899],"ANDESITE, BASALTIC [15899]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15899] ,265456.33650000003,5034.455999999999,,86426.6883,,45810.7,21997.59,,52744.86,21407.92,1703.8076,,5312.96,29822.651399999995,829.1999000000001,24600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25,,,31,,158,3,,,19,2,67,96,21,1.6,6.5,,,7.2,303,34,73,1.7,0.6,,,,,,,1.9,,,,0.2,198,4,13.7,,13.3,3.9,1.28,,0.8,,,,,3.2,0.5,1.9,,,,,,,,,,14,,0.7,0.2,,,,0.7035,,,,,,,,,,,,,,,,,,,,,10059-KA1/7,
[15899][3043],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / KSUDACH / PACIFIC OCEAN,,51.6,51.6,157.4,157.4,SUBAERIAL,,,s KA110/7 [15899],ANDESITE [15899],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15899] ,274290.858,4854.654,,86373.7632,,11959.74,53245.049999999996,,48885.479999999996,16402.688000000002,1626.3618,,6392.155,30341.951299999997,698.2736,30800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70345,,,,,,,,,,,,,,,,,,,,,10059-KA110/7,
[15899][3043],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / KSUDACH / PACIFIC OCEAN,,51.6,51.6,157.4,157.4,SUBAERIAL,,,s KA113/7 [15899],ANDESITE [15899],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15899] ,274618.0625,5154.324,,85262.3361,,17485.,44383.83,,46384.03,18694.239999999998,1471.4702,,7554.365000000001,31825.6653,785.5577999999999,25700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70347,,,,,,,,,,,,,,,,,,,,,10059-KA113/7,
[15899],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / KSUDACH / PACIFIC OCEAN,,51.6,51.6,157.4,157.4,SUBAERIAL,,,s KA17/7 [15899],ANDESITE [15899],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15899] ,268775.125,5214.258,,87114.7146,,10840.7,59852.1,,51887.22,18332.415999999997,1703.8076,,5478.990000000001,29080.7944,698.2736,29900.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,520,,,30,,188,2,,,19,1,72,101,20,1.8,5.3,,,9.6,328,32,73,1.5,0.8,,,,,,,1.3,,,,0.8,182,3.7,11.7,,11.5,3.5,1.25,,0.8,,,,,2.7,0.5,1.7,,,,,,,,,,5,,0.8,0.3,,,,0.7034,,,,,,,,,,,,,,,,,,,,,10059-KA17/7,
[15899],CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / KSUDACH / PACIFIC OCEAN,,51.6,51.6,157.4,157.4,SUBAERIAL,,,s KA3/7 [15899],NOT GIVEN [15899],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15899] ,211981.77250000002,899.0099999999999,,123103.78260000002,,9232.08,25728.63,,126001.60999999999,47519.551999999996,619.5664,,83.015,2003.0139000000001,0.,5699.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,65,,,42,,94,4.19,,,29,52,12,20,13,1.5,0.5,,,0.5,279,2.9,1.1,1,0.5,,,,,,,0.6,,,,0.8,19,1,1,,1,0.3,0.38,,0.15,,,,,0.28,0.04,0.5,,,,,,,,,,1,,0.7,0.03,,,,0.7034,,,,,,,,,,,,,,,,,,,,,10059-KA3/7,
