Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[13460][9592],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 46325 [13460],BASALT [13460],,,,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,241523.6645,6113.268,,81187.1034,,15176.98,84492.51,,73542.62999999999,29850.48,1781.2534,,2739.4950000000003,13353.426,436.42100000000005,,,1000.,,,,,,,,,,,,,12100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,424,19.6,,,34.1,17.7,178.6,67.1,11.6,0.57,,,,,141.7,20,30.7,0.53,,,,,,,,,,,,0.2,95.4,2.49,7,1.18,6.26,2.17,0.81,3.05,0.46,3.41,0.77,2.07,0.39,2.51,0.33,1.2,0.04,,,,,,,,,1.66,,0.3,0.1,0.51305,,,0.70353,,18.647,,15.555,,38.286,,,,,,,,,,,,,,,10203-46325,
[13460][9592],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 46329 [13460],BASALT [13460],,,,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,240448.564,4914.588,,95423.95530000002,,12309.44,68324.67,,79474.64,27800.144,1471.4702,,2324.42,13279.2403,436.42100000000005,,,1200.,,,,,,,,,,,,,9800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,351.4,40.2,,,40.2,33.9,140.1,67.9,18.1,0.91,,,,,216.2,24.5,43,1.99,,,,,,,,,,,,0.25,119.6,3.07,8.68,1.47,7.72,2.63,1.02,3.45,0.6,3.96,0.91,2.31,0.42,2.67,0.41,1.49,0.27,,,,,,,,,1.87,,0.29,0.16,0.51304,,,0.70347,,18.652,,15.566,,38.333,,,,,,,,,,,,,,,10203-46329,
[13460][9592],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 46330 [13460],BASALT [13460],,,,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,240542.05100000004,5513.928,,91454.57280000001,,14127.880000000001,78585.03,,74686.15,25991.023999999998,1858.6992,,3486.6299999999997,14095.283,567.3473,,,600.,,,,,,,,,,,,,11299.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,335.7,12,,,32.9,19.1,96.6,65.1,12.2,0.6,,,,,162.7,19.3,34.1,0.64,,,,,,,,,,,,0.25,113.9,3.25,8.71,1.47,7.7,2.46,0.87,3.13,0.51,3.49,0.79,2.05,0.38,2.41,0.34,1.32,0.03,,,,,,,,,1.5,,0.41,0.11,0.51304,,,0.70345,,18.656,,15.556,,38.305,,,,,,,,,,,,,,,10203-46330,
[13460][9592],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 46357 [13460],BASALT [13460],,,,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,229089.8935,4495.049999999999,,101457.41670000002,,12099.619999999999,67080.99,,87050.45999999999,29066.528,1394.0244,,2075.375,11869.712,392.77889999999996,,,2100.,,,,,,,,,,,,,9600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,350.1,45.6,,,42.6,36.8,147.5,66.3,14.3,0.69,,,,,207,17.3,37.9,0.7,,,,,,,,,,,,0.23,109.4,3.31,9.03,1.46,7.48,2.54,0.93,2.84,0.51,3.22,0.73,1.98,0.31,2.11,0.33,1.55,0.2,,,,,,,,,2.59,,0.37,0.17,0.51303,,,0.70341,,18.685,,15.577,,38.371,,,,,,,,,,,,,,,10203-46357,
[13460][9592],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 46358 [13460],"BASALT [13460] / ANDESITE, BASALTIC [9592]",,,,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,264100.775,5813.597999999999,,83674.5831,,12659.140000000001,70501.11,,60106.270000000004,21407.92,1703.8076,,3901.705,18546.425,610.9894,,,600.,,,,,,,,,,,,,10100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,301.5,15.4,,,26.1,13.1,86.1,76.2,16.1,1.13,,,,,186.5,25.9,49.8,1.42,,,,,,,,,,,,0.43,133.8,2.65,7.52,1.17,6.95,2.21,0.82,2.86,0.56,3.99,0.8,2.15,0.4,2.53,0.39,1.27,,,,,,,,,,1.3,,0.19,,0.51305,,,0.70349,,18.656,,15.559,,38.32,,,,,,,,,,,,,,,10203-46358,
[13460][9592],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 46362 [13460],"BASALT [13460] / ANDESITE, BASALTIC [9592]",,,,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,259566.65550000002,4255.313999999999,,96323.682,,10281.18,57053.82,,73113.81,19538.496,1394.0244,,2158.39,15356.439899999998,349.1368,,,1000.,,,,,,,,,,,,,8200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,296.5,18.1,,,27.9,19.3,74.4,66.1,13.7,0.57,,,,,184.6,22.8,29,0.53,,,,,,,,,,,,0.36,104.2,2.61,7.61,1.36,7.35,2.73,1.1,3.35,0.71,4.6,0.99,2.78,0.4,3.18,0.45,1.29,0.09,,,,,,,,,2.58,,0.19,0.16,0.51307,,,0.70352,,18.667,,15.574,,38.356,,,,,,,,,,,,,,,10203-46362,
[13460][9592],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 46368 [13460],"BASALT [13460] / ANDESITE, BASALTIC [9592]",,,,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,265362.8495,4195.379999999999,,92777.70030000001,,10211.24,56820.63,,68539.73,19840.016,1394.0244,,2158.39,15133.8828,349.1368,,,800.,,,,,,,,,,,,,8100.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,279.1,16.6,,,27.2,19.7,64.6,67.3,13.5,0.54,,,,,172.6,25.3,28.9,0.46,,,,,,,,,,,,0.16,106.8,2.48,7.34,1.34,7.55,2.75,1.07,3.67,0.7,4.8,1.08,3.02,0.41,3.53,0.48,1.22,0.1,,,,,,,,,3.78,,0.15,0.18,0.51305,,,0.70352,,18.641,,15.565,,38.319,,,,,,,,,,,,,,,10203-46368,
[13460][2495][2770],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 7125 [13460],BASALT [13460],100000 [2495],200000 [2495],,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,231473.81200000003,4315.248,,93624.50190000002,,11330.28,62805.840000000004,74076.68999999999,92696.59000000001,38775.471999999994,1471.4702,,1494.27,9718.3267,261.8526,9900.,,600.,,,,,,,,,,,,,9000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,,346.8,137.7,,,40.2,58.3,84.3,59.7,12.7,0.8,,,,2.6,161.6,14.8,26,0.5,,,,,,,,,,,,0.19,85.3,1.96,5.66,0.97,5.07,1.76,0.7,2.3,0.4,2.85,0.59,1.58,0.25,1.87,0.22,0.96,0.11,,,,,,,,,1.95,,0.197,0.075,0.51305,,,0.7034,,18.639,,15.563,,38.343,,,,,,,,,,,,,,,10203-7025,
[13460][9592],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 7053 [13460],"BASALT [13460] / ANDESITE, BASALTIC [9592]",,,,,,,,PORPHYRITIC [13460] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [13460] ,256294.6105,6233.1359999999995,,78276.2229,,14617.46,81072.39,,61249.79,22433.088,1858.6992,,3403.615,18546.425,480.0631,,,2200.,,,,,,,,,,,,,11600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,365.8,24,,,27.3,16.6,113.1,73.6,12.4,0.59,,,,,161.8,21.2,34.4,0.55,,,,,,,,,,,,0.27,115.6,2.71,7.66,1.34,6.95,2.5,0.98,3.12,0.52,3.98,0.92,2.41,0.41,2.76,0.38,1.46,0.03,,,,,,,,,1.49,,0.22,0.12,0.51304,,,0.70346,,18.643,,15.546,,38.268,,,,,,,,,,,,,,,10203-7053,
[13460][2495],CONVERGENT MARGIN,KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / PACIFIC OCEAN,,-29.25,-29.25,-177.87,-177.87,SUBAERIAL,,,s 7090 [13460],BASALT [13460],50000 [2495],100000 [2495],,,,,,APHYRIC [13460] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [13460] ,248955.88100000002,6053.334,,80181.5265,,14827.28,82316.06999999999,97162.5,66610.04000000001,27739.839999999997,1936.145,,2822.51,15356.439899999998,392.77889999999996,,,600.,,,,,,,,,,,,,11800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,461.4,17.8,,,31.8,17.8,142.1,68.1,11.9,0.6,,,,4.9,149.1,19.4,28.4,0.54,,,,,,,,,,,,0.3,102.7,2.35,6.69,1.17,5.98,2.21,0.88,3.05,0.41,3.08,0.72,1.89,0.38,2.32,0.37,1.45,0.04,,,,,,,,,1.76,,0.252,0.169,0.51304,,,0.70345,,18.434,,15.535,,38.051,,,,,,,,,,,,,,,10203-7090,
