Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[7321][2953][2335][4190],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A) / PACIFIC OCEAN,,47.12,47.12,152.23,152.23,SUBAERIAL,,,s V-17-603 [7321] / s V17-603 [4190],"BASALT [7321] / NOT GIVEN [2953] / ANDESITE, BASALTIC [2335]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7321] ,240869.25550000003,,,,,,,,,48062.28799999999,,,12120.19,,,,,,,,,,,,,,,,,,2900.,,,,,,,,,,,,,,,0.75,6.17,,,,,,,,,,,,,,,,,,,,34,62,,,0.44,,,,,,,5.92,1,,,,,,,0.6,0.05,,,0.31,341,14,,,,,,,,,,,,,,,,0.3,,,,,,,0.053,3.1,,2.7,,,,,0.70296,,,,,,,,,,,,,,,,,,,,,10008-B-17-603
[11076][14714],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A) / PACIFIC OCEAN,,47.12,47.12,152.23,152.23,SUBAERIAL,,,s KY-20/76 [11076],"ANDESITE, BASALTIC [11076]",,,,QUATERNARY [11076],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11076] ,252601.874,4315.248,,90713.6214,,,,45705.24,65895.34000000001,42996.75199999999,1084.2412000000002,,15689.835,19585.0248,1221.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.15,,17.91,84.79,3.13,,,,,,,,,,,,1.25,214.5,13.23,33.94,3.53,16.22,3.69,1.38,3.61,0.75,4.13,0.69,2.17,0.31,2.02,0.32,2.56,0.2,,,,,,,,,28.37,,3.23,1.06,0.513058,,,0.702993,,18.021,,15.576,,38.109,,,,,,,,,,,,,,,10008-KY-20/76
[6818][3042],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A) / PACIFIC OCEAN,,47.12,47.12,152.23,152.23,SUBAERIAL,,,s V15-307 [6818] / s V-15-307 [3042],BASALT [6818] / ANDESITE [3042],,,,HOLOCENE [6818] / QUATERNARY [3042],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6818] ,272140.657,4015.578,,86267.913,,15666.560000000001,44850.21,,50314.88,20262.143999999997,1084.2412000000002,,17350.135,25668.2522,916.4841,,3400.0000000000005,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,340,,,28,25,59,64,,,,,,47,470,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513073,,,0.70306,,,,,,,,,,,,,,,,,,,,,10008-V-15-307
[3042],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / CHIRPOY (CHERNYYE) / CHERNYI / PACIFIC OCEAN,,46.5,46.5,150.8,150.8,SUBAERIAL,,,s B-15-327 [3042],ANDESITE [3042],,,,QUATERNARY [3042],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3042] ,281629.5875,4315.248,,82563.156,,11679.98,48892.17,,51529.87,16101.167999999998,1161.687,,11373.055,24407.0953,567.3473,,6000.,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,70,,,18,15,62,77,,,,,,27,245,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51309,,,0.70319,,,,,,,,,,,,,,,,,,,,,10009-B-15-327
[3042],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / DEMON / PACIFIC OCEAN,,45,45,148,148,SUBAERIAL,,,s B-15-404 [3042],BASALT [3042],,,,QUATERNARY [3042],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3042] ,237456.98,5214.258,,87591.0405,,25947.739999999998,63971.79,,74900.56,31358.079999999998,1471.4702,,3652.66,18546.425,305.4947,,5400.,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,70,,,28,17,78,88,,,,,,10,320,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513066,,,0.70322,,,,,,,,,,,,,,,,,,,,,10010-B-15-404
[3042],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / ITURUP (ITIRUP) / BERUTARUBE / PACIFIC OCEAN,,44.47,44.47,146.93,146.93,SUBAERIAL,,,s 107/81 [3042],"ANDESITE, BASALTIC [3042]",,,,QUATERNARY [3042],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3042] ,258818.75950000001,6113.268,,93994.97760000001,,22940.32,50291.31,,62035.96,24483.423999999995,1316.5786,,1743.3149999999998,20104.324699999997,610.9894,,3000.,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,31,88,,,,,,6.5,220,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513111,,,0.70341,,,,,,,,,,,,,,,,,,,,,10011-107/81
[3042],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / KUNASHIR / RURUI / PACIFIC OCEAN,,44,44,145.5,145.5,SUBAERIAL,,,s 36/25-77 [3042],ANDESITE [3042],,,,QUATERNARY [3042],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3042] ,266811.898,5753.664,,94047.9027,,11819.859999999999,52856.4,,50743.7,23277.343999999997,1006.7954,,9795.769999999999,21291.2959,829.1999000000001,,5699.999999999999,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,37,64,,,,,,45,300,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513003,,,0.70323,,,,,,,,,,,,,,,,,,,,,10018-36/25-77
[3043],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / KUNASHIR / ALEKHIN FORMATION / PACIFIC OCEAN,,44,44,146,146,SUBAERIAL,,,s B7/8 [3043],DACITE [3043],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3043] ,319258.10500000004,,,,,,,,,,,,8218.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70384,,,,,,,,,,,,,,,,,,,,,10051-B7/8
[3043],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / KUNASHIR / PACIFIC OCEAN,"1.3 KM NORTH OF R. OZURNAYA, PLATEAU LAVAS",44,44,146,146,SUBAERIAL,,,s C222 [3043],BASALT [3043],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3043] ,234652.37000000002,,,,,,,,,,,,913.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70347,,,,,,,,,,,,,,,,,,,,,10052-C222
[11076][14714],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / PARAMUSHIR / EBEKO / PACIFIC OCEAN,,50.68,50.68,156,156,SUBAERIAL,,,s KY-46/72 [11076],"BASALT [11076] / ANDESITE, BASALTIC [14714]",,,,QUATERNARY [11076],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11076] ,247647.063,4435.116,,86267.913,,,,70812.03,57890.7,45228.,1316.5786,,11622.099999999999,19659.210499999997,1178.3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.62,,18.67,68.25,1.66,,,,,,,,,,,,1.56,323.3,9.51,22.06,3.14,14.01,3.5,1.08,3.32,0.59,3.61,0.73,2.11,0.31,2.2,0.33,2.3,0.35,,,,,,,,,6.22,,2.76,1.01,0.513106,,,0.703245,,18.447,,15.511,,38.222,,,,,,,,,,,,,,,10056-KY-46/72
