Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04-5-11 [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,244328.27450000003,3536.1059999999998,,80393.2269,,8672.56,57986.58,,52673.39,74113.616,1084.2412000000002,,4482.81,21884.7815,349.1368,,,,,,,,,,,,,,,,57000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,195,566,,,,283,,,,,,,,8,115,14,61,,,,,,,,,,,,,,71,2.34,5.65,0.9,4.63,1.48,0.55,1.88,0.28,2.27,,1.48,,1.48,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527500,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"ARAKABESAN, KOROR AND MALAKAL",7.33,7.33,134.5,134.55,SUBAERIAL,,,s PA-86-14 [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,250778.8775,2816.8979999999997,,63563.0451,,7413.64,49358.549999999996,,89337.5,72063.27999999998,1239.1328,,415.07500000000005,6602.5273,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,659,,,,205,157,54,,,,,,1,133,15.7,20,0.23,,,,,,,,,,,,,13.2,0.99,2.18,0.16,2.46,0.99,0.37,0.87,0.26,1.4,0.33,1.07,0.17,1.14,0.19,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527501,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04-5-57 [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,238064.6455,3536.1059999999998,,84150.909,,8532.68,56742.9,,68325.32,68867.16799999999,1858.6992,,1494.27,19881.7676,305.4947,,,,,,,,,,,,,,,,48600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,234,870,,,52,300,80,80,,,,,,17,131,15.8,44,0.6,,,,,,,,,,,,0.005,10,2.72,7.24,1.06,5.46,1.58,0.706,2.07,0.41,2.73,0.56,1.7,0.259,1.7,0.275,1.3,0.03,,,,,,,,,0,,0.22,0.13,,,,,,,,,,,,,,,,,,,,,,,,,527502,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04- 5-4A [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,230819.40300000002,3715.908,,90343.14570000001,,7973.159999999999,52856.4,,75615.26,68505.344,929.3496,,2075.375,19510.839099999997,261.8526,,,,,,,,,,,,,,,,54100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,275,770,,,40,180,90,70,,,,,,5,138,11.6,37,0.7,,,,,,,,,,,,0,17,2.17,5.35,0.91,4.51,1.4,0.578,1.71,0.3,1.94,0.41,1.24,0.185,1.17,0.181,1,0.73,,,,,,,,,,,0.2,0.14,,,,,,,,,,,,,,,,,,,,,,,,,527503,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04-5-12 [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,252555.13050000003,3356.304,,80340.3018,,7973.159999999999,53245.049999999996,,46526.97,65490.14399999999,1161.687,,3901.705,30935.436899999997,392.77889999999996,,,,,,,,,,,,,,,,40300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,188,530,,,36,170,50,70,,,,,,2.7,217,17.4,56,0.6,,,,,,,,,,,,0.244,16,3.38,8.85,1.24,6.24,1.89,0.66,3.35,0.44,2.84,0.61,1.78,0.29,1.86,0.299,1.654,0.057,,,,,,,,,0.85,,0.327,0.171,,,,,,,,,,,,,,,,,,,,,,,,,527504,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04-5-17 [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,237129.77550000002,3476.1719999999996,,87696.8907,,7973.159999999999,53245.049999999996,,77330.54000000001,64404.67199999999,2013.5908,,1411.255,16840.1539,261.8526,,,,,,,,,,,,,,,,34300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,288,590,,,43,200,80,60,,,,,,1,140,12.6,39,0.3,,,,,,,,,,,,0.005,16,2.15,5.58,0.87,4.69,1.49,0.606,1.89,0.35,2.29,0.48,1.45,0.215,1.39,0.216,1.1,0.005,,,,,,,,,0,,0.18,0.12,,,,,,,,,,,,,,,,,,,,,,,,,527505,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04-5-18A [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,238204.87600000002,3536.1059999999998,,86003.2875,,7553.52,50291.31,,77187.6,64344.367999999995,1084.2412000000002,,2075.375,16765.9682,261.8526,,,,,,,,,,,,,,,,50900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,262,734,,,44,210,110,60,,,,,,1.4,131,13,39,0.369,,,,,,,,,,,,0.057,15,1.93,5.4,0.79,4.56,1.4,0.572,1.82,0.34,2.24,0.46,1.33,0.218,1.35,0.216,1.07,0.036,,,,,,,,,0.878,,0.183,0.111,,,,,,,,,,,,,,,,,,,,,,,,,527506,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04-5-14 [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,235961.188,3775.8419999999996,,90290.2206,,7623.460000000001,50835.42,,75114.97,64284.064,851.9038,,1992.36,19288.282,349.1368,,,,,,,,,,,,,,,,56200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,258,770,,,40,180,90,70,,,,,,2,141,11.1,47,0.5,,,,,,,,,,,,0,16,2.26,5.55,0.82,4.34,1.4,0.609,1.72,0.3,1.93,0.41,1.24,0.183,1.17,0.168,1.2,0.7,,,,,,,,,,,0.21,0.15,,,,,,,,,,,,,,,,,,,,,,,,,527507,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04-5-18B [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,237503.72350000002,3476.1719999999996,,86267.913,,8182.98,54488.729999999996,,76401.43,64223.759999999995,2091.0366,,1909.345,16691.7825,261.8526,,,,,,,,,,,,,,,,35500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,283,700,,,44,200,110,60,,,,,,1.4,140,12.9,39,0.3,,,,,,,,,,,,0.057,18,2.14,5.4,0.89,4.73,1.53,0.599,1.9,0.38,2.34,0.49,1.47,0.219,1.42,0.222,1.068,0.036,,,,,,,,,0.878,,0.183,0.111,,,,,,,,,,,,,,,,,,,,,,,,,527508,
[15303],CONVERGENT MARGIN,KYUSHU-PALAU RIDGE / PALAU ARC / PALAU ISLANDS / PACIFIC OCEAN,"PALAU TRENCH, INNER TRENCH WALL",7.778,7.793,134.755,134.778,SUBAQUATIC,2686,4161,s INDP-04-5-42 [15303],BASALT [15303],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15303] ,237690.69750000004,3476.1719999999996,,86162.06280000001,,7763.340000000001,51457.26,,75829.67,64223.759999999995,1006.7954,,1660.3000000000002,16617.5968,261.8526,,,,,,,,,,,,,,,,38900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,276,730,,,41,190,90,70,,,,,,2,134,13,41,0,,,,,,,,,,,,0.005,17,2.47,6.14,0.96,4.97,1.55,0.658,1.87,0.37,2.38,0.49,1.44,0.216,1.4,0.215,1.3,0.005,,,,,,,,,0,,0.23,0.15,,,,,,,,,,,,,,,,,,,,,,,,,527509,
