Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2494][13520][2577],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / SINT EUSTATIUS (STATIA) / CARIBBEAN SEA / ATLANTIC OCEAN,,17.55,17.55,-63,-63,SUBAERIAL,,,s SE8228 [2494],BASALT [2494] / NOT GIVEN [13520] / THOLEIITE [2577],8250 [2494],8250 [2494],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2494] ,255593.458,4375.182,,98176.0605,,,,55421.49,64894.76,25508.592,1394.0244,,4233.765,23516.866899999997,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,0.608,,,,,,,,,,,4234,,24.4,4376,194.4,14.2,,,31.12,10.5,41.4,50.9,15.3,,,,,10,290,20.5,70.7,1.718,,,,,,,,,,,,0.351,109.8,4.17,11.11,1.69,7.902,2.322,0.851,2.874,0.509,3.225,0.713,2.072,,2.161,0.348,2.008,0.136,,,,,,,,,1.957,,0.588,0.29,0.513028,,,0.70361,,18.895,,15.598,,38.506,,,,,,,,,,,,,,,10068-SE8228,
[2577],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / SINT EUSTATIUS (STATIA) / CARIBBEAN SEA / ATLANTIC OCEAN,,17.55,17.55,-63,-63,SUBAERIAL,,,s SE8237 [2577],THOLEIITE [2577],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2577] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5479,,,3477,,,,,,,20,43,,,,,,13,247,23,92,,,,,,,,,,,,,,161,4.9,12.8,,8.8,2.4,0.87,2.8,,3.18,,2.06,,2.29,0.37,,,,,,,,,,,,,,,0.513098,,,0.703766,,,,,,,,,,,,,,,,,,,,,10068-SE8237,
[2577],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / SINT EUSTATIUS (STATIA) / CARIBBEAN SEA / ATLANTIC OCEAN,,17.55,17.55,-63,-63,SUBAERIAL,,,s SE8240 [2577],THOLEIITE [2577],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2577] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5313,,,3837,,8,,,,6,26,45,,,,,,11,248,22,80,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513009,,,0.703723,,,,,,,,,,,,,,,,,,,,,10068-SE8240,
[2577],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / SINT EUSTATIUS (STATIA) / CARIBBEAN SEA / ATLANTIC OCEAN,,17.55,17.55,-63,-63,SUBAERIAL,,,s SE8241 [2577],THOLEIITE [2577],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2577] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5479,,,3837,,11,,,,8,24,44,,,,,,12,247,22,82,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513035,,,0.703688,,,,,,,,,,,,,,,,,,,,,10068-SE8241,
[3325][2577][3161][4700],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / REDONDA / CARIBBEAN SEA / ATLANTIC OCEAN,,16.97,16.97,-62.32,-62.32,SUBAERIAL,,,s R8202 [3325],BASALT [3325] / THOLEIITE [2577],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from CLINOPYROXENE [4700],WHOLE_ROCK [3325] / MINERAL / COMPONENT (INCL. GROUNDMASS) [4700] ,228341.99750000003,,,,,,,,,38534.255999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,4574,,29,,,,10,51,74,,,,,,4,484,12,34.7,0.94,,,,,,,,,,,,,56,3.89,9.41,,6.39,1.712,0.668,2.05,,2.45,,1.45,,1.4,0.21,,,,,,,,,,,,,,,0.513034,,,0.703221,,18.8926,,15.5962,,38.545,,,,,,,,,,6.02,,,,,10069-R8202,
[2494][2577][4700],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / REDONDA / CARIBBEAN SEA / ATLANTIC OCEAN,,16.97,16.97,-62.32,-62.32,SUBAERIAL,,,s R8204 [2494],BASALT [2494] / THOLEIITE [2577],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from CLINOPYROXENE [4700],WHOLE_ROCK [2494] / MINERAL / COMPONENT (INCL. GROUNDMASS) [4700] ,230164.99400000004,4674.852,,104738.7729,,,,71200.68000000001,79689.05,37388.479999999996,1471.4702,,3901.705,17136.8967,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3901,,40.6,4676,,22,,,55.9,9,57,77,,,,,,2,493,14,43,1,,,,,,,,,,,,0.2,58,4.05,9.83,,6.64,1.77,0.68,2.09,0.4,2.43,,1.54,,1.47,0.23,1.32,0.07,,,,,,,,,,,0.783,0.343,0.512983,,,0.7032,,18.664,,15.558,,38.245,,,,,,,,,,5.64,,,,,10069-R8204,
[3286][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2,12.2,-61.7,-61.7,SUBAERIAL,,,s 109 [3286],ANDESITE [3286],500000 [2773],2000000 [2773],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3286] ,243440.14800000002,6125.2548,,99975.5139,,59728.759999999995,,,63036.54,25991.023999999998,1153.9424199999999,,10891.568000000001,29748.465699999997,1771.8692600000002,,,,,,,,,,,,,,,,14200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,245,43,,,,54,33,106,,,,,,42.5,761,2.6,154,15.8,,,,,,,,,,,,,541,35.5,63.5,,30.13,5.929,1.722,5.16,,3.94,,2.03,,1.817,,,,,,,,,,,,39.2,,19,6,0.51281,,,0.70522,,19.486,,15.769,,39.17,,,,,,,,,,,,,,,10071-109,
[3325][3286][3396][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2,12.2,-61.7,-61.7,SUBAERIAL,,,s 225B [3325],BASALT [3325] / ANKARAMITE [3286],500000 [2773],2000000 [2773],,,,,,CLINOPYROXENE-PHYRIC [3325] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3325] ,229791.046,5945.4528,,90766.5465,,68751.02,,,90981.31,34735.104,1107.4749399999998,,8608.655499999999,21068.7388,829.1999000000001,,,,,,,,,,,,,,,,3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,5947,318,65,,,,47,340,117,,,,,,10.8,1180,18.9,76.3,3.79,,,,,,,,,,,,,367,18.65,39,,22.74,4.844,1.462,4.31,,3.45,,1.87,,1.658,,,,,,,,,,,,11.9,,7,2.53,0.512952,,,0.70441,,18.937,,15.652,,38.62,,,,,,,,,,,,,,,10071-225B,
[3286][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2,12.2,-61.7,-61.7,SUBAERIAL,,,s 230 [3286],ANKARAMITE [3286],500000 [2773],2000000 [2773],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3286] ,243206.43050000002,4926.574799999999,,93359.87640000001,,58679.66,,,75043.5,28222.271999999997,1076.4966200000001,,12086.984,25816.6236,1012.4967200000001,,,,,,,,,,,,,,,,3400.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,243,40,,,,34,81,57,,,,,,27.8,1035,18.9,111,8.1,,,,,,,,,,,,,452,,,,23,,,,,,,,,,,,,,,,,,,,,1.6,,13,,,,,0.70461,,,,,,,,,,,,,,,,,,,,,10071-230,
[3325][3286][3396][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2,12.2,-61.7,-61.7,SUBAERIAL,,,s 337 [3325],BASALT [3325] / ANDESITE [3286],500000 [2773],2000000 [2773],,,,,,CLINOPYROXENE-PHYRIC [3325] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3325] ,251246.31250000003,4584.951,,92989.4007,,54972.840000000004,,,71541.47,24604.032,1177.17616,,12966.943000000001,27522.894699999997,1025.58935,,,,,,,,,,,,,,,,5200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,4586,208,33,,,,31,163,40,,,,,,30.9,1022,18.8,126.8,7.5,,,,,,,,,,,,,498,26.8,50.4,,23.43,4.547,1.349,3.87,,3.11,,1.735,,1.643,,,,,,,,,,,,1.5,,13,5.4,0.512913,,,0.70455,,19.146,,15.719,,38.904,,,,,,,,,,,,,,,10071-337,
