Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9617],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"LA FONTANE, SAN PIETRO ISLAND",39.1,39.1,8.3,8.3,SUBAERIAL,,,s 40B5 [9617],COMENDITE [9617],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9617] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,,,,,,,,,,,,2,,0,0,,,0,2,8,,28,,,,,,6,140,1300,150,2,,,,,,,16,,,,,10,170,,,,,,,,,,,,14,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,288868,
[7794],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA / THARROS,,40,40,8.5,8.5,SUBAERIAL,,,s MGV245 [7794],"ANDESITE, BASALTIC, THOLEIITIC [7794]",,,,NEOGENE [7794],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7794] ,255967.40600000002,8870.232,,78593.7735,,,,80372.81999999999,48885.479999999996,31840.512,1006.7954,,6641.200000000001,25964.995,829.1999000000001,,,,,,,,,,,,,,,,12300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,151,276,,,,121,,,,,,,,15,494,12,103,11,,,,,,,,,,,,,385,11.3,23,2.85,14.2,3.5,1.39,3.29,0.48,2.56,0.48,1.11,0.14,0.94,0.15,2.57,,,,,,,,,,3.4,,1.7,0.3,0.51235,,,0.70512,,17.554,,15.595,,37.722,,,,,,,,,,,,,,,288947,
[7794],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA / BARISARDO,,39.84,39.84,9.64,9.64,SUBAERIAL,,,s MGV223 [7794],"BASALT, ALKALINE, OLIVINE [7794]",,,,NEOGENE [7794],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7794] ,237550.46700000003,12526.205999999998,,78276.2229,,,,78662.76,59248.63,39438.816,1161.687,,14610.64,20771.996,2182.105,,,,,,,,,,,,,,,,17600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,175,268,,,,177,,,,,,,,19,643,20,207,39,,,,,,,,,,,,,760,37.9,72.2,8.08,32.6,6.22,2.06,5.19,0.73,4.09,0.76,1.75,0.24,1.5,0.21,5.04,,,,,,,,,,4.8,,4.8,1,0.51257,,,0.70437,,17.844,,15.552,,37.92,,,,,,,,,,,,,,,288950,
[7794],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO,,40.5,40.5,8.5,8.5,SUBAERIAL,,,s MGV236 [7794],HAWAIITE [7794],,,,NEOGENE [7794],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7794] ,224602.51750000002,18279.87,,74148.0651,,,,78662.76,58105.11000000001,28041.36,1316.5786,,12867.325,30712.879799999995,4626.0626,,,,,,,,,,,,,,,,45800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,238,54,,,,52,,,,,,,,67,1561,37,681,107,,,,,,,,,,,,,1537,110.4,215.6,23.3,86.2,13.6,4.11,10.1,1.35,6.89,1.2,3.09,0.4,2.51,0.36,15.5,,,,,,,,,,18.1,,13.5,3.4,0.51256,,,0.70435,,17.638,,15.569,,37.923,,,,,,,,,,,,,,,288952,
[7794],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,CAMPEDA-PLANARGIA PLAINS,40.5,40.5,8.5,8.5,SUBAERIAL,,,s MGV238 [7794],"BASALT, ALKALINE, OLIVINE [7794]",,,,NEOGENE [7794],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7794] ,232361.93850000002,14264.291999999998,,74465.61570000001,,,,79750.98,57676.29,45469.216,1161.687,,12618.28,28190.566,2618.526,,,,,,,,,,,,,,,,15400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,199,301,,,,196,,,,,,,,60,821,24,201,56,,,,,,,,,,,,,1115,42.3,85.6,9.78,37.5,6.95,2.38,5.9,0.81,4.09,0.69,1.71,0.23,1.39,0.2,5.68,,,,,,,,,,5.2,,5.8,1.4,0.51257,,,0.70434,,18.01,,15.609,,38.151,,,,,,,,,,,,,,,288953,
[7794],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,GUSPINI NECK,39.54,39.54,8.63,8.63,SUBAERIAL,,,s MGV249 [7794],HAWAIITE [7794],,,,NEOGENE [7794],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7794] ,227126.66650000002,18519.606,,80657.8524,,,,79206.87,61106.850000000006,34433.583999999995,1084.2412000000002,,20255.66,27300.3376,3316.7996000000003,,,,,,,,,,,,,,,,12300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,152,,,,87,,,,,,,,57,902,24,260,72,,,,,,,,,,,,,620,49.3,95.5,10.8,47.9,9.37,2.85,7.39,0.94,5.16,0.89,2.38,0.3,1.89,0.27,6.04,,,,,,,,,,3.4,,6.3,1.6,0.51289,,,0.70315,,19.422,,15.665,,39.135,,,,,,,,,,,,,,,288954,
[7794],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA,RIO GIRONE NECK,39.5,39.5,9.7,9.7,SUBAERIAL,,,s ALP6 [7794],BASANITE [7794],,,,NEOGENE [7794],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7794] ,212916.64250000002,18639.474,,80075.6763,,,,81305.58,73757.04000000001,45288.304,1239.1328,,18429.33,25742.4379,1702.0419000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,212,,,,126,,,,,,,,49,970,28,223,70,,,,,,,,,,,,,528,47.1,96.4,12.1,46.6,8.27,2.53,7.02,1.01,5.66,0.88,2.26,0.35,1.97,0.3,4.8,,,,,,,,,,4,,5.9,1.3,0.51285,,,0.70401,,19.227,,15.64,,39.105,,,,,,,,,,,,,,,288955,
[7794],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA / CAPO FERRATO,,39.3,39.3,9.63,9.63,SUBAERIAL,,,s CF [7794],TRACHYTE [7794],,,,NEOGENE [7794],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7794] ,282050.27900000004,5214.258,,87379.34010000002,,,,45860.700000000004,23942.45,7477.696,929.3496,,34451.225000000006,35015.6504,1571.1155999999999,,,,,,,,,,,,,,,,21800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,,,6,,,,,,,,99,321,46,508,74,,,,,,,,,,,,,1022,67.4,130.4,15,58,10.74,2.81,9.3,1.43,7.84,1.48,4,0.64,3.97,0.61,11.8,,,,,,,,,,11.8,,14.9,3.5,0.51271,,,0.70487,,18.84,,15.657,,38.977,,,,,,,,,,,,,,,288956,
[7656],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / OROSEI-DORGALI VOLCANIC DISTRICT,,40.38,40.38,9.7,9.7,SUBAERIAL,,,s MGV1 [7656],HAWAIITE [7656],,,,PLIOCENE [7656],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7656] ,234792.6005,11926.866,,88279.0668,,21401.64,46715.729999999996,68091.48,55961.01,43177.664,1006.7954,,17931.24,24926.3952,1876.6103,,,,,,,,,,,,,,,,9800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,255,,,45,170,45,93,,,,,,34,766,18,203,35,,,,,,,,,,,,,850,32,68,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288957,
[7656],CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / OROSEI-DORGALI VOLCANIC DISTRICT,,40.38,40.38,9.7,9.7,SUBAERIAL,,,s MGV2 [7656],HAWAIITE [7656],,,,PLIOCENE [7656],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7656] ,233296.8085,12286.469999999998,,86162.06280000001,,21891.219999999998,48581.25,70423.38,56961.59,43780.704,1006.7954,,17267.12,25223.138,1832.9682,,,,,,,,,,,,,,,,11200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,280,,,45,181,46,97,,,,,,35,771,18,205,36,,,,,,,,,,,,,833,32,65,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288958,
