Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / LEYTE / PHILIPPINE SEA / PACIFIC OCEAN,,10,11.5,124.66,125.33,SUBAERIAL,,,s PH88-02A [4096],GABBRO [4096],,,,,,,,,PLUTONIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [4096] ,228108.28,7132.145999999999,,79811.0508,,,,70501.11,79546.11,49569.888,1006.7954,,1245.225,20549.4389,218.21050000000002,,,,,,,,,,,,,,,,22500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,250,303,,,,105,,,,,,,,2.5,144,32,42,1.9,,,,,,,,,,,,,23,2.6,,,9,,1.1,,,4.8,,3.2,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103985,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN,EAST MINDANAO,6,10,125,127,SUBAERIAL,,,s PH92-82 [4096],"ANDESITE, BASALTIC [4096]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [4096] ,249610.29,5334.126,,93942.0525,,,,84647.97,52173.1,19478.192,464.6748,,1245.225,25371.5094,1352.9051,,,,,,,,,,,,,,,,11900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,265,3,,,5,3,,,,,,,,2.7,290,24,65,2.05,,,,,,,,,,,,,42,5,14,,12.5,,1.2,,,4.3,,2.6,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103987,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN,EAST MINDANAO,6,10,125,127,SUBAERIAL,,,s PH93-82 [4096],DIORITE [4096],,,,,,,,,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [4096] ,293549.18,2637.096,,88914.168,,,,38476.35,45026.1,14352.351999999999,929.3496,,4150.75,27448.709,654.6315,,,,,,,,,,,,,,,,6700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,125,29,,,13,9,,,,,,,,8.9,339,16.3,15,1.6,,,,,,,,,,,,,100,6.1,15,,10,,0.7,,,2.7,,1.5,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103988,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN,CENTRAL MINDANAO,7,9,124,126,SUBAERIAL,,,s KL162 [4096],ANDESITE [4096],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4096] ,262698.47000000003,4375.182,,106379.45100000002,,,,34667.58,42882,10372.287999999999,1006.7954,,31130.625,34125.422,2269.3892,,,,,,,,,,,,,,,,9900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,130,12,,,15,12,,,,,,,,89,664,20.2,146,8.2,,,,,,,,,,,,,680,16.6,35,,18.5,,1.1,,,3.4,,1.9,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103994,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN,CENTRAL MINDANAO,7,9,124,126,SUBAERIAL,,,s KL143C [4096],ADAKITE [4096],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4096] ,302664.16250000003,2337.426,,88914.168,,,,27516.420000000002,32876.2,13508.096000000001,619.5664,,14195.565,31751.479600000002,741.9157,,,,,,,,,,,,,,,,5699.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,72,36,,,13,27,,,,,,,,43.6,565,10.3,50,3.8,,,,,,,,,,,,,327,10.3,22,,10,,0.65,,,1.7,,1.1,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103995,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / MINDANAO / PHILIPPINE SEA / PACIFIC OCEAN,DAGUMA-SARANGANI,5.6,7.2,124,126,SUBAERIAL,,,s PH92-107 [4096],ANDESITE [4096],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4096] ,261763.60000000003,4495.049999999999,,92618.925,,,,49980.39,67038.86,21709.44,1161.687,,2739.4950000000003,15504.811299999998,960.1262,,,,,,,,,,,,,,,,32599.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,218,19,,,17,14,,,,,,,,8,575,26,87,2.5,,,,,,,,,,,,,103,10.45,23,,14,,1.2,,,3.9,,2.5,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103996,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / MINDANAO / PHILIPPINE SEA / PACIFIC OCEAN,DAGUMA-SARANGANI,5.6,7.2,124,126,SUBAERIAL,,,s PH92-105 [4096],ADAKITE [4096],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4096] ,295652.6375,3056.634,,90766.5465,,,,32413.41,35735,13206.576,619.5664,,11290.04,34867.279,829.1999000000001,,,,,,,,,,,,,,,,12900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,104,8,,,11,11,,,,,,,,33.5,687,8.1,66,1.6,,,,,,,,,,,,,274,6.5,17,,8.5,,0.65,,,1.4,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103998,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / LEYTE / PHILIPPINE SEA / PACIFIC OCEAN,,10,11.5,124.66,125.33,SUBAERIAL,,,s PH88-02B [4096],GABBRO [4096],,,,,,,,,PLUTONIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [4096] ,,,,,,,,,,,,,1328.24,,,,,,,,,,,,,,,,,,18500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104144,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN,EAST MINDANAO,6,10,125,127,SUBAERIAL,,,s PH92-83 [4096],"DACITE, CALC-ALKALINE [4096]",,,,,,,,,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [4096] ,,,,,,,,,,,,,12535.265,,,,,,,,,,,,,,,,,,23200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104162,
[4096],CONVERGENT MARGIN,LUZON ARC / LUZON ARC / MINDANAO / PACIFIC OCEAN,EAST MINDANAO,6,10,125,127,SUBAERIAL,,,s PH93-88 [4096],"BASALT, CALC-ALKALINE [4096]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [4096] ,,,,,,,,,,,,,7886.424999999999,,,,,,,,,,,,,,,,,,7100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104164,
