Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2390][2409],CONVERGENT MARGIN,MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / HAGMAN FORMATION / PACIFIC OCEAN,"ABOUT 1,240M DUE EAST OF PUNTAN FLORES, NORTHWEST OF ISLAND",15.2,15.2,145.72,145.72,SUBAERIAL,,,s MSS-135 [2390],ANDESITE [2390],40000000 [2409],40000000 [2409],UPPER [2390],EOCENE [2390],,,,PORPHYRITIC PILOTAXITIC [2409] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2390] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08,,9.74,2.89,0.87,3.34,,4.08,,2.67,,2.69,,,,,,,,,,,,2.96,,0.94,0.32,,,,0.70357,,18.253,,15.477,,37.889,,,,,,,,,,,,,,,10003-MSS-135,
[2409],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / DREDGE SC 35 / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 1",20.9083,20.9083,142.5667,142.5667,SUBAQUATIC,-1790,-2355,s SC-35-D [2409],DACITE [2409],,,,NEOGENE [2409],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2409] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.874,,15.565,,38.383,,,,,,,,,,,,,,,10040-SC 35-D,
[2388],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / DREDGE MARA-52 / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 6",17.91,17.93,147.67,147.76,SUBAQUATIC,,,s D52 [2388],"BASALT, ALKALINE [2388]",,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2388] ,222639.29050000003,18579.54,,92830.6254,,76584.29999999999,11037.66,,48313.72,10191.375999999998,697.0122,,24323.395,30341.951299999997,6415.3886999999995,,18100.,,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,167,,,,83,,,,,,,,60,774,48,307,110,,,,,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10095-D52,
[2388],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / DREDGE MARA-36 / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 7",17.88,17.89,147.67,147.69,SUBAQUATIC,,,s D36/52 [2388],ANDESITE [2388] / DACITE [2388],,,,,,,,"VESICULAR, COMMONLY PILOTAXITIC [2388] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2388] ,259332.938,5034.455999999999,,77482.34640000001,,23429.9,58608.42,,39737.32,8744.08,1006.7954,,7139.29,29525.9086,349.1368,,7000.,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,7,,,,2,,,,,,,,7,121,44,58,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10096-D36/52,
[2388],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / DREDGE MARA-51 / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 11",16.41,16.43,147.71,147.72,SUBAQUATIC,,,s D51 [2388],"ANDESITE [2388] / BASALT, ALKALINE [2388]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2388] ,256995.763,2517.2279999999996,,81187.1034,,12659.140000000001,34589.85,,60320.67999999999,43418.88,851.9038,,6309.14,20920.3674,392.77889999999996,,35300.,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,313,,,,134,,,,,,,,5,123,15,60,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10098-D51,
[2388],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / DREDGE MARA-51 / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 12",15.71,15.78,147.6,147.63,SUBAQUATIC,,,s D50 [2388],"BASALT, ALKALINE [2388] / BASALT [2388]",,,,,,,,VARIOLITIC [2388] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2388] ,253536.74400000004,1138.7459999999999,,57370.8084,,14057.939999999999,48037.14,,49385.770000000004,91903.296,1161.687,,10459.89,19733.3962,261.8526,,42800.,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,143,,,,143,,,,,,,,11,86,12,35,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10099-D50,
[2395],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / SITE 454 / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 6, HOLE 454",18.013,18.013,144.532,144.532,SUBAQUATIC,-3819,-3819,s 60-M454-14-1 [2395],BASALT [2395],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [2395] ,246758.9365,7132.145999999999,,90025.5951,,,,61095.780000000006,79331.7,41489.151999999995,,,1992.36,19807.581899999997,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10223-M454-14-1,
[3178],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 6, CORE 46KL",18.0442,18.0442,144.7805,144.7805,SUBAQUATIC,-4700,-4700,s 4646-D30 [3178],"ANDESITE, BASALTIC [3178]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3178] ,262231.03500000003,7791.42,,74624.391,,,,72288.90000000001,42167.3,12663.84,1781.2534,,19093.449999999997,21513.853,2313.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10251-4646-D30,
[2916][8514],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / DREDGE DS / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 12",16.18,16.18,144.79,144.79,SUBAQUATIC,-3838,-4052,s DS18-1-6 [2916],BASALT [2916],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2916] ,,,,,,,,,,,,,,,,20299.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,35.4,,244,238,,,33.9,75,69,,14.6,,,,,5,210,23.2,56.1,2.38,,,,,,,,,,,,0.1,66,3.94,9.44,1.53,7.51,2.45,0.9,3.11,0.56,3.82,0.78,2.33,0.35,2.2,0.34,1.57,0.152,,,,,,,,,0.7,,0.415,0.144,,,,,,,,,,,,,,,,,,,,,,,,,10323-DS18-1-6,
[2916][8514],CONVERGENT MARGIN,MARIANA ARC / MARIANA TROUGH / DREDGE DS / PACIFIC OCEAN,"CENTRAL MARIANA TROUGH, SEGMENT 8",16.96,16.96,144.78,144.78,SUBAQUATIC,-3055,-3287,s DS22-2-2 [2916],BASALT [2916],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2916] ,,,,,,,,,,,,,,,,4800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,32.2,,171,222,,,44.3,120,102,,16,,,,,1.4,269,25,98.2,4.38,,,,,,,,,,,,0.01,17,4.71,11.84,1.78,8.4,2.57,1.06,3.3,0.59,3.97,0.84,2.43,0.36,2.39,0.37,2.26,0.292,,,,,,,,,0.5,,0.236,0.096,,,,,,,,,,,,,,,,,,,,,,,,,10324-DS22-2-2,
