Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 1 / PACIFIC OCEAN,,-16.815,-16.815,176.015,176.015,SUBAQUATIC,-2100,-2300,s 1/4 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,237877.67150000003,6592.74,,78699.6237,,,,76874.97,87836.62999999999,48122.592,1471.4702,,664.12,16172.482600000001,829.1999000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102843,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 2 / PACIFIC OCEAN,,-16.185,-16.185,173.587,173.587,SUBAQUATIC,-3200,-3500,s 2/1 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,235166.54850000003,10548.384,,74889.0165,,,,93742.38,84477.54000000001,42514.32,1703.8076,,1079.195,17878.7537,1091.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102844,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 2 / PACIFIC OCEAN,,-16.185,-16.185,173.587,173.587,SUBAQUATIC,-3200,-3500,s 2/11 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,234886.08750000002,10008.978,,76953.0954,,,,87834.90000000001,83762.84000000001,43961.615999999995,1471.4702,,1328.24,17285.2681,1047.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102845,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 4 / PACIFIC OCEAN,,-16.358,-16.358,173.588,173.588,SUBAQUATIC,-3150,-3750,s 4/1 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,235867.70100000003,10428.516,,86585.4636,,,,63039.03,77330.54000000001,44564.655999999995,1161.687,,4482.81,22775.009899999997,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102846,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 4 / PACIFIC OCEAN,,-16.358,-16.358,173.588,173.588,SUBAQUATIC,-3150,-3750,s 4/11 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,239233.233,7791.42,,82880.7066,,,,66459.15000000001,85692.53,46072.255999999994,1239.1328,,3403.615,18620.610699999997,1178.3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102847,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 4 / PACIFIC OCEAN,,-16.358,-16.358,173.588,173.588,SUBAQUATIC,-3150,-3750,s 4/7 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,231801.01650000003,16122.246,,88173.2166,,,,61639.89,72113.23,35277.84,1239.1328,,10874.965,25519.8808,2356.6734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102848,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 5 / PACIFIC OCEAN,,-16.813,-16.813,174.1,174.1,SUBAQUATIC,-2925,-2975,s 5/4 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,238111.389,8510.627999999999,,76476.7695,,,,85503,84977.83,41670.064,1626.3618,,1245.225,21068.7388,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102849,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 6 / PACIFIC OCEAN,,-17.065,-17.065,173.913,173.913,SUBAQUATIC,-2000,-2040,s 6/10 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,237503.72350000002,7671.552,,79228.8747,,,,75164.91,87693.69,45288.304,1471.4702,,1079.195,20030.139,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102850,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 6 / PACIFIC OCEAN,,-17.065,-17.065,173.913,173.913,SUBAQUATIC,-2000,-2040,s 6/7 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,236755.8275,9109.967999999999,,78223.2978,,,,79906.43999999999,84334.6,41609.76,1471.4702,,1162.21,21884.7815,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102851,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 6 / PACIFIC OCEAN,,-17.065,-17.065,173.913,173.913,SUBAQUATIC,-2000,-2040,s 6C [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,234605.6265,10967.922,,82033.905,,,,75164.91,79903.45999999999,41187.632,1394.0244,,4233.765,21736.4101,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102852,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 7 / PACIFIC OCEAN,,-15.097,-15.097,173.257,173.257,SUBAQUATIC,-3010,-4080,s 7/8 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,236662.34050000002,9169.902,,73407.1137,,,,92809.62,82190.5,42574.623999999996,1703.8076,,664.12,17656.1966,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102853,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 10 / PACIFIC OCEAN,,-15.837,-15.837,173.408,173.408,SUBAQUATIC,-3583,-3630,s 10/1 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,233764.2435,8031.156,,83304.10740000001,,,,71744.79000000001,83905.78,46494.384,1471.4702,,1909.345,19807.581899999997,1047.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102854,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 10 / PACIFIC OCEAN,,-15.837,-15.837,173.408,173.408,SUBAQUATIC,-3583,-3630,s 10/5 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,233250.065,13305.348,,87061.7895,,,,57597.93,74900.56,42695.231999999996,1084.2412000000002,,9712.755,20846.1817,2225.7471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102855,
[3930],CONVERGENT MARGIN,NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 11 / PACIFIC OCEAN,,-13.285,-13.285,173.94,173.94,SUBAQUATIC,-2175,-2300,s 11/4 [3930],BASALT [3930],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [3930] ,242879.22600000002,16721.586,,69120.1806,,,,103614.09,62750.659999999996,28523.792,1703.8076,,4814.87,22700.8242,1614.7576999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102856,
