Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2263],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / PACIFIC OCEAN,NAGAHAPE,-39,-40,175,177,SUBAERIAL,,,s 6 [2263],BONINITE [2263],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2263] ,247132.88450000001,1018.878,,66315.1503,,15176.98,53011.86,,71970.29000000001,65369.53599999999,1394.0244,,1245.225,10756.9265,43.6421,,9300.,10500.,,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,169,935,,,,210,,,,,,,,3,38,6,8,0.5,,,,,,,,,,,,,70,0.48,1,0.13,0.71,0.28,0.11,0.44,0.1,0.84,0.19,0.62,,0.76,,0.2,,,,,,,,,,0,,0,0,0.51208,,,0.7062,,,,,,,,,,,,,,,,,,,,,112471,
[2263],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / PACIFIC OCEAN,NAGAHAPE,-39,-40,175,177,SUBAERIAL,,,s 201 [2263],BONINITE [2263],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2263] ,251480.03,1857.954,,60334.614,,10980.58,47104.38,,62393.310000000005,75621.21599999999,1239.1328,,1245.225,9644.141,87.2842,,27700.,10200.,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,204,960,,,,268,,,,,,,,3,63,9,18,1,,,,,,,,,,,,,12,0.88,2.22,0.36,1.91,0.73,0.27,0.96,0.2,1.39,0.32,1.03,,1.04,,0.7,,,,,,,,,,1.1,,0.1,0,0.51209,,,0.70432,,,,,,,,,,,,,,,,,,,,,112472,
[3467],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / TAUPO VOLCANIC CENTER / PACIFIC OCEAN,TAUHARA,-38.82,-38.82,176,176,SUBAERIAL,,,s 5 [3467],DACITE [3467],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3467] ,314256.55050000007,2037.756,,80022.7512,,23290.02,3886.5,,30374.75,12181.408,697.0122,,18263.300000000003,26335.923499999997,480.0631,,6800.000000000001,4900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117388,
[3467],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / OKATAINA CALDERA / PACIFIC OCEAN,TARAWERA,-38.12,-38.12,176.5,176.5,SUBAERIAL,,,s 8 [3467],BASALT [3467],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3467] ,239139.746,4794.72,,90607.7712,,16785.6,56354.25,,81547.27,36906.047999999995,1394.0244,,4482.81,16914.3396,567.3473,,2700.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117390,
[3467],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / K-TRIG / PACIFIC OCEAN,LAKE TAUPO,-38.68,-38.68,175,177,SUBAERIAL,,,s 9 [3467],BASALT [3467],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3467] ,231473.81200000003,6892.409999999999,,91666.27320000001,,26647.14,54644.19,,81547.27,36242.704,1471.4702,,2739.4950000000003,18546.425,829.1999000000001,,2500.,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117391,
[3467],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / COROMANDEL VOLCANIC ZONE / PACIFIC OCEAN,"MANAIA HILL, COROMANDEL PENINSULA",-36.5,-37.5,175,176,SUBAERIAL,,,s P.22768 [3467],GREYWACKE [3467],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [3467] ,255686.94500000004,4794.72,,81504.65400000001,,4196.4,25650.899999999998,,65752.4,10553.199999999999,2323.374,,16187.925,25594.0665,741.9157,,23800.,5000.,,51200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117392,
[3467],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / OKATAINA CALDERA / PACIFIC OCEAN,TARAWERA,-38.12,-38.12,176.5,176.5,SUBAERIAL,,,s P.35036 [3467],BASALT [3467],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3467] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,0.46,,,,,,,,,,,,,,,,,,,,,,,,,117397,
[3467],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / PACIFIC OCEAN,ORAKEI KORAKO,-38.47,-38.47,176.17,176.17,SUBAERIAL,,,s 3115 [3467],BASALT [3467],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3467] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.13,,,,0.7042,,,,,,,,,,,,,,,,,,,,,117399,
[3467],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / WHITE ISLAND / PACIFIC OCEAN,STRATOVOLCANO,-37.52,-37.52,177.18,177.18,SUBAERIAL,,,s P.17472 [3467],ANDESITE [3467],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3467] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7061,,,,,,,,,,,,,,,,,,,,,117402,
[3467],CONVERGENT MARGIN,NEW ZEALAND / COROMANDEL-TAUPO / TAUPO VOLCANIC ZONE / PACIFIC OCEAN,MATATA,-37.95,-37.95,176.8,176.8,SUBAERIAL,,,s 3095 [3467],ANDESITE [3467],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3467] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7063,,,,,,,,,,,,,,,,,,,,,117403,
