Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[13983],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s PN-35-305 [13983],TRACHYBASALT [13983],62000000 [13983],62000000 [13983],UPPER [13983],CRETACEOUS [13983],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13983] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,619,,,,,,,,,,,,,,,,,,,,21,4.88,,,,,,,,,,,,,,,,,,,,22,,0.74,0.35,0.512766,,,0.703943,,18.096001,,15.387,,37.738998,,,,,,,,,,,,,,,445033,
[13983],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s IL-3-14 [13983],TRACHYBASALT [13983],62000000 [13983],62000000 [13983],UPPER [13983],CRETACEOUS [13983],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13983] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,795,,,,,,,,,,,,,,,,,,,,42.5,9.19,,,,,,,,,,,,,,,,,,,,,,,,0.51271,,,0.704002,,,,,,,,,,,,,,,,,,,,,445034,
[13983],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s IL-3-17 [13983],"TRACHYANDESITE, DACITIC [13983]",62000000 [13983],62000000 [13983],UPPER [13983],CRETACEOUS [13983],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13983] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,798,,,,,,,,,,,,,,,,,,,,24.8,4.86,,,,,,,,,,,,,,,,,,,,19.3,,3.14,1,0.512703,,,0.703856,,18.027,,15.342,,37.789001,,,,,,,,,,,,,,,445035,
[13983],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s PN-44-422 [13983],TRACHYDACITE [13983],63000000 [13983],63000000 [13983],UPPER [13983],CRETACEOUS [13983],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13983] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,260,,,,,,,,,,,,,,,,,,,,28.5,6.41,,,,,,,,,,,,,,,,,,,,18.9,,4.85,1.74,0.512614,,,0.705221,,18.183001,,15.404,,38.021999,,,,,,,,,,,,,,,445036,
[13983],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s IL-1-8 [13983],TRACHYRHYOLITE [13983],61000000 [13983],61000000 [13983],UPPER [13983],CRETACEOUS [13983],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13983] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,163,,,,,,,,,,,,,,,,,,,,16.5,2.84,,,,,,,,,,,,,,,,,,,,,,,,0.512755,,,0.704631,,,,,,,,,,,,,,,,,,,,,445037,
[13983],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,MT. GREBEN,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s PN-201-1515A [13983],COMENDITE [13983],59000000 [13983],59000000 [13983],UPPER [13983],CRETACEOUS [13983],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13983] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,2,,,,,,,,,,,,,,,,,,,,30.5,7.58,,,,,,,,,,,,,,,,,,,,23,,21.99,3.39,0.512803,,,0.735698,,18.319,,15.418,,38.028,,,,,,,,,,,,,,,445041,
[14051],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,KYTEPNAIVAAM RIVER BASIN,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s 72 [14051],PANTELLERITE [14051],,,UPPER [14051],CRETACEOUS [14051],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14051] ,333795.3335,958.944,,75047.7918,,11330.28,11426.31,,3001.74,301.52,851.9038,,35945.495,40802.134999999995,392.77889999999996,500.,,,,,,,,,,,,,,,4500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445203,
[14051],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,CHUMVEEM RIVER BASIN,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s 6 [14051],PANTELLERITE [14051],,,UPPER [14051],CRETACEOUS [14051],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14051] ,333234.41150000005,1318.548,,81292.9536,,12239.5,7073.43,,571.76,2170.944,387.22900000000004,,34949.315,37463.7785,87.2842,2000.,,,,,,,,,,,,,,,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445204,
[14051],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,OSTROKAMENNYI MASSIF,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s 317-3 [14051],COMENDITE [14051],,,UPPER [14051],CRETACEOUS [14051],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14051] ,351604.607,1258.6139999999998,,60810.939900000005,,14687.400000000001,13136.369999999999,,714.7,1266.3839999999998,542.1206000000001,,33455.045000000006,33383.565,218.21050000000002,300.,,,,,,,,,,,,,,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445205,
[14051],CONVERGENT MARGIN,OKHOTSK-CHUKOTKA ARC / CHUKOTKA ARC - MESOZOIC / EASTERN CHUKOTKA SECTOR / AMGUEMA-KANCHALAN VOLCANIC FIELD,MT. VETRENNAYA,65.17,67.02,-176.72,-178.23,SUBAERIAL,,,s 994 [14051],COMENDITE [14051],,,UPPER [14051],CRETACEOUS [14051],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14051] ,352539.477,779.1419999999999,,60017.0634,,16296.02,8083.92,,571.76,1085.472,464.6748,,35779.465,33309.3793,43.6421,1800.,,,,,,,,,,,,,,,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445206,
