Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4869],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU BACK-ARC / KYUSHU / UNZEN / PACIFIC OCEAN,"BEPPU-SHIMABARA GRABEN SYSTEM, SHIMABARA AREA, MINAMI-SHIMABARA",32.689,32.689,130.1973,130.1973,SUBAERIAL,,,s S-1 [4869],ANDESITE [4869],,,,QUATERNARY [4869],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4869] ,273215.7575,5993.4,,90396.0708,,,,54799.65,48385.189999999995,16282.08,1239.1328,,12784.31,24852.2095,1003.7683000000001,,,,,,,,,,,,,,,,20400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,467,47,132,7.79,,,,,,,,,,,,,374,22.6,32.3,,26.8,5.69,1.96,6.14,,6.45,,3.77,,3.47,0.51,2.87,1.12,,,,,,,,,,,4.61,,,,,0.704111,,,,,,,,,,,,,,,,,,,,,104789,
[4869],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU BACK-ARC / KYUSHU / UNZEN / PACIFIC OCEAN,"BEPPU-SHIMABARA GRABEN SYSTEM, SHIMABARA AREA, MINAMI-SHIMABARA",32.6695,32.6695,130.1833,130.1833,SUBAERIAL,,,s S-2 [4869],ANDESITE [4869],,,,QUATERNARY [4869],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4869] ,264100.775,6353.004,,91454.57280000001,,,,57908.85,52173.1,19779.711999999996,1161.687,,11788.13,23294.3098,916.4841,,,,,,,,,,,,,,,,14100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,484,39,74.8,6.74,,,,,,,,,,,,,306,23.7,29.7,,28.1,6.16,2.13,5.75,,6.58,,3.75,,3.59,0.53,1.85,0.62,,,,,,,,,,,4.07,,,,,0.704032,,,,,,,,,,,,,,,,,,,,,104790,
[4869],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU BACK-ARC / KYUSHU / PACIFIC OCEAN,"BEPPU-SHIMABARA GRABEN SYSTEM, SHIMABARA AREA, HAYASAKI",32.6251,32.6251,130.1779,130.1779,SUBAERIAL,,,s S-3 [4869],BASALT [4869],,,,QUATERNARY [4869],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4869] ,230866.14650000003,12106.668,,81451.7289,,,,75320.37,62178.899999999994,40283.07199999999,1239.1328,,10957.980000000001,25594.0665,2662.1681,,,,,,,,,,,,,,,,15900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,608,24,140,28.4,,,,,,,,,,,,,341,40.1,69,,38.2,6.91,1.88,6.36,,5.13,,2.41,,2.03,0.28,3.71,1.25,,,,,,,,,,,4.39,,,,,0.704914,,,,,,,,,,,,,,,,,,,,,104791,
[4869],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU BACK-ARC / KYUSHU / PACIFIC OCEAN,"BEPPU-SHIMABARA GRABEN SYSTEM, SHIMABARA AREA, ATAGOYAMA",32.5889,32.5889,130.1861,130.1861,SUBAERIAL,,,s S-4 [4869],BASALT [4869],,,,QUATERNARY [4869],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4869] ,225958.07900000003,9769.241999999998,,76900.1703,,,,81461.04000000001,64108.590000000004,54876.63999999999,1394.0244,,8218.485,25000.5809,2138.4629,,,,,,,,,,,,,,,,10500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,423,22,85.8,17.1,,,,,,,,,,,,,230,23.6,43.4,,26.1,5.14,1.49,4.48,,4.37,,2.26,,2.06,0.3,1.94,0.77,,,,,,,,,,,2.51,,,,,0.704817,,,,,,,,,,,,,,,,,,,,,104792,
[4869],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO / PACIFIC OCEAN,"BEPPU-SHIMABARA GRABEN SYSTEM, ASO AREA, NAKA-DAKE",32.8445,32.8445,131.0723,131.0723,SUBAERIAL,,,s AS-1 [4869],"ANDESITE, BASALTIC [4869]",,,,QUATERNARY [4869],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4869] ,254985.7925,5394.0599999999995,,91454.57280000001,,,,66692.34,59463.04,23578.863999999998,1161.687,,19259.48,25964.995,1047.4104,,,,,,,,,,,,,,,,1600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3,638,22,102,6.73,,,,,,,,,,,,,393,21.4,37.3,,22.8,4.76,1.21,3.98,,3.93,,2.14,,2.03,0.3,2.42,0.61,,,,,,,,,,,6.7,,,,,0.703874,,,,,,,,,,,,,,,,,,,,,104793,
[4869],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO / PACIFIC OCEAN,"BEPPU-SHIMABARA GRABEN SYSTEM, ASO AREA, KOMEZUKA",32.9,32.9,131.0361,131.0361,SUBAERIAL,,,s AS-2 [4869],BASALT [4869],,,,QUATERNARY [4869],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4869] ,241383.434,5633.795999999999,,93201.1011,,,,73843.5,70040.6,32262.639999999996,1316.5786,,11788.13,24555.4667,1047.4104,,,,,,,,,,,,,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,581,19,86.9,4.53,,,,,,,,,,,,,287,14.2,27.1,,16.9,3.81,1.09,3.14,,3.29,,1.78,,1.72,0.25,1.7,0.62,,,,,,,,,,,3.67,,,,,0.704021,,,,,,,,,,,,,,,,,,,,,104794,
[4869],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO / PACIFIC OCEAN,"BEPPU-SHIMABARA GRABEN SYSTEM, ASO AREA, NAKA-DAKE",32.8751,32.8751,131.0889,131.0889,SUBAERIAL,,,s AS-3 [4869],BASALT [4869],,,,QUATERNARY [4869],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4869] ,243440.14800000002,6173.202,,93518.65170000002,,,,72677.55,63393.88999999999,25991.023999999998,1316.5786,,13697.474999999999,29303.3515,1178.3367,,,,,,,,,,,,,,,,8200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,645,20,66.4,4.65,,,,,,,,,,,,,347,17.5,31.5,,20.2,4.37,1.27,3.59,,3.65,,2.01,,1.87,0.27,1.3,0.54,,,,,,,,,,,4.36,,,,,0.703996,,,,,,,,,,,,,,,,,,,,,104795,
[4895],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU ARC / KYUSHU / PACIFIC OCEAN,"USHIO, KAGOSHIMA PREFECTURE",31,32,130,131,SUBAERIAL,,,s 46083001 [4895],"ANDESITE, 2-PYROXENE [4895]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4895] ,273916.91000000003,,,104156.5968,,34200.659999999996,23396.73,,41309.66,23880.384,,,17267.12,21513.853,,,,,,,,,1600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107836,
[4895],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU ARC / KYUSHU / PACIFIC OCEAN,"USHIO, KAGOSHIMA PREFECTURE",31,32,130,131,SUBAERIAL,,,s 46083001 [4895],"ANDESITE, 2-PYROXENE [4895]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4895] ,267279.33300000004,2936.7659999999996,,90184.3704,,46440.159999999996,22697.16,,45240.51,24905.551999999996,,,1411.255,12982.4975,,,11900.,10000,,,,,19800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107837,
[4895],CONVERGENT MARGIN,RYUKYU ARC / RYUKYU ARC / KYUSHU / PACIFIC OCEAN,"USHIO, KAGOSHIMA PREFECTURE",31,32,130,131,SUBAERIAL,,,s 46083001 [4895],"ANDESITE, 2-PYROXENE [4895]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4895] ,273169.014,,,100240.13940000001,,29164.98,27205.5,,43310.82,24724.639999999996,,,18097.27,17136.8967,,,,,,,,,5200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107838,
