Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC / PACIFIC OCEAN,SOVGAVAN PLATEAU,49,49,140.2,140.2,SUBAERIAL,,,s YU84 [7753],"THOLEIITE, OLIVINE [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,238158.13250000004,13125.545999999998,,93359.87640000001,,,,86591.22,37021.46,23699.471999999998,697.0122,,26647.815,29229.1658,3927.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,139,49,,,37,60,30,109,,,,,,73.1,876,25.26,232,57.26,,,,,,,,,,,,0.44,1274,45.14,74.51,8.88,36.86,8.01,2.73,6.82,1.01,5.33,0.96,2.22,0.31,1.82,0.27,4.9,3.38,,,,,,,,,4.49,,5.6,1.14,0.512714,,,0.70384,,,,,,,,,,,,,,,,,,,,,511722,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC / PACIFIC OCEAN,SOVGAVAN PLATEAU,49,49,140.2,140.2,SUBAERIAL,,,s YUS108/10 [7753],"THOLEIITE, OLIVINE [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,242738.99550000002,8450.694,,84256.7592,,,,88845.39,57176,41187.632,1006.7954,,1411.255,25519.8808,741.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,17.8,,191,220,,,54,183,65,116,22.1,,,,,1.2,474,19.11,71,4.59,0.4,,,,,,,,,,,0.07,100,4.92,12.29,1.96,10.22,3.28,1.21,3.58,0.54,3.08,0.6,1.59,,1.29,0.19,1.74,0.31,,,,,,,,,1.84,,0.68,0.12,0.512574,,,0.703926,,,,,,,,,,,,,,,,,,,,,511723,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC / PACIFIC OCEAN,SOVGAVAN PLATEAU,49,49,140.2,140.2,SUBAERIAL,,,s YUS120/9 [7753],"THOLEIITE, QUARTZ [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,252274.66950000002,9050.034,,83568.7329,,,,69490.62,60749.5,33408.416,1084.2412000000002,,1328.24,28635.6802,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,17.2,,160,282,,,47,151,48,112,22.7,,,,,4.9,409,21.47,78,4.37,0.5,,,,,,,,,,,0.19,103,6.15,14.83,2.45,13.25,4.28,1.56,4.65,0.68,3.73,0.71,1.8,,1.36,0.19,1.9,0.3,,,,,,,,,1.28,,0.44,0.1,0.512496,,,0.704325,,17.299,,15.49,,37.288,,,,,,,,,,,,,,,511732,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC / PACIFIC OCEAN,SHUFAN PLATEAU,43.77,43.77,131.87,131.87,SUBAERIAL,,,s VS-1 [7753],"THOLEIITE, QUARTZ [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,259706.88600000003,10788.119999999999,,79281.79980000001,,,,69801.54000000001,54746.020000000004,39559.42399999999,929.3496,,7471.35,22923.381299999997,1178.3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,15.6,,161,234,,,47,183,64,107,20.5,,,,,13.9,553,18.91,105,5.08,0.6,,,,,,,,,,,0.2,200,8.4,18.72,2.99,14.69,4.24,1.55,4.27,0.61,3.24,0.6,1.52,,1.19,0.17,2.5,0.4,,,,,,,,,2.44,,0.81,0.21,0.512716,,,0.704152,,17.266,,15.481,,37.109,,,,,,,,,,,,,,,511734,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC / PACIFIC OCEAN,SHUFAN PLATEAU,43.77,43.77,131.87,131.87,SUBAERIAL,,,s VS-3 [7753],"THOLEIITE, QUARTZ [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,248909.1375,17320.926,,74571.4659,,,,95996.55,49099.89,27679.535999999996,1161.687,,14444.61,22552.4528,2924.0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,201,129,,,49,107,39,115,,,,,,29.5,676,26.31,189,12.03,,,,,,,,,,,,0.35,527,21.13,45.85,6.17,30.46,8.47,2.81,7.14,1.05,5.56,0.99,2.24,0.29,1.68,0.24,5.06,0.74,,,,,,,,,3.74,,1.69,0.36,0.512623,,,0.704757,,17.308,,15.514,,37.353,,,,,,,,,,,,,,,511735,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC / PACIFIC OCEAN,SOVGAVAN PLATEAU,49,49,140.2,140.2,SUBAERIAL,,,s YU17 [7753],"THOLEIITE, OLIVINE [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,232081.4775,5154.324,,98493.6111,,,,72988.47,80689.62999999999,35579.36,1471.4702,,6807.23,18694.7964,741.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,59,,,33,26,54,75,,,,,,16,594,,54,,,,,,,,,,,,,,,,,,11.36,3,,,,,,,,,,,,,,,,,,,,,,,,0.512918,,,0.703434,,,,,,,,,,,,,,,,,,,,,511736,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SAKHALIN / SAKHALIN - CENOZOIC / PACIFIC OCEAN,,47,49,141.5,142.5,SUBAERIAL,,,s SA-02 [7753],"THOLEIITE, OLIVINE [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,219273.7585,6293.07,,105585.5745,,,,81927.42,92339.24,26051.328,1471.4702,,2739.4950000000003,16691.7825,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,1.8,381,23.09,,1.91,,,,,,,,,,,,0.07,151,5.12,12.45,1.77,9.14,2.98,1.14,3.63,0.65,4.26,0.87,2.54,0.37,2.28,0.35,1.37,0.11,,,,,,,,,3.98,,1.09,0.32,,,,,,,,,,,,,,,,,,,,,,,,,511739,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SAKHALIN / SAKHALIN - CENOZOIC / PACIFIC OCEAN,,47,49,141.5,142.5,SUBAERIAL,,,s SA-04 [7753],"THOLEIITE, QUARTZ [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,236007.93150000004,4255.313999999999,,101669.1171,,,,71744.79000000001,77259.07,26654.368,1626.3618,,2573.465,18768.982099999997,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,252,23,,,33,14,41,81,,,,,,9,383,17.19,39,1.58,,,,,,,,,,,,0.99,159,6.07,13.12,1.76,8.5,2.5,0.92,2.73,0.49,3.14,0.66,1.77,0.26,1.74,0.27,1.21,0.09,,,,,,,,,5.53,,1.05,0.36,0.512922,,,0.70365,,,,,,,,,,,,,,,,,,,,,511740,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SAKHALIN / SAKHALIN - CENOZOIC / PACIFIC OCEAN,,47,49,141.5,142.5,SUBAERIAL,,,s S-3 [7753],"THOLEIITE, QUARTZ [7753]",,,,MIOCENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,242598.765,5513.928,,92195.52420000001,,,,64127.25,81618.74,27619.232,1316.5786,,2988.54,21068.7388,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,,,,,3.5,342,25,,2.03,,,,,,,,,,,,0.23,143,5.64,13.35,1.91,9.5,3.19,1.05,3.78,0.68,4.44,0.94,2.61,0.38,2.35,0.38,2.02,0.14,,,,,,,,,5.32,,0.6,0.21,,,,,,,,,,,,,,,,,,,,,,,,,511741,
[7753],CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC / PACIFIC OCEAN,SOVGAVAN PLATEAU,49,49,140.2,140.2,SUBAERIAL,,,s YUS122/8 [7753],"THOLEIITE, QUARTZ [7753]",,,,PALEOGENE [7753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7753] ,244421.76150000002,6233.1359999999995,,113365.56420000001,,,,68091.48,51887.22,28282.576,1316.5786,,6392.155,25371.5094,1963.8945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,7.7,485,33.86,,20.29,,,,,,,,,,,,0.21,462,27.5,56.51,6.9,29.1,7.12,2.35,6.7,1.09,6.66,1.28,3.5,0.49,3.12,0.49,4.84,1.29,,,,,,,,,9.15,,2.42,0.8,0.512902,,,0.703733,,,,,,,,,,,,,,,,,,,,,511747,
