Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / ULUBILA / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B350 [4941],NOT GIVEN [4941],,,,,,,,"MICROCRYSTALLINE, PORPHYRITIC [4941] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,258631.7855,4435.116,,85209.41100000001,,,,42829.229999999996,54102.79,17307.248,1161.687,,39598.155,30490.3227,2051.1787,,,,,,,,,,,,,,,,21000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,118,54,,,6,,41,56,24,,,,,320,469,26,633,89,,,,,,,,,,,,6.1,581,102,179,15.9,54,9,1.8,5.8,1,5,0.9,2.9,0.44,2.8,0.43,14,4.51,,,,,,,,,64,,50,12,0.512478,,,0.70795,,18.796,,15.614,,38.766,,,,,,,,,,,,,,,115227,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / ULUBILA / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B469 [4941],NOT GIVEN [4941],,,,,,,,"MICROCRYSTALLINE, PORPHYRITIC [4941] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,292801.28400000004,2876.832,,94894.7043,,,,24873.600000000002,12864.6,3377.0240000000003,387.22900000000004,,46903.475000000006,38131.449799999995,654.6315,,,,,,,,,,,,,,,,8300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,51,32,,,14,,25,51,22,,,,,173,923,26,361,38,,,,,,,,,,,,3.5,1470,74,139,12.6,47,8.6,2.14,5.9,1,4.9,0.9,2.7,0.39,2.4,0.37,8,2.46,,,,,,,,,42,,17,2.7,0.512664,,,0.705642,,18.696,,15.625,,38.774,,,,,,,,,,,,,,,115228,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / ULUBILA / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B472 [4941],NOT GIVEN [4941],,,,,,,,"MICROCRYSTALLINE, PORPHYRITIC [4941] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,257463.198,6652.674,,102304.2183,,,,41741.01,35520.59,11035.632,1703.8076,,36443.585,26335.923499999997,1483.8314,,,,,,,,,,,,,,,,25000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,117,53,,,4,,11,25,21,,,,,221,725,72,418,50,,,,,,,,,,,,2.8,1330,77,157,14.2,56,12,2.7,11,1.9,10,2,6.1,0.9,5.6,0.89,9.7,2.73,,,,,,,,,48,,21,5.6,0.512728,,,0.705156,,18.61,,15.57,,38.541,,,,,,,,,,,,,,,115229,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / BILA / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B328 [4941],TEPHRITE [4941],,,,,,,,"APHANITIC, PORPHYRITIC [4941] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,197631.518,9050.034,,87379.34010000002,,,,75164.91,92482.18,29428.352,1858.6992,,47650.61,9199.0268,5760.7572,,,,,,,,,,,,,,,,24700.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,608,38,,,39,14,662,119,21,,,,,255,2041,49,99,8,,,,,,,,,,,,9.9,2276,53,110.8,13.17,63.8,15,4.6,12.3,1.8,8.9,1.6,4.8,0.6,3.8,0.55,3.1,1.11,,,,,,,,,84,,29.4,10,0.512635,,,0.706213,,18.915,,15.629,,38.967,,,,,,,,,,,,,,,115230,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / BILA / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B342 [4941],TEPHRITE [4941],,,,,,,,"APHANITIC, PORPHYRITIC [4941] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,198753.36200000002,8810.297999999999,,88014.44129999999,,,,75164.91,93554.23,28523.792,1936.145,,48231.715,11943.8977,5717.1151,,,,,,,,,,,,,,,,21400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,616,35,,,39,20,686,128,22,,,,,248,2149,46,81,8,,,,,,,,,,,,10,2299,54,111.4,12.89,63.2,14.8,4.6,11.9,1.7,8.8,1.6,4.7,0.57,3.6,0.53,2.7,1.11,,,,,,,,,103,,28.9,9.9,0.512629,,,0.706226,,18.964,,15.603,,38.933,,,,,,,,,,,,,,,115231,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / KAHU / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B74 [4941],"ANDESITE, BASALTIC [4941]",,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,235260.0355,6113.268,,89337.5688,,,,67080.99,62393.310000000005,26473.455999999995,1084.2412000000002,,18014.255,23591.0526,2269.3892,,,,,,,,,,,,,,,,18800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,232,37,,,29,17,178,68,20,,,,,56,895,19,106,3.9,,,,,,,,,,,,3.3,952,27,52.1,5.36,27.3,5.5,1.6,4.8,0.7,3.8,0.7,1.9,0.26,1.8,0.26,3.1,0.3,,,,,,,,,12,,8.4,2.4,0.512678,,,0.706131,,19.125,,15.629,,39.039,,,,,,,,,,,,,,,115232,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / KAHU / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B475 [4941],"ANDESITE, BASALTIC [4941]",,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,278451.0295,4614.918,,81716.3544,,,,42829.229999999996,39951.729999999996,20443.056,774.4580000000001,,24821.485,21291.2959,785.5577999999999,,,,,,,,,,,,,,,,19400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,136,87,,,26,32,80,54,18,,,,,90,693,37,155,6,,,,,,,,,,,,8.8,1030,54,79,9.96,41,8.9,1.9,8.1,1.3,6.8,1.3,3.7,0.52,3.2,0.5,4.3,0.4,,,,,,,,,36,,11,2.1,0.512489,,,0.708467,,19.178,,15.624,,39.014,,,,,,,,,,,,,,,115233,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / KAHU / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B485 [4941],"ANDESITE, BASALTIC [4941]",,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,233670.75650000002,6652.674,,85050.6357,,,,71122.95,73542.62999999999,27136.8,1316.5786,,20919.78,21588.0387,1352.9051,,,,,,,,,,,,,,,,16500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512672,,,0.705479,,18.817,,15.616,,38.799,,,,,,,,,,,,,,,115234,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / LEMO / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B48 [4941],ANDESITE [4941],,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,270925.326,4674.852,,83515.8078,,,,45782.969999999994,41595.54,19719.408,1239.1328,,33870.12,23961.981099999997,1920.2524,,,,,,,,,,,,,,,,12000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,144,85,,,22,18,64,53,19,,,,,136,771,25,171,7.7,,,,,,,,,,,,3.1,977,38.9,73.5,7.04,34.7,6.4,1.52,5.7,0.8,4.3,0.8,2.5,0.35,2.3,0.37,5,0.59,,,,,,,,,7,,15.3,4.1,0.512573,,,0.707173,,18.916,,15.606,,38.843,,,,,,,,,,,,,,,115235,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / LEMO / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B86 [4941],ANDESITE [4941],,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,269102.32950000005,5394.0599999999995,,85632.8118,,,,50446.770000000004,42882,19116.368,929.3496,,31462.685,22626.638499999997,1832.9682,,,,,,,,,,,,,,,,11000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,154,69,,,19,10,43,36,19,,,,,135,805,26,185,7.7,,,,,,,,,,,,4.4,1000,41.4,78.6,7.76,37.3,7,1.63,6,0.9,4.8,0.9,2.6,0.38,2.5,0.39,5.3,0.6,,,,,,,,,,,15.6,4,0.512599,,,0.707077,,18.941,,15.639,,38.97,,,,,,,,,,,,,,,115236,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / LEMO / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B338 [4941],ANDESITE [4941],,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,267840.255,5334.126,,78382.07310000001,,,,56354.25,47241.670000000006,25327.68,929.3496,,29553.34,21365.4816,2269.3892,,,,,,,,,,,,,,,,8900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,181,109,,,25,40,126,66,19,,,,,125,761,24,131,6,,,,,,,,,,,,3.9,1033,31.4,58.7,6.26,28.7,6.3,1.97,5.8,0.8,4.2,0.8,2.5,0.32,2.1,0.33,3.7,0.49,,,,,,,,,33,,12.1,3.5,0.51251,,,0.708159,,19.185,,15.671,,39.241,,,,,,,,,,,,,,,115237,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / MARARA / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B42 [4941],NOT GIVEN [4941],,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,271953.683,3536.1059999999998,,103203.945,,,,22463.97,14365.47,3738.848,1548.9160000000002,,58857.635,28635.6802,480.0631,,,,,,,,,,,,,,,,37700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,77,32,,,2,,,103,20,,,,,244,383,35,282,13,,,,,,,,,,,,11.8,72,60,112.9,11.75,48.4,9.1,1.9,9.8,1.2,5.9,1.1,3.5,0.5,2.9,0.49,6.1,0.95,,,,,,,,,120,,29.2,8.2,0.512742,,,0.705671,,18.63,,15.576,,38.558,,,,,,,,,,,,,,,115238,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / MARARA / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B369 [4941],NOT GIVEN [4941],,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,273729.93600000005,3416.2379999999994,,103151.0199,,,,22697.16,20440.42,3799.1519999999996,1703.8076,,58857.635,32196.5938,436.42100000000005,,,,,,,,,,,,,,,,35600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,79,27,,,2,20,13,100,18,,,,,206,379,35,275,12,,,,,,,,,,,,10.6,110,61.6,125.8,12.08,47.4,9.4,1.98,9.9,1.1,5.9,1.1,3.5,0.51,3.2,0.51,6.6,0.96,,,,,,,,,114,,29.6,10.3,0.512708,,,0.705612,,18.611,,15.55,,38.472,,,,,,,,,,,,,,,115239,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / PAKE / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B53 [4941],BASALT [4941],,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,236007.93150000004,5214.258,,98070.2103,,,,62184,44883.16,16885.12,2865.4946,,33787.105,20697.8103,218.21050000000002,,,,,,,,,,,,,,,,41000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,257,40,,,21,46,95,270,19,,,,,88,3054,18,88,3,,,,,,,,,,,,,1165,11,21.4,2.63,13.9,3.6,1.9,2.7,0.5,3,0.6,1.7,0.25,1.7,0.25,2.3,0.17,,,,,,,,,60,,4.3,1.5,0.512919,,,0.705016,,18.464,,15.534,,38.328,,,,,,,,,,,,,,,115240,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / SOPOC / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B27 [4941],"ANDESITE, BASALTIC [4941]",,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,232969.60400000002,4734.786,,92460.1497,,,,67391.91,67896.5,21468.224,1394.0244,,26896.86,20549.4389,1614.7576999999999,,,,,,,,,,,,,,,,22900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,285,44,,,25,6,113,89,19,,,,,47,1524,20,63,1.1,,,,,,,,,,,,0.5,920,18.7,37.3,4.04,21.9,4.9,1.56,4.5,0.6,3.8,0.8,2.3,0.3,2.1,0.3,1.9,0.1,,,,,,,,,8,,5,1.7,0.512909,,,0.703846,,18.396,,15.526,,38.239,,,,,,,,,,,,,,,115241,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / SOPOC / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B54 [4941],"ANDESITE, BASALTIC [4941]",,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,226752.71850000002,5274.192,,95688.5808,,,,70734.3,69754.72,23036.127999999997,1626.3618,,17184.105,22700.8242,1963.8945,,,,,,,,,,,,,,,,24400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,290,37,,,27,,182,59,21,,,,,32,2116,25,66,1.5,,,,,,,,,,,,0.5,926,17.3,35.4,4.11,23.4,5.1,1.64,5.1,0.7,4.3,0.8,2.4,0.35,2.2,0.34,1.9,0.12,,,,,,,,,29,,3.5,1.3,0.512944,,,0.704263,,18.424,,15.533,,38.278,,,,,,,,,,,,,,,115242,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / BIRU / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B21 [4941],SYENITE [4941],,,,,,,,HOLOCRYSTALLINE [4941] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4941] ,259893.86000000002,3715.908,,93942.0525,,,,45238.86,44382.87,11638.671999999999,1006.7954,,39930.215,28042.1946,1483.8314,,,,,,,,,,,,,,,,9500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,172,54,,,16,,62,49,18,,,,,106,1302,20,172,4.1,,,,,,,,,,,,2,1029,25.2,48.3,4.76,24.2,4.9,1.45,4.4,0.6,3.6,0.7,2,0.29,2,0.32,4.2,0.27,,,,,,,,,38,,12.9,4.5,0.512882,,,0.70423,,18.533,,15.553,,38.417,,,,,,,,,,,,,,,115243,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / BIRU / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B22 [4941],SYENITE [4941],,,,,,,,HOLOCRYSTALLINE [4941] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4941] ,262277.7785,3895.71,,96852.933,,,,43606.530000000006,43096.41,10975.328,929.3496,,40677.350000000006,29748.465699999997,1396.5472,,,,,,,,,,,,,,,,6100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,166,50,,,15,,67,30,18,,,,,92,1312,24,133,4.8,,,,,,,,,,,,1.7,1004,26.3,54.4,5.59,29.3,5.8,1.58,5.2,0.8,4.5,0.8,2.5,0.34,2.3,0.36,3.6,0.37,,,,,,,,,42,,6.6,1.9,0.512874,,,0.704265,,18.505,,15.539,,38.36,,,,,,,,,,,,,,,115244,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / LANGI / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B360 [4941],NOT GIVEN [4941],,,,,,,,HOLOCRYSTALLINE [4941] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4941] ,303458.802,3116.5679999999998,,84838.93530000001,,,,29848.32,28016.239999999998,10734.112,542.1206000000001,,16935.06,34273.7934,1091.0525,,,,,,,,,,,,,,,,6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,63,109,,,10,45,17,17,17,,,,,34,421,15,138,5,,,,,,,,,,,,1.1,301,13.8,30.1,3.01,12.4,2.6,0.9,2.6,0.4,2.4,0.5,1.4,0.22,1.4,0.22,3.6,0.43,,,,,,,,,8,,5.1,1.9,0.5129,,,0.703592,,18.38,,15.536,,38.282,,,,,,,,,,,,,,,115245,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / LANGI / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B370 [4941],NOT GIVEN [4941],,,,,,,,HOLOCRYSTALLINE [4941] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [4941] ,311779.145,2996.7,,84415.5345,,,,29770.59,49671.65,11095.936,542.1206000000001,,15689.835,33086.822199999995,654.6315,,,,,,,,,,,,,,,,7700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,64,67,,,10,26,240,0,16,,,,,33,416,13,110,4,,,,,,,,,,,,1.1,281,13.8,29.7,2.85,12,2.4,0.83,2.6,0.3,2.1,0.4,1.3,0.2,1.3,0.2,2.9,0.39,,,,,,,,,7,,5.2,1.1,0.512879,,,0.703628,,18.352,,15.513,,38.229,,,,,,,,,,,,,,,115246,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / LANGI / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B18 [4941],"ANDESITE, BASALTIC [4941]",,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,255873.91900000002,5214.258,,86320.8381,,,,55887.87,63894.17999999999,26835.28,1471.4702,,1328.24,18249.6822,829.1999000000001,,,,,,,,,,,,,,,,12100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,198,145,,,26,9,48,34,19,,,,,3,598,22,112,3.2,,,,,,,,,,,,0.2,88,15.6,35.05,3.761,18.8,4.34,1.246,4.02,0.63,3.88,0.74,2.39,0.33,2.36,0.361,3.36,0.234,,,,,,,,,,,3.5,0.8,0.512847,,,0.703795,,18.383,,15.536,,38.311,,,,,,,,,,,,,,,115247,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / LANGI / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B19 [4941],"ANDESITE, BASALTIC [4941]",,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,270504.6345,3536.1059999999998,,92618.925,,,,41585.549999999996,40952.310000000005,15437.823999999999,774.4580000000001,,16270.94,21217.1102,567.3473,,,,,,,,,,,,,,,,26900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,139,65,,,17,9,13,60,21,,,,,38,689,14,76,1.1,,,,,,,,,,,,3.2,198,7,15.86,1.815,9.6,2.6,0.872,2.53,0.41,2.46,0.49,1.46,0.21,1.44,0.23,2.35,0.1,,,,,,,,,7,,1.9,0.6,0.512867,,,0.703813,,18.286,,15.52,,38.186,,,,,,,,,,,,,,,115248,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / PAKE / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B53 [4941],BASALT [4941],,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512922,,,0.705036,,,,,,,,,,,,,,,,,,,,,115260,
[4941],CONVERGENT MARGIN,SULAWESI ARC / SULAWESI ARC / SULAWESI / KAHU / PACIFIC OCEAN,,-5,-5,120,120,SUBAERIAL,,,s B485 [4941],"ANDESITE, BASALTIC [4941]",,,,,,,,PORPHYRITIC [4941] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4941] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512667,,,,,,,,,,,,,,,,,,,,,,,,115261,
