Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3744],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / BALI / AGUNG / INDIAN OCEAN,,-8.25,-8.25,115.5,115.5,SUBAERIAL,,,s AGUNG1 [3744],"DACITE, HYPERSTHENE [3744]",,,,,24,2,1963,PORPHYRIC [3744] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3744] ,268541.40750000003,6892.409999999999,,93095.2509,,42103.88,15390.539999999999,,49099.89,20382.751999999997,1161.687,,15025.715,25000.5809,1221.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103431,
[3744],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / BALI / AGUNG / INDIAN OCEAN,,-8.25,-8.25,115.5,115.5,SUBAQUATIC,,,s AGUNG2 [3744],TRACHYBASALT [3744],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3744] ,217590.9925,6293.07,,65097.87300000001,,31542.94,41430.090000000004,,80904.04000000001,81470.704,1161.687,,11539.085,11202.0407,,,20200.,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103432,
[3744],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / BALI / BATUR / INDIAN OCEAN,KINTAMANI,-8.24,-8.24,115.37,115.37,SUBAERIAL,,1717,s 1 [3744],RHYODACITE [3744],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3744] ,305468.7725,659.274,,86532.53850000001,,3077.36,19743.420000000002,,23084.81,8804.384,1161.687,,22580.08,40505.392199999995,1003.7683000000001,,6300.,3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103433,
[3744],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / BALI / BATUR / INDIAN OCEAN,KINTAMANI,-8.24,-8.24,115.37,115.37,SUBAERIAL,,1717,s 2 [3744],RHYODACITE [3744],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3744] ,301261.85750000004,659.274,,88808.3178,,12099.619999999999,15934.649999999998,,22513.05,8502.864,1084.2412000000002,,26149.725,35164.0218,1309.263,,24000.,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103434,
[3744],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / BALI / BATUR / INDIAN OCEAN,KINTAMANI,-8.24,-8.24,115.37,115.37,SUBAERIAL,,1717,s 3 [3744],RHYODACITE [3744],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3744] ,316453.49500000005,479.472,,82563.156,,26017.68,16556.489999999998,,21298.06,13508.096000000001,1858.6992,,23161.185,37241.221399999995,872.8420000000001,,16299.999999999998,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103435,
[3744],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / BALI / BATUR / INDIAN OCEAN,SMALL VALLEY 1 KM SOUTH OF KINTAMANI,-8.24,-8.24,115.37,115.37,SUBAERIAL,,1717,s BATUR [3744],BASALT [3744],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3744] ,250311.4425,4974.521999999999,,104527.07250000001,,36788.439999999995,26117.28,,60106.270000000004,17307.248,1394.0244,,9961.8,26484.294899999997,1483.8314,,2300.,3800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103436,
[3740],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / SUMATRA / KERINCI / PACIFIC OCEAN,,1.65,1.65,101.3,101.3,SUBAERIAL,,,s 75267 [3740],BASALT [3740],,,,,,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [3740], HE3_HE4(R/R(A)) from OLIVINE [3740]",MINERAL / COMPONENT (INCL. GROUNDMASS) [3740] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,104759,
[3740],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / SUMATRA / RATAI / PACIFIC OCEAN,,5.53,5.53,105.03,105.03,SUBAERIAL,,,s 75227 [3740],"ANDESITE, BASALTIC [3740]",,,,,,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from CLINOPYROXENE [3740], HE3_HE4(R/R(A)) from CLINOPYROXENE [3740]",MINERAL / COMPONENT (INCL. GROUNDMASS) [3740] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,104760,
[3740],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / SUMATRA / SUKADANA / PACIFIC OCEAN,,5.43,5.43,105.65,105.65,SUBAERIAL,,,s 75215 [3740],BASALT [3740],,,,,,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [3740], HE3_HE4(R/R(A)) from OLIVINE [3740]",MINERAL / COMPONENT (INCL. GROUNDMASS) [3740] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,104761,
[3740],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / SUMATRA / BUKIT MAPAS / PACIFIC OCEAN,SOUTH SUMATRA PROVINCE,4.5,4.5,104.32,104.32,SUBAERIAL,,,s 78129-34 [3740],"ANDESITE, BASALTIC [3740]",,,,,,,,,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [3740], HE3_HE4(R/R(A)) from OLIVINE [3740]",MINERAL / COMPONENT (INCL. GROUNDMASS) [3740] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,104762,
