Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,,61.7334,61.7334,-147.0869,-147.0869,SUBAERIAL,,,s 0717A1 [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,225537.3875,2738.9838,,95318.10510000002,,,,58919.340000000004,106633.24,51318.704,1285.60028,,332.06,8308.7984,157.11156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,204,219,,,,42,57,46,13,,,,,0.3,295,12.22,8,0.29,,,,,,,,,,,,0.32,20,1.02,3.07,0.55,3.34,1.37,0.54,1.77,0.33,2.17,0.48,1.31,0.19,1.23,0.19,0.37,0.01,,,,,,,,,1.52,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,282775,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.7341,61.7341,-147.0892,-147.0892,SUBAERIAL,,,s 0717A2B [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,221751.16400000002,4914.588,,95423.95530000002,,,,77341.34999999999,87765.15999999999,44323.439999999995,1773.50882,,1411.255,17433.6395,414.59995000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9,,242,127,,,,23,90,91,17,,,,,2.3,333,25.05,18,0.68,,,,,,,,,,,,1.06,90,2.08,6,1.07,6.42,2.75,1.07,3.67,0.69,4.6,0.97,2.67,0.37,2.33,0.37,0.83,0.03,,,,,,,,,1.75,,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,282776,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.7319,61.7319,-147.0895,-147.0895,SUBAERIAL,,,s 0717A5B [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,229744.30250000002,3560.0795999999996,,85103.56079999999,,,,72910.74,80689.62999999999,54936.943999999996,1974.8679,,1245.225,16914.3396,266.21681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,241,404,,,,79,299,84,15,,,,,2,276,11.55,9,0.3,,,,,,,,,,,,0.88,60,1.35,3.5,0.58,3.27,1.26,0.61,1.66,0.3,2.05,0.45,1.27,0.18,1.18,0.19,0.37,0.02,,,,,,,,,1.64,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,282777,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.7319,61.7319,-147.0895,-147.0895,SUBAERIAL,,,s 0717A5C [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,228341.99750000003,3308.3568,,114794.54190000001,,,,68868.78,77187.6,24061.296,1115.2195199999999,,2158.39,24778.0238,741.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,192,15,,,,0,233,66,20,,,,,2.9,419,17.7,8,0.39,,,,,,,,,,,,1.11,145,2.23,5.65,0.95,5.54,1.98,0.75,2.48,0.46,3.03,0.66,1.88,0.28,1.77,0.29,0.37,0.02,,,,,,,,,1.94,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,282778,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.7311,61.7311,-147.0901,-147.0901,SUBAERIAL,,,s 0717A6 [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,231707.52950000003,3362.2974,,78805.47390000001,,,,65992.77,90266.61,65429.84,1417.25814,,996.18,11721.3406,148.38314000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,,218,514,,,,83,113,67,16,,,,,1.3,203,19,14,0.57,,,,,,,,,,,,0.84,38,1.44,5.23,1.01,6.05,2.22,0.65,2.63,0.48,3.21,0.71,2.03,0.3,1.97,0.33,0.66,0.02,,,,,,,,,1.39,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,282779,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.7941,61.7941,-146.583,-146.583,SUBAERIAL,,,s 0718A4 [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,207213.93550000002,4081.5054,,95900.28120000001,,,,99183.48,107062.06,51680.528,1525.68226,,83.015,4822.0705,34.91368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,,456,88,,,,13,180,54,13,,,,,0.3,211,3.15,1,0.04,,,,,,,,,,,,0.03,4,0.26,0.37,0.06,0.42,0.23,0.16,0.42,0.09,0.59,0.14,0.37,0.05,0.32,0.05,0.06,0,,,,,,,,,0.05,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,282780,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.7208,61.7208,-147.576,-147.576,SUBAERIAL,,,s 0720A2 [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,246057.784,3745.875,,100663.5402,,,,57053.82,63608.3,31961.119999999995,1130.70868,,10044.815,29748.465699999997,514.97678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,178,130,,,,28,50,61,17,,,,,22.1,308,16.86,42,1.12,,,,,,,,,,,,2.18,525,3.92,9.46,1.34,6.52,2.1,0.75,2.5,0.45,2.95,0.63,1.78,0.27,1.73,0.29,1.46,0.07,,,,,,,,,2.95,,0.55,0.31,,,,,,,,,,,,,,,,,,,,,,,,,282781,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.7531,61.7531,-145.3156,-145.3156,SUBAERIAL,,,s 1709A1 [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,243346.66100000002,3188.4888,,96641.23260000002,,,,65370.93,78402.59000000001,39016.687999999995,1293.3448600000002,,2241.405,16914.3396,135.29051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,254,139,,,,40,29,65,16,,,,,3.2,276,11.1,20,0.61,,,,,,,,,,,,0.06,112,2.03,4.51,0.65,3.31,1.15,0.59,1.46,0.29,1.91,0.42,1.2,0.18,1.18,0.19,0.65,0.06,,,,,,,,,1.18,,0.28,0.11,,,,,,,,,,,,,,,,,,,,,,,,,282782,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.7486,61.7486,-145.3169,-145.3169,SUBAERIAL,,,s 1709A2 [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,245917.5535,2409.3468,,95847.3561,,,,64049.520000000004,78617,41730.367999999995,1347.55692,,1909.345,16840.1539,178.93261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,206,157,,,,44,30,67,15,,,,,2.4,268,11.17,21,0.48,,,,,,,,,,,,0.08,99,1.82,4.18,0.61,3.16,1.14,0.58,1.46,0.29,1.88,0.42,1.18,0.18,1.16,0.19,0.66,0.03,,,,,,,,,0.99,,0.22,0.1,0.51296,,,,,,,,,,,,,,,,,,,,,,,,282783,
[9196],CONVERGENT MARGIN,TALKEETNA ARC / CHUGACH MOUNTAINS,CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER,61.6355,61.6355,-144.9055,-144.9055,SUBAERIAL,,,s 1710A4A [9196],GABBRONORITE [9196],,,,JURASSIC [9196],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9196] ,211467.594,269.703,,143532.87120000002,,,,34434.39,109920.86,42212.799999999996,565.35434,,249.045,6454.1559,34.91368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,25,88,,,,53,37,24,15,,,,,0.2,382,0.86,1,0.05,,,,,,,,,,,,0.07,16,0.34,0.69,0.09,0.42,0.14,0.16,0.16,0.03,0.15,0.03,0.09,0.01,0.08,0.01,0.05,0.03,,,,,,,,,0.25,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,282784,
