Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12849],CONVERGENT MARGIN,WESTERN ALPS / GRESSONEY VALLEY,RIO RECHANTEZ,45.67,45.67,7.7,7.7,SUBAERIAL,,,s MEC 242 [12849],MINETTE [12849],29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,30.8,,149,922,,,57.4,303,14,70,,,,,,379,825,29,463,36.1,,,,,,,,,,,,10.8,3950,86.7,219,31.5,142,29,4.82,17.1,1.61,6.2,0.97,2.36,0.29,1.68,0.24,11.3,2.38,,,,,,,,,28,,135,23.1,0.512032,,,0.717024,,18.91,,15.702,,39.511,,,,,,,,,,,,,,,487143,
[12849],CONVERGENT MARGIN,WESTERN ALPS / GRESSONEY VALLEY,RIO RECHANTEZ,45.67,45.67,7.7,7.7,SUBAERIAL,,,s VDA 17 [12849],MINETTE [12849],29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,25,,155,640,,,33,300,60,80,17,,,,,395,829,32,593,34.1,,,,,,,,,,,,17.1,4293,117,273,38.2,174,34.2,6.15,19.4,1.99,7.6,1.22,2.93,0.37,2.04,0.27,16.1,2.43,,,,,,,,,36,,155,28.3,0.512014,,,0.71818,,,,,,,,,,,,,,,,,,,,,487144,
[12849],CONVERGENT MARGIN,WESTERN ALPS / GRESSONEY VALLEY,RIO RECHANTEZ,45.67,45.67,7.7,7.7,SUBAERIAL,,,s VDA 15 [12849],MINETTE [12849],29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,29,,181,560,,,34,270,20,80,16,,,,,321,756,32,472,28.3,,,,,,,,,,,,10.4,4213,107,256,35.7,159,32.4,6.07,18.8,2,7.7,1.21,2.97,0.38,2.19,0.28,13,1.97,,,,,,,,,34,,127,22.6,0.51202,,,0.71728,,18.879,,15.719,,39.351,,,,,,,,,,,,,,,487145,
[12849],CONVERGENT MARGIN,WESTERN ALPS / AOSTA VALLEY,PLAN D^ALBARD,45.75,45.75,7.33,7.33,SUBAERIAL,640,640,s VDA 03 [12849],MINETTE [12849],29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,13,,83,470,,,25,280,30,90,19,,,,,555,799,31,665,34.4,,,,,,,,,,,,28.4,3797,106,260,37.1,169,33.6,5.88,19,1.85,7.3,1.18,2.77,0.34,1.93,0.25,18.1,2.73,,,,,,,,,105,,134,22.4,0.512026,,,0.718024,,18.69,,15.717,,39.093,,,,,,,,,,,,,,,487146,
[12849],CONVERGENT MARGIN,WESTERN ALPS / GRESSONEY VALLEY,CORA ROAD,45.78,45.78,7.82,7.82,SUBAERIAL,,,s VDA 14 [12849],SHOSHONITE [12849],29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,27,,182,310,,,26,140,50,90,19,,,,,172,882,29,334,24.2,,,,,,,,,,,,6,2592,55.7,127,16.9,75,16.2,3.32,10.4,1.28,5.9,1.03,2.89,0.4,2.46,0.36,9.2,1.74,,,,,,,,,36,,72.3,22,0.512125,,,0.712412,,18.847,,15.681,,39.031,,,,,,,,,,,,,,,487148,
[12849],CONVERGENT MARGIN,WESTERN ALPS / GRESSONEY VALLEY,NIEL,45.78,45.78,7.82,7.82,SUBAERIAL,,,s VDA 08 [12849],"ANDESITE, BASALTIC [12849]",29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,177,80,,,16,40,0,90,20,,,,,63,560,28,167,13.5,,,,,,,,,,,,0.6,1046,40.9,77.8,8.87,35.1,6.8,1.86,5.7,0.9,4.9,0.93,2.73,0.4,2.61,0.39,4.3,0.99,,,,,,,,,20,,19.6,4.91,0.512265,,,0.711397,,18.727,,15.671,,38.918,,,,,,,,,,,,,,,487151,
[12849],CONVERGENT MARGIN,WESTERN ALPS / OROPA VALLEY,"BIELLA, FAVARO, ^SESIA LANZO^ NAPPE",45.57,45.57,8.05,8.05,SUBAERIAL,,,s KAW 697A [12849],"ANDESITE, BASALTIC [12849]",29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,142,,,,,55.4,12.7,73.2,,,,,,58,563,23,187,12.8,,,,,,,,,,,,1.39,1622,36.5,72.5,8.57,32.8,6.37,1.51,5.5,0.75,4.3,0.86,2.45,0.35,2.32,0.37,3.7,0.83,,,,,,,,,17,,21.3,6.11,0.512325,,,0.710258,,18.706,,15.672,,38.909,,,,,,,,,,,,,,,487152,
[12849],CONVERGENT MARGIN,WESTERN ALPS / GRESSONEY VALLEY,ISSIME DAM,45.68,45.68,7.85,7.85,SUBAERIAL,,,s VDA 10 [12849],"ANDESITE, BASALTIC [12849]",29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,34,,202,250,,,25,60,60,70,16,,,,,79,468,20,97,6.2,,,,,,,,,,,,0.8,778,23.4,46.7,5.43,21.9,4.67,1.24,4.1,0.64,3.6,0.71,2.08,0.31,2.02,0.31,2.8,0.5,,,,,,,,,18,,11.2,2.6,0.512241,,,0.708096,,18.688,,15.67,,38.916,,,,,,,,,,,,,,,487153,
[12849],CONVERGENT MARGIN,WESTERN ALPS / AYAS VALLEY,"UPPER CHASTEN VALLEY, ALPE PERA PICCOLA",45.7,45.7,7.3,7.3,SUBAERIAL,,,s MEC 240 [12849],DACITE [12849],29000000 [12849],33000000 [12849],,OLIGOCENE [12849],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12849] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,16,,,,,12.8,3.2,58.3,,,,,,103,605,19,199,12.4,,,,,,,,,,,,0.86,1315,54.4,101,10.4,34.7,5.35,1.23,4.3,0.55,3.1,0.64,1.92,0.29,2.01,0.33,4.4,0.79,,,,,,,,,16,,20.1,5.69,0.512313,,,0.709197,,18.723,,15.679,,38.868,,,,,,,,,,,,,,,487155,
[10358],CONVERGENT MARGIN,WESTERN ALPS / GRESSONEY VALLEY/CERVO VALLEY,,45,46,7,8,SUBAERIAL,,,s WA05-AV-C [10358],NOT GIVEN [10358],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10358] ,236755.8275,5813.597999999999,,85844.5122,,40495.26,17022.87,,54102.79,29609.264,1006.7954,,12784.31,26781.037699999997,1527.4734999999998,,,,,,,,,,,,,,,,61300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,211,46,,,22,8,,,,,,,,50,566,24,152,12,,,,,,,,,,,,1.9,1241,41.5,76,8.6,34,6.9,1.68,5.79,0.82,4.6,0.89,2.61,0.36,2.47,0.35,3.7,0.79,,,,,,,,,20,,20.5,4.3,0.51228,,,0.7107,,18.768,,15.674,,38.928,,,,,,,,,,,,,,,487223,
