Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-208-2 [3702],GREENSCHIST [3702],,,,,,,,VERY FINE-GRAINED [3702] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,217076.814,12106.668,,93677.427,,15037.099999999999,54411,,61178.32000000001,58917.007999999994,1239.1328,,1079.195,21439.6673,1178.3367,,25700.,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112868,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-124 [3702],GREENSCHIST [3702],,,,,,,,VERY FINE-GRAINED [3702] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,226986.43600000002,3116.5679999999998,,65044.9479,,17415.06,58919.340000000004,,74614.68,84968.336,1394.0244,,1162.21,16024.111200000001,654.6315,,20900.,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112869,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-121 [3702],GREENSCHIST [3702],,,,,,,,VERY FINE-GRAINED [3702] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,222966.49500000002,11267.591999999999,,60122.9136,,20072.780000000002,75475.83,,71541.47,67540.48,1394.0244,,1079.195,19214.096299999997,305.4947,,19800.,2300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112870,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-104 [3702],GREENSCHIST [3702],,,,,,,,VERY FINE-GRAINED [3702] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,215674.50900000002,8750.364,,59540.7375,,11400.22,63816.33000000001,,61464.2,95823.056,2400.8197999999998,,747.135,17359.4538,1440.1893,,38000.,2200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112871,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-120 [3702],GREENSCHIST [3702],,,,,,,,VERY FINE-GRAINED [3702] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,223667.64750000002,9229.836,,58852.7112,,14967.160000000002,61795.35,,72470.58,83521.04,2245.9282,,913.165,17211.0824,698.2736,,25000.,5100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112872,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-206-2 [3702],GREENSCHIST [3702],,,,,,,,VERY FINE-GRAINED [3702] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,227640.84500000003,7311.947999999999,,57529.583699999996,,9581.78,77574.54000000001,,67896.5,84546.208,1626.3618,,1162.21,11424.5978,741.9157,,19700.,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112873,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-118 [3702],AMPHIBOLITE [3702],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,215487.53500000003,7971.222,,80816.6277,,15316.859999999999,65370.93,,73828.51,71158.72,2400.8197999999998,,4648.84,22626.638499999997,1047.4104,,11000.,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112874,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-112 [3702],AMPHIBOLITE [3702],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,222873.008,11027.856,,88067.36640000001,,12659.140000000001,67158.72,,69897.65999999999,44444.047999999995,2245.9282,,1577.285,27448.709,3316.7996000000003,,9000.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112875,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-110 [3702],AMPHIBOLITE [3702],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,218292.14500000002,12346.404,,97805.58480000001,,7063.9400000000005,80839.2,,72970.87000000001,40644.896,1626.3618,,1660.3000000000002,19436.6534,654.6315,,14900.,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112876,
[3702],CONVERGENT MARGIN,YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN,,9.46,9.58,138.22,138.22,SUBAERIAL,,,s Y-105 [3702],NOT GIVEN [3702],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [3702] ,244468.505,12586.14,,65627.12400000001,,9511.84,50602.229999999996,,62035.96,55419.376,1703.8076,,2407.435,39170.0496,567.3473,,12100.,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112877,
